Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,15891,16142,16481,16627,16202,16292
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,2494,2533.4,2586.6,2609.5,2542.8,2556.9
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,7650,7775,7934,8002,7797,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,8241,8367,8547,8625,8405,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,37.9,37.8,37.8,38.4,39.4,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,39.4,39.3,39.3,39.8,40.8,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,38.7,38.6,38.6,39.2,40.2,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,9971,10134,10420,10589,10225,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,62.7,62.8,63.2,63.7,63.1,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,577,565,552,488,441,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,534,564,559,589,572,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,414,434,474,472,479,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,367,352,364,387,396,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,483,493,484,455,401,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,522,549,552,546,508,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,596,571,578,584,543,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,576,622,659,672,635,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,582,595,614,628,608,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,528,537,560,582,564,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,,430,441,446,462,494,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,,430,431,428,436,415,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,,369,361,399,414,420,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,,323,337,320,341,354,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,,253,254,271,266,280,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,,229,232,223,214,214,
