Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,11755,12139,12349,12582,12541,12530
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,2209.7,2281.9,2321.3,2365.1,2357.4,2355.4
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,5600,5795,5902,6012,5984,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,6155,6344,6447,6570,6557,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,38.4,38.2,38.3,38.4,38.8,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,40.1,39.7,39.6,40,40.6,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,39.2,38.9,39,39.3,39.8,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,7573,7852,8019,8195,8121,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,64.4,64.7,64.9,65.1,64.8,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,391,406,402,402,408,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,419,421,432,435,429,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,382,392,394,406,421,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,313,342,372,387,389,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,325,332,335,327,328,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,317,320,323,328,307,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,372,396,395,395,360,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,424,467,474,488,450,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,478,486,489,502,504,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,490,498,511,508,510,
