Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,3623,3622,3618,3625,3573,3531
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,244.1,244,243.8,244.2,240.7,237.9
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,1781,1786,1787,1784,1784,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,1842,1836,1831,1841,1789,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,38.1,38.5,38.6,39.4,40.1,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,40.9,41.3,41.3,41.9,42.6,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,39.6,39.9,40.1,40.8,41.5,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,2438,2434,2429,2396,2327,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,67.3,67.2,67.1,66.1,65.1,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,100,92,93,98,118,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,152,154,148,137,119,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,134,133,134,139,146,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,140,137,134,125,116,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,115,122,126,127,120,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,90,87,86,82,81,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,91,100,102,102,104,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,118,109,106,96,85,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,109,114,121,128,127,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,148,144,127,117,116,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,,112,113,115,121,125,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,,142,132,134,128,118,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,,123,125,127,129,138,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,,84,87,96,107,114,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,,69,76,74,69,71,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,,35,35,38,51,58,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,,16,21,21,23,22,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,,3,5,5,5,6,
