Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,8121,8130,8138,7975,7801,7805
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,1898.8,1900.9,1902.8,1864.7,1824,1824.9
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,4011,4017,4022,3930,3832,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,4110,4113,4116,4045,3969,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,42.6,43,43.4,43.9,44.5,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,44.1,44.3,44.6,45.1,45.9,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,43.4,43.7,44,44.5,45.3,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,5183,5218,5238,5108,4960,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,63.8,64.2,64.4,64.1,63.6,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,204,196,182,176,158,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,245,240,236,217,222,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,320,313,301,281,265,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,272,283,306,317,303,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,266,264,258,249,236,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,229,227,222,208,187,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,170,166,170,175,183,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,175,187,187,181,178,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,245,221,220,215,204,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,280,293,284,267,255,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,,280,269,280,266,283,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,,321,332,315,316,277,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,,278,293,301,289,304,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,,245,232,239,231,222,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,,182,195,206,223,227,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,,140,142,153,146,157,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,,80,83,79,89,85,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,,79,81,83,84,86,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,,5.1,4.9,4.5,4.5,4.1,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,,6.1,6,5.9,5.5,5.8,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,,8,7.8,7.5,7.2,6.9,
ERP_M_24,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (%),,,,6.8,7,7.6,8.1,7.9,
ERP_M_25,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (%),,,,6.6,6.6,6.4,6.3,6.2,
ERP_M_26,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (%),,,,5.7,5.7,5.5,5.3,4.9,
ERP_M_27,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (%),,,,4.2,4.1,4.2,4.5,4.8,
ERP_M_28,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (%),,,,4.4,4.7,4.6,4.6,4.6,
ERP_M_29,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (%),,,,6.1,5.5,5.5,5.5,5.3,
ERP_M_30,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (%),,,,7,7.3,7.1,6.8,6.7,
ERP_M_31,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (%),,,,7,6.7,7,6.8,7.4,
ERP_M_32,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (%),,,,8,8.3,7.8,8,7.2,
ERP_M_33,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (%),,,,6.9,7.3,7.5,7.4,7.9,
