Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,11535,11485,11600,11402,10874,10978
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,5372.6,5349.3,5402.9,5310.7,5064.7,5113.2
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,5622,5597,5655,5564,5314,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,5913,5888,5945,5838,5560,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,33.3,33.6,34,34.5,35.1,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,33.4,33.8,34.2,34.9,35.6,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,33.4,33.7,34.1,34.7,35.4,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,8851,8777,8842,8643,8210,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,76.7,76.4,76.2,75.8,75.5,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,393,390,381,355,316,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,258,252,258,262,261,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,201,213,216,210,201,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,179,181,193,198,195,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,467,465,462,438,388,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,785,741,705,645,560,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,769,759,760,750,726,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,600,601,606,605,595,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,435,441,449,442,441,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,349,358,376,369,338,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,,255,270,306,321,317,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,,258,247,234,245,244,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,,221,228,236,234,230,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,,167,155,158,165,171,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,,113,120,130,144,150,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,,75,79,81,74,69,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,,57,62,61,62,60,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,,40,35,43,45,52,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,,7,7,6.7,6.4,5.9,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,,4.6,4.5,4.6,4.7,4.9,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,,3.6,3.8,3.8,3.8,3.8,
ERP_M_24,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (%),,,,3.2,3.2,3.4,3.6,3.7,
ERP_M_25,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (%),,,,8.3,8.3,8.2,7.9,7.3,
ERP_M_26,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (%),,,,14,13.2,12.5,11.6,10.5,
ERP_M_27,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (%),,,,13.7,13.6,13.4,13.5,13.7,
ERP_M_28,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (%),,,,10.7,10.7,10.7,10.9,11.2,
ERP_M_29,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (%),,,,7.7,7.9,7.9,7.9,8.3,
ERP_M_30,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (%),,,,6.2,6.4,6.6,6.6,6.4,
ERP_M_31,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (%),,,,4.5,4.8,5.4,5.8,6,
ERP_M_32,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (%),,,,4.6,4.4,4.1,4.4,4.6,
ERP_M_33,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (%),,,,3.9,4.1,4.2,4.2,4.3,
ERP_M_34,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (%),,,,3,2.8,2.8,3,3.2,
ERP_M_35,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (%),,,,2,2.1,2.3,2.6,2.8,
ERP_M_36,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (%),,,,1.3,1.4,1.4,1.3,1.3,
ERP_M_37,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (%),,,,1,1.1,1.1,1.1,1.1,
ERP_M_38,Estimated resident population - Males - year ended 30 June,Males - 85 and over (%),,,,0.7,0.6,0.8,0.8,1,
ERP_F_2,Estimated resident population - Females - year ended 30 June,Females - 0-4 years (no.),,,,406,402,410,387,315,
ERP_F_3,Estimated resident population - Females - year ended 30 June,Females - 5-9 years (no.),,,,250,256,251,258,272,
ERP_F_4,Estimated resident population - Females - year ended 30 June,Females - 10-14 years (no.),,,,176,186,201,208,215,
ERP_F_5,Estimated resident population - Females - year ended 30 June,Females - 15-19 years (no.),,,,199,201,202,191,182,
ERP_F_6,Estimated resident population - Females - year ended 30 June,Females - 20-24 years (no.),,,,477,470,463,437,392,
