Measure Code,Parent Description,Description,2011,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,12625,12642,12589,12374,11725,11729
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,2920.1,2924,2911.8,2862,2711.9,2712.8
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,6019,6032,6007,5908,5599,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,6606,6610,6582,6466,6126,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,37.2,37.6,38,38.7,39.1,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,40.8,40.9,41.3,42.2,43.5,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,39.3,39.5,39.8,40.5,41.5,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,8454,8480,8452,8227,7619,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,67,67.1,67.1,66.5,65,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,255,229,220,209,220,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,336,329,308,297,256,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,399,404,402,398,399,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,498,521,518,501,480,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,552,543,556,545,485,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,479,469,456,431,386,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,348,349,353,352,338,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,307,297,306,301,293,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,334,334,305,302,281,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,402,390,368,357,334,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,401,413,433,415,402,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,377,390,401,406,392,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,339,344,352,350,307,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,289,302,304,302,278,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,256,260,252,262,259,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,173,174,193,202,214,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,139,144,133,138,129,
