Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,4047,4117,4148,4164,4235,4308
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,12.7,12.9,13,13,13.3,13.5
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,2109,2159,2180,2191,2242,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,1938,1958,1968,1973,1993,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,40.5,40.4,40.8,41.4,42.2,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,40.7,41,41,41.8,42.6,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,40.5,40.6,40.9,41.6,42.4,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,2810,2858,2872,2856,2889,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,69.4,69.4,69.2,68.6,68.2,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,121,115,113,120,127,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,153,152,155,142,145,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,164,166,153,153,151,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,132,138,143,152,164,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,117,140,135,128,113,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,108,114,125,116,102,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,120,124,126,125,127,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,125,118,122,129,141,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,166,164,156,144,145,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,192,190,187,179,181,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,,169,175,175,179,184,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,,149,152,154,171,182,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,,152,151,153,156,159,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,,98,108,118,125,141,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,,79,85,89,88,87,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,,33,36,43,50,61,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,,23,19,22,23,22,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,,8,12,11,11,10,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,,5.7,5.3,5.2,5.5,5.7,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,,7.3,7,7.1,6.5,6.5,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,,7.8,7.7,7,7,6.7,
ERP_M_24,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (%),,,,6.3,6.4,6.6,6.9,7.3,
ERP_M_25,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (%),,,,5.5,6.5,6.2,5.8,5,
ERP_M_26,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (%),,,,5.1,5.3,5.7,5.3,4.5,
ERP_M_27,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (%),,,,5.7,5.7,5.8,5.7,5.7,
ERP_M_28,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (%),,,,5.9,5.5,5.6,5.9,6.3,
ERP_M_29,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (%),,,,7.9,7.6,7.2,6.6,6.5,
