Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,14572,14612,14639,14461,14081,13831
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,3287.7,3296.7,3302.8,3262.6,3176.9,3120.5
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,7312,7334,7358,7253,7050,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,7260,7278,7281,7208,7031,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,36,36.1,36.4,36.8,36.9,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,37.9,38.2,38.7,39,39.2,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,36.9,37.3,37.6,37.8,38.1,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,9735,9643,9556,9364,9024,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,66.8,66,65.3,64.8,64.1,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,482,478,474,457,430,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,503,493,479,478,489,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,435,436,448,446,458,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,441,452,448,435,406,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,586,568,551,547,494,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,569,569,571,554,553,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,557,552,543,519,520,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,520,516,522,514,473,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,412,429,445,453,447,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,441,430,420,405,394,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,,425,424,439,422,414,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,,437,446,429,427,422,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,,474,442,437,431,402,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,,491,516,502,451,401,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,,275,291,341,382,386,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,,148,164,185,198,218,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,,78,78,72,79,90,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,,38,50,52,55,53,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,,6.6,6.5,6.4,6.3,6.1,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,,6.9,6.7,6.5,6.6,6.9,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,,5.9,5.9,6.1,6.1,6.5,
ERP_M_24,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (%),,,,6,6.2,6.1,6,5.8,
ERP_M_25,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (%),,,,8,7.7,7.5,7.5,7,
ERP_M_26,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (%),,,,7.8,7.8,7.8,7.6,7.8,
ERP_M_27,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (%),,,,7.6,7.5,7.4,7.2,7.4,
ERP_M_28,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (%),,,,7.1,7,7.1,7.1,6.7,
ERP_M_29,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (%),,,,5.6,5.8,6,6.2,6.3,
ERP_M_30,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (%),,,,6,5.9,5.7,5.6,5.6,
ERP_M_31,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (%),,,,5.8,5.8,6,5.8,5.9,
ERP_M_32,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (%),,,,6,6.1,5.8,5.9,6,
ERP_M_33,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (%),,,,6.5,6,5.9,5.9,5.7,
ERP_M_34,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (%),,,,6.7,7,6.8,6.2,5.7,
ERP_M_35,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (%),,,,3.8,4,4.6,5.3,5.5,
ERP_M_36,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (%),,,,2,2.2,2.5,2.7,3.1,
ERP_M_37,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (%),,,,1.1,1.1,1,1.1,1.3,
ERP_M_38,Estimated resident population - Males - year ended 30 June,Males - 85 and over (%),,,,0.5,0.7,0.7,0.8,0.8,
ERP_F_2,Estimated resident population - Females - year ended 30 June,Females - 0-4 years (no.),,,,496,476,479,448,427,
ERP_F_3,Estimated resident population - Females - year ended 30 June,Females - 5-9 years (no.),,,,422,458,444,453,448,
ERP_F_4,Estimated resident population - Females - year ended 30 June,Females - 10-14 years (no.),,,,407,408,430,422,404,
ERP_F_5,Estimated resident population - Females - year ended 30 June,Females - 15-19 years (no.),,,,448,449,445,453,437,
ERP_F_6,Estimated resident population - Females - year ended 30 June,Females - 20-24 years (no.),,,,482,466,445,431,426,
ERP_F_7,Estimated resident population - Females - year ended 30 June,Females - 25-29 years (no.),,,,548,522,522,481,481,
ERP_F_8,Estimated resident population - Females - year ended 30 June,Females - 30-34 years (no.),,,,534,535,520,521,477,
ERP_F_9,Estimated resident population - Females - year ended 30 June,Females - 35-39 years (no.),,,,500,499,485,494,490,
ERP_F_10,Estimated resident population - Females - year ended 30 June,Females - 40-44 years (no.),,,,469,473,484,460,446,
ERP_F_11,Estimated resident population - Females - year ended 30 June,Females - 45-49 years (no.),,,,465,458,445,450,443,
ERP_F_12,Estimated resident population - Females - year ended 30 June,Females - 50-54 years (no.),,,,427,420,434,438,436,
ERP_F_13,Estimated resident population - Females - year ended 30 June,Females - 55-59 years (no.),,,,506,494,462,422,403,
ERP_F_14,Estimated resident population - Females - year ended 30 June,Females - 60-64 years (no.),,,,494,499,509,507,460,
ERP_F_15,Estimated resident population - Females - year ended 30 June,Females - 65-69 years (no.),,,,483,495,504,491,472,
ERP_F_16,Estimated resident population - Females - year ended 30 June,Females - 70-74 years (no.),,,,277,311,339,379,386,
ERP_F_17,Estimated resident population - Females - year ended 30 June,Females - 75-79 years (no.),,,,141,148,170,188,215,
ERP_F_18,Estimated resident population - Females - year ended 30 June,Females - 80-84 years (no.),,,,105,103,101,101,110,
ERP_F_19,Estimated resident population - Females - year ended 30 June,Females - 85 and over (no.),,,,56,64,63,69,70,
ERP_F_21,Estimated resident population - Females - year ended 30 June,Females - 0-4 years (%),,,,6.8,6.5,6.6,6.2,6.1,
ERP_F_22,Estimated resident population - Females - year ended 30 June,Females - 5-9 years (%),,,,5.8,6.3,6.1,6.3,6.4,
ERP_F_23,Estimated resident population - Females - year ended 30 June,Females - 10-14 years (%),,,,5.6,5.6,5.9,5.9,5.7,
ERP_F_24,Estimated resident population - Females - year ended 30 June,Females - 15-19 years (%),,,,6.2,6.2,6.1,6.3,6.2,
ERP_F_25,Estimated resident population - Females - year ended 30 June,Females - 20-24 years (%),,,,6.6,6.4,6.1,6,6.1,
ERP_F_26,Estimated resident population - Females - year ended 30 June,Females - 25-29 years (%),,,,7.5,7.2,7.2,6.7,6.8,
ERP_F_27,Estimated resident population - Females - year ended 30 June,Females - 30-34 years (%),,,,7.4,7.4,7.1,7.2,6.8,
ERP_F_28,Estimated resident population - Females - year ended 30 June,Females - 35-39 years (%),,,,6.9,6.9,6.7,6.9,7,
ERP_F_29,Estimated resident population - Females - year ended 30 June,Females - 40-44 years (%),,,,6.5,6.5,6.6,6.4,6.3,
ERP_F_30,Estimated resident population - Females - year ended 30 June,Females - 45-49 years (%),,,,6.4,6.3,6.1,6.2,6.3,
ERP_F_31,Estimated resident population - Females - year ended 30 June,Females - 50-54 years (%),,,,5.9,5.8,6,6.1,6.2,
ERP_F_32,Estimated resident population - Females - year ended 30 June,Females - 55-59 years (%),,,,7,6.8,6.3,5.9,5.7,
ERP_F_33,Estimated resident population - Females - year ended 30 June,Females - 60-64 years (%),,,,6.8,6.9,7,7,6.5,
ERP_F_34,Estimated resident population - Females - year ended 30 June,Females - 65-69 years (%),,,,6.7,6.8,6.9,6.8,6.7,
ERP_F_35,Estimated resident population - Females - year ended 30 June,Females - 70-74 years (%),,,,3.8,4.3,4.7,5.3,5.5,
ERP_F_36,Estimated resident population - Females - year ended 30 June,Females - 75-79 years (%),,,,1.9,2,2.3,2.6,3.1,
