Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,12093,12068,11789,11521,10564,10744
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,1342.3,1339.5,1308.5,1278.8,1172.6,1192.5
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,5870,5870,5774,5670,5309,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,6223,6198,6015,5851,5255,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,29,29.6,30.1,31.3,32.8,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,29.1,30.1,31.5,33.5,35.5,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,29,29.8,30.8,32.4,34,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,9149,9149,8914,8656,7808,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,75.7,75.8,75.6,75.1,73.9,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,252,249,240,229,215,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,254,240,234,223,219,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,324,308,290,274,250,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,514,509,485,456,389,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,963,943,905,834,713,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,740,733,721,697,628,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,421,425,432,427,416,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,325,345,341,359,346,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,339,325,309,294,266,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,354,360,361,363,346,
