Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,16206,16575,16905,16992,16733,16693
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,1061.6,1085.8,1107.4,1113.1,1096.2,1093.5
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,8060,8247,8417,8460,8320,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,8146,8328,8488,8532,8413,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,36.3,36.4,36.5,37,37.7,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,38.3,38.3,38.4,39,40,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,37.3,37.3,37.5,38.1,39,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,10813,11053,11271,11268,11020,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,66.7,66.7,66.7,66.3,65.9,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,539,547,565,539,489,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,555,563,560,563,557,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,523,537,561,588,573,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,568,570,563,531,527,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,591,614,640,628,575,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,540,559,564,553,536,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,558,565,570,571,539,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,628,633,658,669,646,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,562,607,624,640,645,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,535,539,548,553,565,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,,521,517,525,519,522,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,,433,455,474,496,497,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,,423,418,413,417,421,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,,371,369,368,369,371,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,,299,302,307,326,347,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,,216,229,233,240,229,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,,134,152,163,162,174,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,,64,71,81,96,107,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,,6.7,6.6,6.7,6.4,5.9,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,,6.9,6.8,6.7,6.7,6.7,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,,6.5,6.5,6.7,7,6.9,
ERP_M_24,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (%),,,,7,6.9,6.7,6.3,6.3,
ERP_M_25,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (%),,,,7.3,7.4,7.6,7.4,6.9,
ERP_M_26,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (%),,,,6.7,6.8,6.7,6.5,6.4,
ERP_M_27,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (%),,,,6.9,6.9,6.8,6.7,6.5,
ERP_M_28,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (%),,,,7.8,7.7,7.8,7.9,7.8,
ERP_M_29,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (%),,,,7,7.4,7.4,7.6,7.8,
ERP_M_30,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (%),,,,6.6,6.5,6.5,6.5,6.8,
