Measure Code,Parent Description,Description,2011,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,10619,10631,10584,10418,10032,9830
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,3195.4,3199,3184.9,3134.9,3018.8,2958
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,5377,5386,5364,5287,5092,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,5242,5245,5220,5131,4940,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,36.7,36.5,36.5,36.9,37.7,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,38.9,38.8,38.7,38.8,39.3,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,37.7,37.5,37.5,37.8,38.4,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,6737,6749,6761,6671,6398,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,63.4,63.5,63.9,64,63.8,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,373,375,364,349,306,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,302,302,315,311,288,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,275,274,258,252,256,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,294,287,282,262,237,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,354,373,389,394,386,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,473,471,457,440,416,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,474,466,465,462,417,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,401,431,449,438,444,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,331,323,326,327,312,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,308,327,320,319,308,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,337,303,309,292,299,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,258,297,300,316,289,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,230,197,198,203,222,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,271,247,231,230,218,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,250,278,251,236,240,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,176,165,186,193,193,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,174,164,153,147,144,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,96,106,111,116,117,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,6.9,7,6.8,6.6,6,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,5.6,5.6,5.9,5.9,5.7,
