Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,24851,24998,25082,25221,25248,25327
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,660.6,664.5,666.7,670.4,671.1,673.2
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,12208,12272,12314,12372,12371,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,12643,12726,12768,12849,12877,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,35.9,35.9,36,36.6,37.4,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,37.5,37.6,37.9,38.5,39.3,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,36.7,36.7,37,37.6,38.4,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,16856,16824,16725,16613,16450,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,67.8,67.3,66.7,65.9,65.2,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,909,887,872,850,828,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,844,866,869,869,886,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,805,823,849,893,890,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,860,859,833,821,825,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,874,865,869,810,732,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,849,835,831,789,737,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,828,855,860,864,842,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,792,823,835,859,883,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,813,796,781,817,825,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,888,866,867,852,847,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,,875,852,835,819,871,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,,805,812,800,812,789,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,,596,608,633,670,702,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,,561,567,568,558,563,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,,400,421,448,489,519,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,,249,270,279,303,328,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,,158,156,164,165,166,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,,102,111,121,132,138,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,,7.4,7.2,7.1,6.9,6.7,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,,6.9,7.1,7.1,7,7.2,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,,6.6,6.7,6.9,7.2,7.2,
ERP_M_24,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (%),,,,7,7,6.8,6.6,6.7,
ERP_M_25,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (%),,,,7.2,7,7.1,6.5,5.9,
ERP_M_26,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (%),,,,7,6.8,6.7,6.4,6,
ERP_M_27,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (%),,,,6.8,7,7,7,6.8,
ERP_M_28,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (%),,,,6.5,6.7,6.8,6.9,7.1,
ERP_M_29,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (%),,,,6.7,6.5,6.3,6.6,6.7,
ERP_M_30,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (%),,,,7.3,7.1,7,6.9,6.8,
ERP_M_31,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (%),,,,7.2,6.9,6.8,6.6,7,
ERP_M_32,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (%),,,,6.6,6.6,6.5,6.6,6.4,
ERP_M_33,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (%),,,,4.9,5,5.1,5.4,5.7,
ERP_M_34,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (%),,,,4.6,4.6,4.6,4.5,4.6,
