Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,10250,10891,11487,11956,11643,11852
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,460.8,489.6,516.4,537.5,523.4,532.8
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,5402,5752,6086,6340,6158,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,4848,5139,5401,5616,5485,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,31.2,31.2,31.2,31.4,31.9,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,31.9,31.9,32,32.2,32.6,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,31.5,31.5,31.5,31.8,32.2,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,7552,8050,8484,8818,8591,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,73.7,73.9,73.9,73.8,73.8,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,517,533,542,552,520,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,305,337,370,394,394,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,233,247,276,292,290,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,265,269,265,270,262,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,518,569,613,621,567,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,701,746,800,831,762,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,721,755,775,781,751,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,541,605,658,703,705,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,375,409,450,477,507,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,292,315,323,349,348,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,,234,250,258,284,278,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,,210,212,233,241,244,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,,188,191,196,193,185,
