Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,6916,6915,6884,6795,6656,6568
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,374,373.9,372.2,367.4,359.9,355.1
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,3451,3452,3438,3401,3341,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,3465,3463,3446,3394,3315,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,37.4,37.6,37.9,38.8,40,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,39.1,39.7,40.1,40.8,41.8,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,38.3,38.6,38.9,39.7,40.8,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,5059,5049,5005,4893,4717,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,73.1,73,72.7,72,70.9,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,167,166,156,148,147,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,249,245,229,211,201,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,274,259,262,266,264,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,323,323,317,305,284,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,313,320,324,313,289,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,176,185,191,191,185,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,142,145,140,129,129,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,177,174,180,184,171,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,228,215,203,199,201,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,272,257,245,244,244,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,,352,336,320,317,288,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,,302,299,308,299,301,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,,202,229,237,232,245,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,,128,136,148,171,183,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,,66,74,80,87,92,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,,48,50,56,51,51,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,,18,27,29,38,43,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,,14,12,13,16,23,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,,4.8,4.8,4.5,4.4,4.4,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,,7.2,7.1,6.7,6.2,6,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,,7.9,7.5,7.6,7.8,7.9,
ERP_M_24,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (%),,,,9.4,9.4,9.2,9,8.5,
ERP_M_25,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (%),,,,9.1,9.3,9.4,9.2,8.7,
ERP_M_26,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (%),,,,5.1,5.4,5.6,5.6,5.5,
ERP_M_27,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (%),,,,4.1,4.2,4.1,3.8,3.9,
ERP_M_28,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (%),,,,5.1,5,5.2,5.4,5.1,
ERP_M_29,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (%),,,,6.6,6.2,5.9,5.9,6,
ERP_M_30,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (%),,,,7.9,7.4,7.1,7.2,7.3,
ERP_M_31,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (%),,,,10.2,9.7,9.3,9.3,8.6,
ERP_M_32,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (%),,,,8.8,8.7,9,8.8,9,
ERP_M_33,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (%),,,,5.9,6.6,6.9,6.8,7.3,
ERP_M_34,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (%),,,,3.7,3.9,4.3,5,5.5,
ERP_M_35,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (%),,,,1.9,2.1,2.3,2.6,2.8,
ERP_M_36,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (%),,,,1.4,1.4,1.6,1.5,1.5,
ERP_M_37,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (%),,,,0.5,0.8,0.8,1.1,1.3,
ERP_M_38,Estimated resident population - Males - year ended 30 June,Males - 85 and over (%),,,,0.4,0.3,0.4,0.5,0.7,
ERP_F_2,Estimated resident population - Females - year ended 30 June,Females - 0-4 years (no.),,,,162,159,155,152,143,
ERP_F_3,Estimated resident population - Females - year ended 30 June,Females - 5-9 years (no.),,,,183,189,190,198,216,
ERP_F_4,Estimated resident population - Females - year ended 30 June,Females - 10-14 years (no.),,,,263,246,236,215,203,
ERP_F_5,Estimated resident population - Females - year ended 30 June,Females - 15-19 years (no.),,,,343,334,325,312,273,
ERP_F_6,Estimated resident population - Females - year ended 30 June,Females - 20-24 years (no.),,,,306,302,298,278,253,
ERP_F_7,Estimated resident population - Females - year ended 30 June,Females - 25-29 years (no.),,,,164,173,175,174,168,
ERP_F_8,Estimated resident population - Females - year ended 30 June,Females - 30-34 years (no.),,,,156,166,160,150,148,
ERP_F_9,Estimated resident population - Females - year ended 30 June,Females - 35-39 years (no.),,,,196,176,182,195,191,
ERP_F_10,Estimated resident population - Females - year ended 30 June,Females - 40-44 years (no.),,,,271,254,236,204,204,
ERP_F_11,Estimated resident population - Females - year ended 30 June,Females - 45-49 years (no.),,,,326,318,305,291,268,
ERP_F_12,Estimated resident population - Females - year ended 30 June,Females - 50-54 years (no.),,,,370,368,369,341,329,
ERP_F_13,Estimated resident population - Females - year ended 30 June,Females - 55-59 years (no.),,,,251,291,297,336,345,
ERP_F_14,Estimated resident population - Females - year ended 30 June,Females - 60-64 years (no.),,,,189,184,193,199,201,
ERP_F_15,Estimated resident population - Females - year ended 30 June,Females - 65-69 years (no.),,,,117,123,134,146,156,
ERP_F_16,Estimated resident population - Females - year ended 30 June,Females - 70-74 years (no.),,,,76,84,90,95,99,
ERP_F_17,Estimated resident population - Females - year ended 30 June,Females - 75-79 years (no.),,,,49,53,53,53,60,
ERP_F_18,Estimated resident population - Females - year ended 30 June,Females - 80-84 years (no.),,,,27,27,29,39,42,
ERP_F_19,Estimated resident population - Females - year ended 30 June,Females - 85 and over (no.),,,,16,16,19,16,16,
ERP_F_21,Estimated resident population - Females - year ended 30 June,Females - 0-4 years (%),,,,4.7,4.6,4.5,4.5,4.3,
ERP_F_22,Estimated resident population - Females - year ended 30 June,Females - 5-9 years (%),,,,5.3,5.5,5.5,5.8,6.5,
ERP_F_23,Estimated resident population - Females - year ended 30 June,Females - 10-14 years (%),,,,7.6,7.1,6.8,6.3,6.1,
ERP_F_24,Estimated resident population - Females - year ended 30 June,Females - 15-19 years (%),,,,9.9,9.6,9.4,9.2,8.2,
ERP_F_25,Estimated resident population - Females - year ended 30 June,Females - 20-24 years (%),,,,8.8,8.7,8.6,8.2,7.6,
ERP_F_26,Estimated resident population - Females - year ended 30 June,Females - 25-29 years (%),,,,4.7,5,5.1,5.1,5.1,
ERP_F_27,Estimated resident population - Females - year ended 30 June,Females - 30-34 years (%),,,,4.5,4.8,4.6,4.4,4.5,
ERP_F_28,Estimated resident population - Females - year ended 30 June,Females - 35-39 years (%),,,,5.7,5.1,5.3,5.7,5.8,
ERP_F_29,Estimated resident population - Females - year ended 30 June,Females - 40-44 years (%),,,,7.8,7.3,6.8,6,6.2,
ERP_F_30,Estimated resident population - Females - year ended 30 June,Females - 45-49 years (%),,,,9.4,9.2,8.9,8.6,8.1,
ERP_F_31,Estimated resident population - Females - year ended 30 June,Females - 50-54 years (%),,,,10.7,10.6,10.7,10,9.9,
ERP_F_32,Estimated resident population - Females - year ended 30 June,Females - 55-59 years (%),,,,7.2,8.4,8.6,9.9,10.4,
ERP_F_33,Estimated resident population - Females - year ended 30 June,Females - 60-64 years (%),,,,5.5,5.3,5.6,5.9,6.1,
ERP_F_34,Estimated resident population - Females - year ended 30 June,Females - 65-69 years (%),,,,3.4,3.6,3.9,4.3,4.7,
ERP_F_35,Estimated resident population - Females - year ended 30 June,Females - 70-74 years (%),,,,2.2,2.4,2.6,2.8,3,
ERP_F_36,Estimated resident population - Females - year ended 30 June,Females - 75-79 years (%),,,,1.4,1.5,1.5,1.6,1.8,
ERP_F_37,Estimated resident population - Females - year ended 30 June,Females - 80-84 years (%),,,,0.8,0.8,0.8,1.1,1.3,
ERP_F_38,Estimated resident population - Females - year ended 30 June,Females - 85 and over (%),,,,0.5,0.5,0.6,0.5,0.5,
ERP_P_2,Estimated resident population - Persons - year ended 30 June,Persons - 0-4 years (no.),,,,329,325,311,300,290,
ERP_P_3,Estimated resident population - Persons - year ended 30 June,Persons - 5-9 years (no.),,,,432,434,419,409,417,
ERP_P_4,Estimated resident population - Persons - year ended 30 June,Persons - 10-14 years (no.),,,,537,505,498,481,467,
ERP_P_5,Estimated resident population - Persons - year ended 30 June,Persons - 15-19 years (no.),,,,666,657,642,617,557,
ERP_P_6,Estimated resident population - Persons - year ended 30 June,Persons - 20-24 years (no.),,,,619,622,622,591,542,
ERP_P_7,Estimated resident population - Persons - year ended 30 June,Persons - 25-29 years (no.),,,,340,358,366,365,353,
ERP_P_8,Estimated resident population - Persons - year ended 30 June,Persons - 30-34 years (no.),,,,298,311,300,279,277,
ERP_P_9,Estimated resident population - Persons - year ended 30 June,Persons - 35-39 years (no.),,,,373,350,362,379,362,
ERP_P_10,Estimated resident population - Persons - year ended 30 June,Persons - 40-44 years (no.),,,,499,469,439,403,405,
ERP_P_11,Estimated resident population - Persons - year ended 30 June,Persons - 45-49 years (no.),,,,598,575,550,535,512,
ERP_P_12,Estimated resident population - Persons - year ended 30 June,Persons - 50-54 years (no.),,,,722,704,689,658,617,
ERP_P_13,Estimated resident population - Persons - year ended 30 June,Persons - 55-59 years (no.),,,,553,590,605,635,646,
ERP_P_14,Estimated resident population - Persons - year ended 30 June,Persons - 60-64 years (no.),,,,391,413,430,431,446,
ERP_P_15,Estimated resident population - Persons - year ended 30 June,Persons - 65-69 years (no.),,,,245,259,282,317,339,
ERP_P_16,Estimated resident population - Persons - year ended 30 June,Persons - 70-74 years (no.),,,,142,158,170,182,191,
ERP_P_17,Estimated resident population - Persons - year ended 30 June,Persons - 75-79 years (no.),,,,97,103,109,104,111,
ERP_P_18,Estimated resident population - Persons - year ended 30 June,Persons - 80-84 years (no.),,,,45,54,58,77,85,
ERP_P_19,Estimated resident population - Persons - year ended 30 June,Persons - 85 and over (no.),,,,30,28,32,32,39,
ERP_P_21,Estimated resident population - Persons - year ended 30 June,Persons - 0-4 years (%),,,,4.8,4.7,4.5,4.4,4.4,
ERP_P_22,Estimated resident population - Persons - year ended 30 June,Persons - 5-9 years (%),,,,6.2,6.3,6.1,6,6.3,
ERP_P_23,Estimated resident population - Persons - year ended 30 June,Persons - 10-14 years (%),,,,7.8,7.3,7.2,7.1,7,
ERP_P_24,Estimated resident population - Persons - year ended 30 June,Persons - 15-19 years (%),,,,9.6,9.5,9.3,9.1,8.4,
ERP_P_25,Estimated resident population - Persons - year ended 30 June,Persons - 20-24 years (%),,,,9,9,9,8.7,8.1,
ERP_P_26,Estimated resident population - Persons - year ended 30 June,Persons - 25-29 years (%),,,,4.9,5.2,5.3,5.4,5.3,
ERP_P_27,Estimated resident population - Persons - year ended 30 June,Persons - 30-34 years (%),,,,4.3,4.5,4.4,4.1,4.2,
ERP_P_28,Estimated resident population - Persons - year ended 30 June,Persons - 35-39 years (%),,,,5.4,5.1,5.3,5.6,5.4,
ERP_P_29,Estimated resident population - Persons - year ended 30 June,Persons - 40-44 years (%),,,,7.2,6.8,6.4,5.9,6.1,
ERP_P_30,Estimated resident population - Persons - year ended 30 June,Persons - 45-49 years (%),,,,8.6,8.3,8,7.9,7.7,
ERP_P_31,Estimated resident population - Persons - year ended 30 June,Persons - 50-54 years (%),,,,10.4,10.2,10,9.7,9.3,
ERP_P_32,Estimated resident population - Persons - year ended 30 June,Persons - 55-59 years (%),,,,8,8.5,8.8,9.3,9.7,
ERP_P_33,Estimated resident population - Persons - year ended 30 June,Persons - 60-64 years (%),,,,5.7,6,6.2,6.3,6.7,
ERP_P_34,Estimated resident population - Persons - year ended 30 June,Persons - 65-69 years (%),,,,3.5,3.7,4.1,4.7,5.1,
ERP_P_35,Estimated resident population - Persons - year ended 30 June,Persons - 70-74 years (%),,,,2.1,2.3,2.5,2.7,2.9,
ERP_P_36,Estimated resident population - Persons - year ended 30 June,Persons - 75-79 years (%),,,,1.4,1.5,1.6,1.5,1.7,
ERP_P_37,Estimated resident population - Persons - year ended 30 June,Persons - 80-84 years (%),,,,0.7,0.8,0.8,1.1,1.3,
ERP_P_38,Estimated resident population - Persons - year ended 30 June,Persons - 85 and over (%),,,,0.4,0.4,0.5,0.5,0.6,
BD_2,Births and deaths - year ended 31 December,Births (no.),,,43,55,46,47,36,56,
BD_3,Births and deaths - year ended 31 December,Total fertility rate (births per female) (rate),,,1.43,1.43,1.36,1.39,1.24,1.36,
BD_4,Births and deaths - year ended 31 December,Deaths (no.),,,20,27,16,12,26,25,
BD_5,Births and deaths - year ended 31 December,Standardised death rate (per 1000 people) (rate),,,,6.6,,,5,4.8,
MIGRATION_2,Internal and overseas migration - at 30 June,Internal arrivals (no.),,,,,,,,,507
MIGRATION_3,Internal and overseas migration - at 30 June,Internal departures (no.),,,,,,,,,618
MIGRATION_4,Internal and overseas migration - at 30 June,Net internal migration (no.),,,,,,,,,-111
MIGRATION_5,Internal and overseas migration - at 30 June,Overseas arrivals (no.),,,,,,,,,45
MIGRATION_6,Internal and overseas migration - at 30 June,Overseas departures (no.),,,,,,,,,20
MIGRATION_7,Internal and overseas migration - at 30 June,Net overseas migration (no.),,,,,,,,,25
CENSUS_34,Aboriginal and Torres Strait Islander Peoples - Census,Aboriginal and Torres Strait Islander Peoples (no.),5,,23,,,,,39,
CENSUS_2,Aboriginal and Torres Strait Islander Peoples - Census,Aboriginal and Torres Strait Islander Peoples (%),0.1,,0.3,,,,,0.6,
CENSUS_4,Overseas born population - Census,Born in Oceania and Antarctica (excluding Australia) (%),,,1.3,,,,,1.1,
CENSUS_5,Overseas born population - Census,Born in North-West Europe (%),,,5.3,,,,,4.9,
CENSUS_6,Overseas born population - Census,Born in Southern and Eastern Europe (%),,,3.3,,,,,3.2,
CENSUS_7,Overseas born population - Census,Born in North Africa and the Middle East (%),,,1.4,,,,,1.6,
CENSUS_8,Overseas born population - Census,Born in South-East Asia (%),,,2.6,,,,,3,
CENSUS_9,Overseas born population - Census,Born in North-East Asia (%),,,2.3,,,,,3.2,
CENSUS_10,Overseas born population - Census,Born in Southern and Central Asia (%),,,3.2,,,,,3.6,
CENSUS_11,Overseas born population - Census,Born in Americas (%),,,0.6,,,,,0.6,
CENSUS_12,Overseas born population - Census,Born in Sub-Saharan Africa (%),,,1.2,,,,,1.4,
CENSUS_35,Overseas born population - Census,Total born overseas (no.),,,1389,,,,,1501,
CENSUS_13,Overseas born population - Census,Total born overseas (%),,,21.1,,,,,22.8,
CENSUS_15,Religious affiliation - Census,Buddhism (%),1,,1.7,,,,,2,
CENSUS_16,Religious affiliation - Census,Christianity (%),66.4,,56.9,,,,,52.6,
CENSUS_17,Religious affiliation - Census,Hinduism (%),0.7,,0.9,,,,,0.9,
CENSUS_18,Religious affiliation - Census,Islam (%),2.4,,1.8,,,,,2.7,
CENSUS_19,Religious affiliation - Census,Judaism (%),0.2,,0.2,,,,,,
CENSUS_20,Religious affiliation - Census,Other religions (%),0.3,,0.3,,,,,0.7,
CENSUS_40,Religious affiliation - Census,"Secular beliefs, other spiritual beliefs or no religion (%)",22.6,,30.2,,,,,37.4,
CENSUS_22,Religious affiliation - Census,Religious affiliation inadequately described or not stated (%),6.3,,8.1,,,,,3.8,
CENSUS_36,Australian citizenship - Census,Australian citizen (no.),6030,,5881,,,,,6084,
CENSUS_37,Australian citizenship - Census,Not an Australian citizen (no.),352,,346,,,,,377,
CENSUS_38,Australian citizenship - Census,Australian citizenship not stated (no.),174,,364,,,,,134,
CENSUS_29,Australian citizenship - Census,Australian citizen (%),92,,89.3,,,,,92.3,
CENSUS_30,Australian citizenship - Census,Not an Australian citizen (%),5.4,,5.3,,,,,5.7,
CENSUS_31,Australian citizenship - Census,Australian citizenship not stated (%),2.7,,5.5,,,,,2,
CENSUS_39,Speaks a language other than English at home - Census,Speaks a language other than English at home (no.),1059,,1105,,,,,1220,
CENSUS_33,Speaks a language other than English at home - Census,Speaks a language other than English at home (%),16.2,,16.8,,,,,18.5,
ADFS_3,Australian Defence Force service - Persons aged 15 years and over - Census,Previously served in the Australian Defence Force (no.),,,,,,,,62,
ADFS_5,Australian Defence Force service - Persons aged 15 years and over - Census,Previously served in the Australian Defence Force (%),,,,,,,,1.1,
ING_LANG1,Language - Census,Speakers of an Aboriginal or Torres Strait Islander language who identify as Aboriginal and/or Torres Strait Islander (%),0,,0,,,,,0,
ING_LANG2,Language - Census,Speaks English at home (%),100,,66.7,,,,,100,
ING_EETP1,"Engagement in employment, education or training - Census",Fully engaged (%),100,,75,,,,,,
ING_EETP2,"Engagement in employment, education or training - Census",Partially or at least partially engaged (%),0,,0,,,,,,
ING_EETP3,"Engagement in employment, education or training - Census",Not engaged (%),42.9,,0,,,,,,
ING_YR12ATT,Education - Census,Attained year 12 or equivalent or Certificate III or above (aged 20-24 years) (%),0,,100,,,,,,
ING_EMP1,Labour force status - Census,Employed (no.),4,,15,,,,,,
ING_EMP2,Labour force status - Census,% of total labour force employed,100,,83.3,,,,,,
ING_UNEMP1,Labour force status - Census,Unemployed (no.),0,,0,,,,,,
ING_UNEMP2,Labour force status - Census,% of total labour force unemployed,0,,0,,,,,,
ING_LABF,Labour force status - Census,In the labour force (no.),4,,18,,,,,,
ING_LFPR,Labour force status - Census,Labour force participation rate (%),66.7,,90,,,,,,
ING_NILF,Labour force status - Census,Not in the labour force (%),0,,15,,,,,,
ING_1564,Labour force status - Census,Total responding population aged 15-64 years (no.),6,,20,,,,,,
ING_EMP3,Labour force status - Census,% of total Census responding population employed,66.7,,75,,,,,,
ING_UA1,Unpaid assistance to a person with a disability - Census,Provided unpaid assistance (no.),0,,3,,,,,10,
ING_UA2,Unpaid assistance to a person with a disability - Census,Provided unpaid assistance (%),0,,15,,,,,34.5,
ING_UPCC1,Unpaid child care - Census,Cared for own child/children (no.),3,,7,,,,,0,
ING_UPCC2,Unpaid child care - Census,Cared for own child/children (%),42.9,,35,,,,,0,
ING_UPCC3,Unpaid child care - Census,Cared for other child/children (no.),0,,3,,,,,3,
ING_UPCC4,Unpaid child care - Census,Cared for other child/children (%),0,,15,,,,,10.3,
ING_UPCC5,Unpaid child care - Census,Total provided unpaid child care (no.),3,,5,,,,,6,
ING_UPCC6,Unpaid child care - Census,Total provided unpaid child care (%),42.9,,25,,,,,20.7,
ING_UPCC7,Unpaid child care - Census,Did not provide unpaid child care (no.),3,,13,,,,,22,
ING_UPCC8,Unpaid child care - Census,Did not provide unpaid child care (%),42.9,,65,,,,,75.9,
ING_VOLWP1,Voluntary work for an organisation or group - Census,Volunteered for an organisation or group (no.),0,,6,,,,,7,
ING_VOLWP2,Voluntary work for an organisation or group - Census,Volunteered for an organisation or group (%),0,,30,,,,,24.1,
ING_ASHP,Appropriately sized housing - Census,Persons living in appropriately sized dwellings (Closing the Gap measure) (%),100,,100,,,,,85.7,
ING_ONEBR,Appropriately sized housing - Census,Persons living in a dwelling requiring one additional bedroom (%),0,,0,,,,,0,
ING_TWOBR,Appropriately sized housing - Census,Persons living in a dwelling requiring two additional bedrooms (%),0,,0,,,,,0,
ING_THRBR,Appropriately sized housing - Census,Persons living in a dwelling requiring three additional bedrooms (%),0,,0,,,,,0,
ING_FOUBR,Appropriately sized housing - Census,Persons living in a dwelling requiring four or more additional bedrooms (%),0,,0,,,,,0,
ING_TTYPE1,Tenure type - Census,Owner with or without a mortgage (or being purchased under a shared equity scheme) (no.),3,,16,,,,,22,
ING_TTYPE3,Tenure type - Census,Owner with or without a mortgage (or being purchased under a shared equity scheme) (%),42.9,,59.3,,,,,56.4,
ING_TTYPE2,Tenure type - Census,Renter (no.),7,,4,,,,,10,
ING_TTYPE4,Tenure type - Census,Renter (%),100,,14.8,,,,,25.6,
CABEE_2,Number of businesses - at 30 June,Number of non-employing businesses,,,,,364,387,382,390,414
CABEE_3,Number of businesses - at 30 June,Number of employing businesses: 1-4 employees,,,,,193,180,183,211,212
CABEE_4,Number of businesses - at 30 June,Number of employing businesses: 5-19 employees,,,,,37,30,35,37,35
CABEE_38,Number of businesses - at 30 June,Number of employing businesses: 20 or more employees,,,,,6,7,6,3,5
CABEE_5,Number of businesses - at 30 June,Total number of businesses,,,,,602,602,600,634,665
CABEE_7,Business entries - year ended 30 June,Number of non employing business entries,,,,,,61,35,72,79
CABEE_8,Business entries - year ended 30 June,Number of employing business entries: 1-4 employees,,,,,,15,26,19,20
CABEE_9,Business entries - year ended 30 June,Number of employing business entries: 5-19 employees,,,,,,,3,3,5
CABEE_39,Business entries - year ended 30 June,Number of employing business entries: 20 or more employees,,,,,,,,,3
CABEE_10,Business entries - year ended 30 June,Total number of business entries,,,,,,80,65,91,106
CABEE_12,Business exits - year ended 30 June,Number of non employing business exits,,,,,,51,57,51,58
CABEE_13,Business exits - year ended 30 June,Number of employing business exits: 1-4 employees,,,,,,20,12,9,13
CABEE_14,Business exits - year ended 30 June,Number of employing business exits: 5-19 employees,,,,,,3,3,3,4
CABEE_15,Business exits - year ended 30 June,Total number of business exits,,,,,,76,69,61,78
CABEE_19,Number of businesses by industry - at 30 June,"Agriculture, forestry and fishing (no.)",,,,,6,4,5,4,4
CABEE_27,Number of businesses by industry - at 30 June,Manufacturing (no.),,,,,12,14,10,14,10
CABEE_23,Number of businesses by industry - at 30 June,"Electricity, gas water and waste services (no.)",,,,,3,4,4,3,3
CABEE_21,Number of businesses by industry - at 30 June,Construction (no.),,,,,157,166,160,179,197
CABEE_37,Number of businesses by industry - at 30 June,Wholesale trade (no.),,,,,30,25,30,28,28
CABEE_34,Number of businesses by industry - at 30 June,Retail trade (no.),,,,,33,31,29,33,31
CABEE_17,Number of businesses by industry - at 30 June,Accommodation and food services (no.),,,,,10,16,11,14,13
CABEE_36,Number of businesses by industry - at 30 June,"Transport, postal and warehousing (no.)",,,,,43,47,46,38,37
CABEE_26,Number of businesses by industry - at 30 June,Information media and telecommunications (no.),,,,,11,4,3,3,5
CABEE_24,Number of businesses by industry - at 30 June,Financial and insurance services (no.),,,,,39,36,36,39,36
CABEE_33,Number of businesses by industry - at 30 June,"Rental, hiring and real estate services (no.)",,,,,68,76,75,82,75
CABEE_31,Number of businesses by industry - at 30 June,"Professional, scientific and technical services (no.)",,,,,78,71,65,79,81
CABEE_18,Number of businesses by industry - at 30 June,Administrative and support services (no.),,,,,30,36,34,37,41
CABEE_32,Number of businesses by industry - at 30 June,Public administration and safety (no.),,,,,,3,,3,3
CABEE_22,Number of businesses by industry - at 30 June,Education and training (no.),,,,,11,7,7,6,10
CABEE_25,Number of businesses by industry - at 30 June,Health care and social assistance (no.),,,,,26,21,31,32,37
