Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,22779,22973,23087,23062,22221,22383
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,3010.5,3036.1,3051.2,3047.9,2936.7,2958.1
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,10992,11025,11060,11041,10902,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,11787,11948,12027,12021,11319,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,35.1,35.1,35.1,35.6,36.6,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,36.9,37.8,38.7,39.9,39.8,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,36.1,36.5,37,37.8,38.2,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,15584,15654,15695,15591,14931,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,68.4,68.1,68,67.6,67.2,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,568,544,526,512,534,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,702,669,642,630,605,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,705,716,719,718,691,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,708,721,745,728,711,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,1144,1140,1116,1054,937,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,981,991,1009,1003,961,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,681,720,759,779,759,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,681,681,682,691,733,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,691,667,653,658,660,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,780,785,755,728,700,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,,718,722,739,744,781,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,,629,601,594,635,636,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,,527,545,553,552,542,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,,444,443,442,447,456,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,,390,405,414,420,425,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,,264,288,295,311,312,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,,167,175,194,207,218,
