Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,181,168,155,142,129,129
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,6,5.5,5.1,4.7,4.2,4.2
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,108,101,94,87,80,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,73,67,61,55,49,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,37,37.4,37.5,37.5,37,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,37.2,33.5,34.5,34.5,27.1,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,37.4,37.3,37.4,36.5,36.3,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,166,152,135,118,106,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,91.7,90.5,87.1,83.1,82.2,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,4,3,,,,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,6,5,7,6,3,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,11,11,10,9,10,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,18,18,19,17,19,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,9,7,4,5,3,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,18,12,13,13,13,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,4,6,5,3,,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,,3,2,4,4,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,,19,16,14,10,9,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,,2,6,8,9,9,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,,9,7,5,4,4,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,,5,5,1,1,,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,,,,5,5,6,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,,3,2,1,1,,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,,3.7,3,,,,
ERP_M_24,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (%),,,,5.6,5,7.4,6.9,3.8,
ERP_M_25,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (%),,,,10.2,10.9,10.6,10.3,12.5,
ERP_M_26,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (%),,,,16.7,17.8,20.2,19.5,23.8,
ERP_M_27,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (%),,,,8.3,6.9,4.3,5.7,3.8,
ERP_M_28,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (%),,,,16.7,11.9,13.8,14.9,16.3,
ERP_M_29,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (%),,,,3.7,5.9,5.3,3.4,,
ERP_M_30,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (%),,,,,3,2.1,4.6,5,
ERP_M_31,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (%),,,,17.6,15.8,14.9,11.5,11.3,
ERP_M_32,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (%),,,,1.9,5.9,8.5,10.3,11.3,
ERP_M_33,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (%),,,,8.3,6.9,5.3,4.6,5,
ERP_M_34,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (%),,,,4.6,5,1.1,1.1,,
ERP_M_35,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (%),,,,,,5.3,5.7,7.5,
