Measure Code,Parent Description,Description,2011,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,11893,12346,12569,12398,10205,10674
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,14829.2,15394,15672.1,15458.9,12724.4,13309.2
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,6053,6289,6410,6316,5184,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,5840,6057,6159,6082,5021,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,28.9,29.2,29.6,30.3,31.3,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,27.8,28.1,28.5,29,29.9,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,28.3,28.6,29,29.6,30.6,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,10679,11061,11263,11091,9095,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,89.8,89.6,89.6,89.5,89.1,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,136,141,145,136,114,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,76,82,82,84,75,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,42,55,62,64,52,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,368,342,303,249,153,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,1416,1429,1399,1284,948,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,1227,1267,1301,1279,1029,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,845,881,902,905,767,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,506,557,605,643,580,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,322,362,396,433,370,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,214,244,262,265,238,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,191,194,196,215,204,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,181,192,192,194,163,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,151,153,172,179,159,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,146,150,143,144,115,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,115,113,116,106,98,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,55,65,66,70,66,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,30,29,40,40,36,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,32,33,28,26,17,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,2.2,2.2,2.3,2.2,2.2,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,1.3,1.3,1.3,1.3,1.4,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,0.7,0.9,1,1,1,
