Measure Code,Parent Description,Description,2011,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,15810,17150,18394,19192,17439,18789
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,28151.7,30537.7,32752.8,34173.8,31052.4,33456.2
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,7508,8247,8943,9375,8601,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,8302,8903,9451,9817,8838,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,25.2,25.5,25.8,26.2,26.8,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,24.1,24.5,24.9,25.4,26,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,24.6,24.9,25.3,25.8,26.4,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,15063,16347,17542,18306,16599,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,95.3,95.3,95.4,95.4,95.2,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,128,129,128,114,108,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,60,68,79,80,69,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,41,59,66,78,76,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,787,751,712,627,475,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,2669,2865,3022,3036,2618,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,1685,1928,2187,2384,2232,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,905,1043,1173,1293,1259,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,441,515,585,654,647,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,221,272,311,329,329,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,149,165,183,222,228,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,106,117,140,155,164,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,83,96,108,139,130,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,70,73,83,79,93,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,74,73,75,72,61,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,49,51,46,57,59,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,25,22,25,33,25,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,2,8,13,18,24,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,13,12,7,5,4,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,1.7,1.6,1.4,1.2,1.3,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,0.8,0.8,0.9,0.9,0.8,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,0.5,0.7,0.7,0.8,0.9,
ERP_M_24,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (%),,,10.5,9.1,8,6.7,5.5,
ERP_M_25,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (%),,,35.5,34.7,33.8,32.4,30.4,
ERP_M_26,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (%),,,22.4,23.4,24.5,25.4,26,
ERP_M_27,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (%),,,12.1,12.6,13.1,13.8,14.6,
ERP_M_28,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (%),,,5.9,6.2,6.5,7,7.5,
ERP_M_29,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (%),,,2.9,3.3,3.5,3.5,3.8,
ERP_M_30,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (%),,,2,2,2,2.4,2.7,
ERP_M_31,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (%),,,1.4,1.4,1.6,1.7,1.9,
ERP_M_32,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (%),,,1.1,1.2,1.2,1.5,1.5,
ERP_M_33,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (%),,,0.9,0.9,0.9,0.8,1.1,
ERP_M_34,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (%),,,1,0.9,0.8,0.8,0.7,
ERP_M_35,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (%),,,0.7,0.6,0.5,0.6,0.7,
ERP_M_36,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (%),,,0.3,0.3,0.3,0.4,0.3,
ERP_M_37,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (%),,,,0.1,0.1,0.2,0.3,
ERP_M_38,Estimated resident population - Males - year ended 30 June,Males - 85 and over (%),,,0.2,0.1,0.1,0.1,,
ERP_F_2,Estimated resident population - Females - year ended 30 June,Females - 0-4 years (no.),,,138,146,141,124,108,
ERP_F_3,Estimated resident population - Females - year ended 30 June,Females - 5-9 years (no.),,,64,70,81,92,81,
ERP_F_4,Estimated resident population - Females - year ended 30 June,Females - 10-14 years (no.),,,33,37,49,61,69,
ERP_F_5,Estimated resident population - Females - year ended 30 June,Females - 15-19 years (no.),,,1199,1096,960,788,550,
ERP_F_6,Estimated resident population - Females - year ended 30 June,Females - 20-24 years (no.),,,3257,3436,3571,3592,3073,
ERP_F_7,Estimated resident population - Females - year ended 30 June,Females - 25-29 years (no.),,,1714,1949,2200,2408,2234,
ERP_F_8,Estimated resident population - Females - year ended 30 June,Females - 30-34 years (no.),,,819,940,1068,1193,1169,
ERP_F_9,Estimated resident population - Females - year ended 30 June,Females - 35-39 years (no.),,,346,433,524,600,587,
ERP_F_10,Estimated resident population - Females - year ended 30 June,Females - 40-44 years (no.),,,177,203,202,239,262,
ERP_F_11,Estimated resident population - Females - year ended 30 June,Females - 45-49 years (no.),,,156,158,177,196,183,
ERP_F_12,Estimated resident population - Females - year ended 30 June,Females - 50-54 years (no.),,,115,121,134,152,152,
ERP_F_13,Estimated resident population - Females - year ended 30 June,Females - 55-59 years (no.),,,81,96,108,121,122,
ERP_F_14,Estimated resident population - Females - year ended 30 June,Females - 60-64 years (no.),,,83,90,94,99,92,
ERP_F_15,Estimated resident population - Females - year ended 30 June,Females - 65-69 years (no.),,,61,58,68,66,63,
ERP_F_16,Estimated resident population - Females - year ended 30 June,Females - 70-74 years (no.),,,24,33,36,46,57,
ERP_F_17,Estimated resident population - Females - year ended 30 June,Females - 75-79 years (no.),,,15,16,16,24,17,
ERP_F_18,Estimated resident population - Females - year ended 30 June,Females - 80-84 years (no.),,,9,11,13,9,12,
ERP_F_19,Estimated resident population - Females - year ended 30 June,Females - 85 and over (no.),,,11,10,9,7,7,
ERP_F_21,Estimated resident population - Females - year ended 30 June,Females - 0-4 years (%),,,1.7,1.6,1.5,1.3,1.2,
ERP_F_22,Estimated resident population - Females - year ended 30 June,Females - 5-9 years (%),,,0.8,0.8,0.9,0.9,0.9,
ERP_F_23,Estimated resident population - Females - year ended 30 June,Females - 10-14 years (%),,,0.4,0.4,0.5,0.6,0.8,
ERP_F_24,Estimated resident population - Females - year ended 30 June,Females - 15-19 years (%),,,14.4,12.3,10.2,8,6.2,
ERP_F_25,Estimated resident population - Females - year ended 30 June,Females - 20-24 years (%),,,39.2,38.6,37.8,36.6,34.8,
ERP_F_26,Estimated resident population - Females - year ended 30 June,Females - 25-29 years (%),,,20.6,21.9,23.3,24.5,25.3,
ERP_F_27,Estimated resident population - Females - year ended 30 June,Females - 30-34 years (%),,,9.9,10.6,11.3,12.2,13.2,
ERP_F_28,Estimated resident population - Females - year ended 30 June,Females - 35-39 years (%),,,4.2,4.9,5.5,6.1,6.6,
ERP_F_29,Estimated resident population - Females - year ended 30 June,Females - 40-44 years (%),,,2.1,2.3,2.1,2.4,3,
