Measure Code,Parent Description,Description,2011,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,16896,18119,18780,18835,16179,17284
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,16810.3,18027.1,18684.7,18739.4,16096.9,17196.3
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,8515,9154,9505,9552,8243,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,8381,8965,9275,9283,7936,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,27.8,28.2,28.5,29,29.7,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,26.9,27.2,27.5,27.9,28.5,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,27.4,27.7,28,28.5,29.1,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,15916,17053,17670,17717,15207,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,94.2,94.1,94.1,94.1,94,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,195,205,196,191,141,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,87,102,117,103,87,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,37,46,56,66,63,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,463,441,393,332,237,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,2118,2192,2179,2049,1611,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,2245,2398,2496,2504,2132,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,1472,1632,1747,1825,1662,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,648,767,860,942,893,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,343,403,452,503,448,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,216,232,257,264,255,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,183,203,214,212,202,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,164,171,183,198,177,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,142,144,140,137,127,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,92,101,95,95,92,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,58,61,67,74,62,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,24,31,32,31,34,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,15,15,14,22,20,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,13,10,7,4,,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,2.3,2.2,2.1,2,1.7,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,1,1.1,1.2,1.1,1.1,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,0.4,0.5,0.6,0.7,0.8,
ERP_M_24,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (%),,,5.4,4.8,4.1,3.5,2.9,
ERP_M_25,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (%),,,24.9,23.9,22.9,21.5,19.5,
ERP_M_26,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (%),,,26.4,26.2,26.3,26.2,25.9,
ERP_M_27,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (%),,,17.3,17.8,18.4,19.1,20.2,
ERP_M_28,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (%),,,7.6,8.4,9,9.9,10.8,
ERP_M_29,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (%),,,4,4.4,4.8,5.3,5.4,
ERP_M_30,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (%),,,2.5,2.5,2.7,2.8,3.1,
ERP_M_31,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (%),,,2.1,2.2,2.3,2.2,2.5,
ERP_M_32,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (%),,,1.9,1.9,1.9,2.1,2.1,
ERP_M_33,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (%),,,1.7,1.6,1.5,1.4,1.5,
ERP_M_34,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (%),,,1.1,1.1,1,1,1.1,
ERP_M_35,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (%),,,0.7,0.7,0.7,0.8,0.8,
ERP_M_36,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (%),,,0.3,0.3,0.3,0.3,0.4,
ERP_M_37,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (%),,,0.2,0.2,0.1,0.2,0.2,
ERP_M_38,Estimated resident population - Males - year ended 30 June,Males - 85 and over (%),,,0.2,0.1,0.1,,,
ERP_F_2,Estimated resident population - Females - year ended 30 June,Females - 0-4 years (no.),,,186,206,201,182,156,
ERP_F_3,Estimated resident population - Females - year ended 30 June,Females - 5-9 years (no.),,,59,64,66,77,59,
ERP_F_4,Estimated resident population - Females - year ended 30 June,Females - 10-14 years (no.),,,42,41,59,58,53,
ERP_F_5,Estimated resident population - Females - year ended 30 June,Females - 15-19 years (no.),,,581,551,487,408,288,
ERP_F_6,Estimated resident population - Females - year ended 30 June,Females - 20-24 years (no.),,,2362,2453,2444,2316,1839,
ERP_F_7,Estimated resident population - Females - year ended 30 June,Females - 25-29 years (no.),,,2258,2432,2552,2578,2184,
ERP_F_8,Estimated resident population - Females - year ended 30 June,Females - 30-34 years (no.),,,1242,1375,1473,1536,1381,
ERP_F_9,Estimated resident population - Females - year ended 30 June,Females - 35-39 years (no.),,,557,635,700,759,707,
ERP_F_10,Estimated resident population - Females - year ended 30 June,Females - 40-44 years (no.),,,259,305,337,374,355,
ERP_F_11,Estimated resident population - Females - year ended 30 June,Females - 45-49 years (no.),,,242,248,242,247,219,
ERP_F_12,Estimated resident population - Females - year ended 30 June,Females - 50-54 years (no.),,,150,177,217,226,201,
ERP_F_13,Estimated resident population - Females - year ended 30 June,Females - 55-59 years (no.),,,154,162,162,171,165,
ERP_F_14,Estimated resident population - Females - year ended 30 June,Females - 60-64 years (no.),,,117,132,135,136,124,
ERP_F_15,Estimated resident population - Females - year ended 30 June,Females - 65-69 years (no.),,,65,66,84,99,98,
ERP_F_16,Estimated resident population - Females - year ended 30 June,Females - 70-74 years (no.),,,66,72,62,55,47,
ERP_F_17,Estimated resident population - Females - year ended 30 June,Females - 75-79 years (no.),,,16,25,30,35,36,
ERP_F_18,Estimated resident population - Females - year ended 30 June,Females - 80-84 years (no.),,,13,11,16,22,19,
ERP_F_19,Estimated resident population - Females - year ended 30 June,Females - 85 and over (no.),,,12,10,8,4,5,
ERP_F_21,Estimated resident population - Females - year ended 30 June,Females - 0-4 years (%),,,2.2,2.3,2.2,2,2,
ERP_F_22,Estimated resident population - Females - year ended 30 June,Females - 5-9 years (%),,,0.7,0.7,0.7,0.8,0.7,
ERP_F_23,Estimated resident population - Females - year ended 30 June,Females - 10-14 years (%),,,0.5,0.5,0.6,0.6,0.7,
ERP_F_24,Estimated resident population - Females - year ended 30 June,Females - 15-19 years (%),,,6.9,6.1,5.3,4.4,3.6,
ERP_F_25,Estimated resident population - Females - year ended 30 June,Females - 20-24 years (%),,,28.2,27.4,26.4,24.9,23.2,
ERP_F_26,Estimated resident population - Females - year ended 30 June,Females - 25-29 years (%),,,26.9,27.1,27.5,27.8,27.5,
ERP_F_27,Estimated resident population - Females - year ended 30 June,Females - 30-34 years (%),,,14.8,15.3,15.9,16.5,17.4,
ERP_F_28,Estimated resident population - Females - year ended 30 June,Females - 35-39 years (%),,,6.6,7.1,7.5,8.2,8.9,
ERP_F_29,Estimated resident population - Females - year ended 30 June,Females - 40-44 years (%),,,3.1,3.4,3.6,4,4.5,
ERP_F_30,Estimated resident population - Females - year ended 30 June,Females - 45-49 years (%),,,2.9,2.8,2.6,2.7,2.8,
ERP_F_31,Estimated resident population - Females - year ended 30 June,Females - 50-54 years (%),,,1.8,2,2.3,2.4,2.5,
ERP_F_32,Estimated resident population - Females - year ended 30 June,Females - 55-59 years (%),,,1.8,1.8,1.7,1.8,2.1,
ERP_F_33,Estimated resident population - Females - year ended 30 June,Females - 60-64 years (%),,,1.4,1.5,1.5,1.5,1.6,
ERP_F_34,Estimated resident population - Females - year ended 30 June,Females - 65-69 years (%),,,0.8,0.7,0.9,1.1,1.2,
ERP_F_35,Estimated resident population - Females - year ended 30 June,Females - 70-74 years (%),,,0.8,0.8,0.7,0.6,0.6,
ERP_F_36,Estimated resident population - Females - year ended 30 June,Females - 75-79 years (%),,,0.2,0.3,0.3,0.4,0.5,
ERP_F_37,Estimated resident population - Females - year ended 30 June,Females - 80-84 years (%),,,0.2,0.1,0.2,0.2,0.2,
ERP_F_38,Estimated resident population - Females - year ended 30 June,Females - 85 and over (%),,,0.1,0.1,0.1,,0.1,
ERP_P_2,Estimated resident population - Persons - year ended 30 June,Persons - 0-4 years (no.),,,381,411,397,373,297,
ERP_P_3,Estimated resident population - Persons - year ended 30 June,Persons - 5-9 years (no.),,,146,166,183,180,146,
ERP_P_4,Estimated resident population - Persons - year ended 30 June,Persons - 10-14 years (no.),,,79,87,115,124,116,
ERP_P_5,Estimated resident population - Persons - year ended 30 June,Persons - 15-19 years (no.),,,1044,992,880,740,525,
ERP_P_6,Estimated resident population - Persons - year ended 30 June,Persons - 20-24 years (no.),,,4480,4645,4623,4365,3450,
