Measure Code,Parent Description,Description,2011,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,8315,8333,8352,8252,7968,7903
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,843.2,845,846.9,836.8,808,801.4
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,4104,4106,4120,4086,3983,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,4211,4227,4232,4166,3985,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,37.5,37.2,37,37.2,38,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,38.4,38.5,38.8,39.5,40.2,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,37.8,37.9,38.1,38.5,39.2,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,5207,5166,5162,5054,4852,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,62.6,62,61.8,61.2,60.9,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,291,282,272,257,253,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,289,288,306,307,292,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,250,260,233,241,252,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,206,215,236,234,224,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,285,269,265,252,224,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,320,323,321,306,290,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,287,312,315,325,284,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,259,247,260,255,264,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,254,261,239,230,229,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,254,232,253,262,263,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,239,249,239,224,222,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,229,230,227,236,219,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,245,228,228,211,223,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,284,271,248,246,226,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,199,209,230,239,238,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,119,124,137,146,157,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,63,74,73,73,79,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,31,32,38,42,44,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,7.1,6.9,6.6,6.3,6.4,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,7,7,7.4,7.5,7.3,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,6.1,6.3,5.7,5.9,6.3,
ERP_M_24,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (%),,,5,5.2,5.7,5.7,5.6,
ERP_M_25,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (%),,,6.9,6.6,6.4,6.2,5.6,
ERP_M_26,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (%),,,7.8,7.9,7.8,7.5,7.3,
ERP_M_27,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (%),,,7,7.6,7.6,8,7.1,
ERP_M_28,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (%),,,6.3,6,6.3,6.2,6.6,
ERP_M_29,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (%),,,6.2,6.4,5.8,5.6,5.7,
ERP_M_30,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (%),,,6.2,5.7,6.1,6.4,6.6,
ERP_M_31,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (%),,,5.8,6.1,5.8,5.5,5.6,
ERP_M_32,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (%),,,5.6,5.6,5.5,5.8,5.5,
ERP_M_33,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (%),,,6,5.6,5.5,5.2,5.6,
ERP_M_34,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (%),,,6.9,6.6,6,6,5.7,
ERP_M_35,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (%),,,4.8,5.1,5.6,5.8,6,
ERP_M_36,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (%),,,2.9,3,3.3,3.6,3.9,
ERP_M_37,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (%),,,1.5,1.8,1.8,1.8,2,
ERP_M_38,Estimated resident population - Males - year ended 30 June,Males - 85 and over (%),,,0.8,0.8,0.9,1,1.1,
ERP_F_2,Estimated resident population - Females - year ended 30 June,Females - 0-4 years (no.),,,289,272,278,276,272,
ERP_F_3,Estimated resident population - Females - year ended 30 June,Females - 5-9 years (no.),,,265,287,276,265,253,
ERP_F_4,Estimated resident population - Females - year ended 30 June,Females - 10-14 years (no.),,,225,221,227,234,208,
ERP_F_5,Estimated resident population - Females - year ended 30 June,Females - 15-19 years (no.),,,213,217,215,210,210,
ERP_F_6,Estimated resident population - Females - year ended 30 June,Females - 20-24 years (no.),,,305,283,284,274,236,
ERP_F_7,Estimated resident population - Females - year ended 30 June,Females - 25-29 years (no.),,,315,313,306,272,243,
ERP_F_8,Estimated resident population - Females - year ended 30 June,Females - 30-34 years (no.),,,302,304,300,293,279,
ERP_F_9,Estimated resident population - Females - year ended 30 June,Females - 35-39 years (no.),,,263,280,297,294,279,
ERP_F_10,Estimated resident population - Females - year ended 30 June,Females - 40-44 years (no.),,,236,227,218,230,253,
ERP_F_11,Estimated resident population - Females - year ended 30 June,Females - 45-49 years (no.),,,261,263,250,235,228,
ERP_F_12,Estimated resident population - Females - year ended 30 June,Females - 50-54 years (no.),,,220,226,230,232,233,
ERP_F_13,Estimated resident population - Females - year ended 30 June,Females - 55-59 years (no.),,,237,220,224,228,217,
ERP_F_14,Estimated resident population - Females - year ended 30 June,Females - 60-64 years (no.),,,277,267,255,251,232,
ERP_F_15,Estimated resident population - Females - year ended 30 June,Females - 65-69 years (no.),,,315,326,331,305,248,
ERP_F_16,Estimated resident population - Females - year ended 30 June,Females - 70-74 years (no.),,,223,244,250,262,290,
ERP_F_17,Estimated resident population - Females - year ended 30 June,Females - 75-79 years (no.),,,122,122,139,154,148,
ERP_F_18,Estimated resident population - Females - year ended 30 June,Females - 80-84 years (no.),,,86,90,87,83,87,
ERP_F_19,Estimated resident population - Females - year ended 30 June,Females - 85 and over (no.),,,57,65,65,68,69,
ERP_F_21,Estimated resident population - Females - year ended 30 June,Females - 0-4 years (%),,,6.9,6.4,6.6,6.6,6.8,
ERP_F_22,Estimated resident population - Females - year ended 30 June,Females - 5-9 years (%),,,6.3,6.8,6.5,6.4,6.3,
ERP_F_23,Estimated resident population - Females - year ended 30 June,Females - 10-14 years (%),,,5.3,5.2,5.4,5.6,5.2,
ERP_F_24,Estimated resident population - Females - year ended 30 June,Females - 15-19 years (%),,,5.1,5.1,5.1,5,5.3,
ERP_F_25,Estimated resident population - Females - year ended 30 June,Females - 20-24 years (%),,,7.2,6.7,6.7,6.6,5.9,
ERP_F_26,Estimated resident population - Females - year ended 30 June,Females - 25-29 years (%),,,7.5,7.4,7.2,6.5,6.1,
ERP_F_27,Estimated resident population - Females - year ended 30 June,Females - 30-34 years (%),,,7.2,7.2,7.1,7,7,
ERP_F_28,Estimated resident population - Females - year ended 30 June,Females - 35-39 years (%),,,6.2,6.6,7,7.1,7,
ERP_F_29,Estimated resident population - Females - year ended 30 June,Females - 40-44 years (%),,,5.6,5.4,5.2,5.5,6.3,
ERP_F_30,Estimated resident population - Females - year ended 30 June,Females - 45-49 years (%),,,6.2,6.2,5.9,5.6,5.7,
ERP_F_31,Estimated resident population - Females - year ended 30 June,Females - 50-54 years (%),,,5.2,5.3,5.4,5.6,5.8,
ERP_F_32,Estimated resident population - Females - year ended 30 June,Females - 55-59 years (%),,,5.6,5.2,5.3,5.5,5.4,
ERP_F_33,Estimated resident population - Females - year ended 30 June,Females - 60-64 years (%),,,6.6,6.3,6,6,5.8,
ERP_F_34,Estimated resident population - Females - year ended 30 June,Females - 65-69 years (%),,,7.5,7.7,7.8,7.3,6.2,
ERP_F_35,Estimated resident population - Females - year ended 30 June,Females - 70-74 years (%),,,5.3,5.8,5.9,6.3,7.3,
ERP_F_36,Estimated resident population - Females - year ended 30 June,Females - 75-79 years (%),,,2.9,2.9,3.3,3.7,3.7,
ERP_F_37,Estimated resident population - Females - year ended 30 June,Females - 80-84 years (%),,,2,2.1,2.1,2,2.2,
ERP_F_38,Estimated resident population - Females - year ended 30 June,Females - 85 and over (%),,,1.4,1.5,1.5,1.6,1.7,
ERP_P_2,Estimated resident population - Persons - year ended 30 June,Persons - 0-4 years (no.),,,580,554,550,533,525,
