Measure Code,Parent Description,Description,2011,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,9411,10122,10979,11622,12084,12535
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,1090.9,1173.3,1272.7,1347.2,1400.8,1453
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,4660,5015,5439,5750,5978,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,4751,5107,5540,5872,6106,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,30.6,31,31.3,31.6,31.7,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,30.9,31,31.2,31.6,32.1,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,30.7,31,31.3,31.6,31.9,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,6477,6934,7515,7905,8113,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,68.8,68.5,68.4,68,67.1,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,571,572,579,595,624,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,403,444,489,557,645,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,294,335,382,407,444,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,221,256,294,326,327,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,329,344,366,352,349,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,450,450,460,460,413,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,629,642,655,642,586,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,448,540,642,702,765,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,357,393,439,484,491,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,295,329,358,375,409,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,184,204,229,259,292,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,159,153,166,179,197,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,117,127,131,140,152,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,90,96,106,109,112,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,60,67,72,82,81,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,33,43,44,45,47,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,11,13,18,26,31,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,9,7,9,10,13,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,12.3,11.4,10.6,10.3,10.4,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,8.6,8.9,9,9.7,10.8,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,6.3,6.7,7,7.1,7.4,
ERP_M_24,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (%),,,4.7,5.1,5.4,5.7,5.5,
ERP_M_25,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (%),,,7.1,6.9,6.7,6.1,5.8,
ERP_M_26,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (%),,,9.7,9,8.5,8,6.9,
ERP_M_27,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (%),,,13.5,12.8,12,11.2,9.8,
ERP_M_28,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (%),,,9.6,10.8,11.8,12.2,12.8,
ERP_M_29,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (%),,,7.7,7.8,8.1,8.4,8.2,
ERP_M_30,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (%),,,6.3,6.6,6.6,6.5,6.8,
ERP_M_31,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (%),,,3.9,4.1,4.2,4.5,4.9,
ERP_M_32,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (%),,,3.4,3.1,3.1,3.1,3.3,
ERP_M_33,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (%),,,2.5,2.5,2.4,2.4,2.5,
ERP_M_34,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (%),,,1.9,1.9,1.9,1.9,1.9,
ERP_M_35,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (%),,,1.3,1.3,1.3,1.4,1.4,
ERP_M_36,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (%),,,0.7,0.9,0.8,0.8,0.8,
ERP_M_37,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (%),,,0.2,0.3,0.3,0.5,0.5,
ERP_M_38,Estimated resident population - Males - year ended 30 June,Males - 85 and over (%),,,0.2,0.1,0.2,0.2,0.2,
ERP_F_2,Estimated resident population - Females - year ended 30 June,Females - 0-4 years (no.),,,586,604,631,629,593,
ERP_F_3,Estimated resident population - Females - year ended 30 June,Females - 5-9 years (no.),,,396,453,510,559,635,
ERP_F_4,Estimated resident population - Females - year ended 30 June,Females - 10-14 years (no.),,,280,322,365,410,423,
ERP_F_5,Estimated resident population - Females - year ended 30 June,Females - 15-19 years (no.),,,222,243,271,290,341,
ERP_F_6,Estimated resident population - Females - year ended 30 June,Females - 20-24 years (no.),,,292,312,346,355,346,
ERP_F_7,Estimated resident population - Females - year ended 30 June,Females - 25-29 years (no.),,,497,487,504,494,452,
ERP_F_8,Estimated resident population - Females - year ended 30 June,Females - 30-34 years (no.),,,609,634,653,669,654,
ERP_F_9,Estimated resident population - Females - year ended 30 June,Females - 35-39 years (no.),,,493,554,615,670,708,
ERP_F_10,Estimated resident population - Females - year ended 30 June,Females - 40-44 years (no.),,,350,374,421,453,533,
ERP_F_11,Estimated resident population - Females - year ended 30 June,Females - 45-49 years (no.),,,287,324,346,385,398,
ERP_F_12,Estimated resident population - Females - year ended 30 June,Females - 50-54 years (no.),,,200,220,248,270,296,
ERP_F_13,Estimated resident population - Females - year ended 30 June,Females - 55-59 years (no.),,,209,208,211,215,202,
ERP_F_14,Estimated resident population - Females - year ended 30 June,Females - 60-64 years (no.),,,129,140,160,185,202,
ERP_F_15,Estimated resident population - Females - year ended 30 June,Females - 65-69 years (no.),,,93,109,116,127,146,
ERP_F_16,Estimated resident population - Females - year ended 30 June,Females - 70-74 years (no.),,,54,59,73,85,93,
ERP_F_17,Estimated resident population - Females - year ended 30 June,Females - 75-79 years (no.),,,28,38,41,49,49,
ERP_F_18,Estimated resident population - Females - year ended 30 June,Females - 80-84 years (no.),,,18,16,20,16,24,
ERP_F_19,Estimated resident population - Females - year ended 30 June,Females - 85 and over (no.),,,8,10,9,11,11,
