Measure Code,Parent Description,Description,2011,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,6034,9169,14000,18580,23731,28456
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,85.2,129.4,197.6,262.3,335,401.7
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,3053,4639,7085,9408,12010,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,2981,4530,6915,9172,11721,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,30.3,29.9,29.7,29.7,29.9,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,29.9,29.7,29.6,29.7,29.8,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,30.1,29.8,29.7,29.7,29.8,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,4299,6472,9764,12770,16008,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,71.2,70.6,69.7,68.7,67.5,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,351,580,936,1290,1679,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,225,374,613,867,1185,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,175,255,387,529,735,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,164,244,352,451,529,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,234,349,516,627,702,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,355,525,785,1001,1193,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,413,681,1048,1374,1740,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,280,474,804,1179,1582,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,221,328,483,624,835,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,165,220,306,381,506,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,150,191,265,329,374,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,108,147,211,267,332,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,78,105,149,186,236,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,60,73,98,138,172,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,40,52,75,97,118,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,20,23,31,38,56,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,11,13,17,19,18,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,3,5,9,11,18,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,11.5,12.5,13.2,13.7,14,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,7.4,8.1,8.7,9.2,9.9,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,5.7,5.5,5.5,5.6,6.1,
ERP_M_24,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (%),,,5.4,5.3,5,4.8,4.4,
ERP_M_25,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (%),,,7.7,7.5,7.3,6.7,5.8,
ERP_M_26,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (%),,,11.6,11.3,11.1,10.6,9.9,
ERP_M_27,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (%),,,13.5,14.7,14.8,14.6,14.5,
ERP_M_28,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (%),,,9.2,10.2,11.3,12.5,13.2,
ERP_M_29,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (%),,,7.2,7.1,6.8,6.6,7,
ERP_M_30,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (%),,,5.4,4.7,4.3,4,4.2,
ERP_M_31,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (%),,,4.9,4.1,3.7,3.5,3.1,
ERP_M_32,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (%),,,3.5,3.2,3,2.8,2.8,
ERP_M_33,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (%),,,2.6,2.3,2.1,2,2,
ERP_M_34,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (%),,,2,1.6,1.4,1.5,1.4,
ERP_M_35,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (%),,,1.3,1.1,1.1,1,1,
ERP_M_36,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (%),,,0.7,0.5,0.4,0.4,0.5,
ERP_M_37,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (%),,,0.4,0.3,0.2,0.2,0.1,
ERP_M_38,Estimated resident population - Males - year ended 30 June,Males - 85 and over (%),,,0.1,0.1,0.1,0.1,0.1,
ERP_F_2,Estimated resident population - Females - year ended 30 June,Females - 0-4 years (no.),,,325,538,868,1186,1541,
ERP_F_3,Estimated resident population - Females - year ended 30 June,Females - 5-9 years (no.),,,207,337,546,791,1097,
ERP_F_4,Estimated resident population - Females - year ended 30 June,Females - 10-14 years (no.),,,190,283,418,531,691,
ERP_F_5,Estimated resident population - Females - year ended 30 June,Females - 15-19 years (no.),,,141,202,294,371,466,
ERP_F_6,Estimated resident population - Females - year ended 30 June,Females - 20-24 years (no.),,,224,330,483,601,701,
ERP_F_7,Estimated resident population - Females - year ended 30 June,Females - 25-29 years (no.),,,408,622,933,1197,1441,
ERP_F_8,Estimated resident population - Females - year ended 30 June,Females - 30-34 years (no.),,,396,672,1084,1469,1850,
ERP_F_9,Estimated resident population - Females - year ended 30 June,Females - 35-39 years (no.),,,256,410,660,937,1311,
ERP_F_10,Estimated resident population - Females - year ended 30 June,Females - 40-44 years (no.),,,192,286,427,555,703,
ERP_F_11,Estimated resident population - Females - year ended 30 June,Females - 45-49 years (no.),,,174,220,303,365,431,
ERP_F_12,Estimated resident population - Females - year ended 30 June,Females - 50-54 years (no.),,,144,194,272,344,428,
ERP_F_13,Estimated resident population - Females - year ended 30 June,Females - 55-59 years (no.),,,111,153,225,288,353,
ERP_F_14,Estimated resident population - Females - year ended 30 June,Females - 60-64 years (no.),,,85,119,164,224,295,
ERP_F_15,Estimated resident population - Females - year ended 30 June,Females - 65-69 years (no.),,,55,75,118,157,207,
ERP_F_16,Estimated resident population - Females - year ended 30 June,Females - 70-74 years (no.),,,39,48,58,80,112,
ERP_F_17,Estimated resident population - Females - year ended 30 June,Females - 75-79 years (no.),,,22,24,43,54,64,
ERP_F_18,Estimated resident population - Females - year ended 30 June,Females - 80-84 years (no.),,,7,10,11,15,21,
ERP_F_19,Estimated resident population - Females - year ended 30 June,Females - 85 and over (no.),,,5,7,8,7,9,
ERP_F_21,Estimated resident population - Females - year ended 30 June,Females - 0-4 years (%),,,10.9,11.9,12.6,12.9,13.1,
ERP_F_22,Estimated resident population - Females - year ended 30 June,Females - 5-9 years (%),,,6.9,7.4,7.9,8.6,9.4,
ERP_F_23,Estimated resident population - Females - year ended 30 June,Females - 10-14 years (%),,,6.4,6.2,6,5.8,5.9,
ERP_F_24,Estimated resident population - Females - year ended 30 June,Females - 15-19 years (%),,,4.7,4.5,4.3,4,4,
ERP_F_25,Estimated resident population - Females - year ended 30 June,Females - 20-24 years (%),,,7.5,7.3,7,6.6,6,
ERP_F_26,Estimated resident population - Females - year ended 30 June,Females - 25-29 years (%),,,13.7,13.7,13.5,13.1,12.3,
ERP_F_27,Estimated resident population - Females - year ended 30 June,Females - 30-34 years (%),,,13.3,14.8,15.7,16,15.8,
ERP_F_28,Estimated resident population - Females - year ended 30 June,Females - 35-39 years (%),,,8.6,9.1,9.5,10.2,11.2,
ERP_F_29,Estimated resident population - Females - year ended 30 June,Females - 40-44 years (%),,,6.4,6.3,6.2,6.1,6,
ERP_F_30,Estimated resident population - Females - year ended 30 June,Females - 45-49 years (%),,,5.8,4.9,4.4,4,3.7,
ERP_F_31,Estimated resident population - Females - year ended 30 June,Females - 50-54 years (%),,,4.8,4.3,3.9,3.8,3.7,
ERP_F_32,Estimated resident population - Females - year ended 30 June,Females - 55-59 years (%),,,3.7,3.4,3.3,3.1,3,
ERP_F_33,Estimated resident population - Females - year ended 30 June,Females - 60-64 years (%),,,2.9,2.6,2.4,2.4,2.5,
ERP_F_34,Estimated resident population - Females - year ended 30 June,Females - 65-69 years (%),,,1.8,1.7,1.7,1.7,1.8,
ERP_F_35,Estimated resident population - Females - year ended 30 June,Females - 70-74 years (%),,,1.3,1.1,0.8,0.9,1,
ERP_F_36,Estimated resident population - Females - year ended 30 June,Females - 75-79 years (%),,,0.7,0.5,0.6,0.6,0.5,
ERP_F_37,Estimated resident population - Females - year ended 30 June,Females - 80-84 years (%),,,0.2,0.2,0.2,0.2,0.2,
ERP_F_38,Estimated resident population - Females - year ended 30 June,Females - 85 and over (%),,,0.2,0.2,0.1,0.1,0.1,
ERP_P_2,Estimated resident population - Persons - year ended 30 June,Persons - 0-4 years (no.),,,676,1118,1804,2476,3220,
ERP_P_3,Estimated resident population - Persons - year ended 30 June,Persons - 5-9 years (no.),,,432,711,1159,1658,2282,
ERP_P_4,Estimated resident population - Persons - year ended 30 June,Persons - 10-14 years (no.),,,365,538,805,1060,1426,
ERP_P_5,Estimated resident population - Persons - year ended 30 June,Persons - 15-19 years (no.),,,305,446,646,822,995,
ERP_P_6,Estimated resident population - Persons - year ended 30 June,Persons - 20-24 years (no.),,,458,679,999,1228,1403,
ERP_P_7,Estimated resident population - Persons - year ended 30 June,Persons - 25-29 years (no.),,,763,1147,1718,2198,2634,
ERP_P_8,Estimated resident population - Persons - year ended 30 June,Persons - 30-34 years (no.),,,809,1353,2132,2843,3590,
ERP_P_9,Estimated resident population - Persons - year ended 30 June,Persons - 35-39 years (no.),,,536,884,1464,2116,2893,
ERP_P_10,Estimated resident population - Persons - year ended 30 June,Persons - 40-44 years (no.),,,413,614,910,1179,1538,
ERP_P_11,Estimated resident population - Persons - year ended 30 June,Persons - 45-49 years (no.),,,339,440,609,746,937,
ERP_P_12,Estimated resident population - Persons - year ended 30 June,Persons - 50-54 years (no.),,,294,385,537,673,802,
ERP_P_13,Estimated resident population - Persons - year ended 30 June,Persons - 55-59 years (no.),,,219,300,436,555,685,
ERP_P_14,Estimated resident population - Persons - year ended 30 June,Persons - 60-64 years (no.),,,163,224,313,410,531,
ERP_P_15,Estimated resident population - Persons - year ended 30 June,Persons - 65-69 years (no.),,,115,148,216,295,379,
ERP_P_16,Estimated resident population - Persons - year ended 30 June,Persons - 70-74 years (no.),,,79,100,133,177,230,
ERP_P_17,Estimated resident population - Persons - year ended 30 June,Persons - 75-79 years (no.),,,42,47,74,92,120,
ERP_P_18,Estimated resident population - Persons - year ended 30 June,Persons - 80-84 years (no.),,,18,23,28,34,39,
ERP_P_19,Estimated resident population - Persons - year ended 30 June,Persons - 85 and over (no.),,,8,12,17,18,27,
ERP_P_21,Estimated resident population - Persons - year ended 30 June,Persons - 0-4 years (%),,,11.2,12.2,12.9,13.3,13.6,
ERP_P_22,Estimated resident population - Persons - year ended 30 June,Persons - 5-9 years (%),,,7.2,7.8,8.3,8.9,9.6,
ERP_P_23,Estimated resident population - Persons - year ended 30 June,Persons - 10-14 years (%),,,6,5.9,5.8,5.7,6,
ERP_P_24,Estimated resident population - Persons - year ended 30 June,Persons - 15-19 years (%),,,5.1,4.9,4.6,4.4,4.2,
ERP_P_25,Estimated resident population - Persons - year ended 30 June,Persons - 20-24 years (%),,,7.6,7.4,7.1,6.6,5.9,
ERP_P_26,Estimated resident population - Persons - year ended 30 June,Persons - 25-29 years (%),,,12.6,12.5,12.3,11.8,11.1,
ERP_P_27,Estimated resident population - Persons - year ended 30 June,Persons - 30-34 years (%),,,13.4,14.8,15.2,15.3,15.1,
ERP_P_28,Estimated resident population - Persons - year ended 30 June,Persons - 35-39 years (%),,,8.9,9.6,10.5,11.4,12.2,
ERP_P_29,Estimated resident population - Persons - year ended 30 June,Persons - 40-44 years (%),,,6.8,6.7,6.5,6.3,6.5,
ERP_P_30,Estimated resident population - Persons - year ended 30 June,Persons - 45-49 years (%),,,5.6,4.8,4.4,4,3.9,
ERP_P_31,Estimated resident population - Persons - year ended 30 June,Persons - 50-54 years (%),,,4.9,4.2,3.8,3.6,3.4,
ERP_P_32,Estimated resident population - Persons - year ended 30 June,Persons - 55-59 years (%),,,3.6,3.3,3.1,3,2.9,
ERP_P_33,Estimated resident population - Persons - year ended 30 June,Persons - 60-64 years (%),,,2.7,2.4,2.2,2.2,2.2,
ERP_P_34,Estimated resident population - Persons - year ended 30 June,Persons - 65-69 years (%),,,1.9,1.6,1.5,1.6,1.6,
ERP_P_35,Estimated resident population - Persons - year ended 30 June,Persons - 70-74 years (%),,,1.3,1.1,1,1,1,
ERP_P_36,Estimated resident population - Persons - year ended 30 June,Persons - 75-79 years (%),,,0.7,0.5,0.5,0.5,0.5,
ERP_P_37,Estimated resident population - Persons - year ended 30 June,Persons - 80-84 years (%),,,0.3,0.3,0.2,0.2,0.2,
ERP_P_38,Estimated resident population - Persons - year ended 30 June,Persons - 85 and over (%),,,0.1,0.1,0.1,0.1,0.1,
BD_2,Births and deaths - year ended 31 December,Births (no.),,78,156,248,418,498,635,
BD_3,Births and deaths - year ended 31 December,Total fertility rate (births per female) (rate),,1.51,1.92,2.23,2.37,2.36,2.34,
BD_4,Births and deaths - year ended 31 December,Deaths (no.),,7,12,14,16,23,22,
MIGRATION_2,Internal and overseas migration - at 30 June,Internal arrivals (no.),,,,,,,,5498
MIGRATION_3,Internal and overseas migration - at 30 June,Internal departures (no.),,,,,,,,1563
MIGRATION_4,Internal and overseas migration - at 30 June,Net internal migration (no.),,,,,,,,3935
MIGRATION_5,Internal and overseas migration - at 30 June,Overseas arrivals (no.),,,,,,,,199
MIGRATION_6,Internal and overseas migration - at 30 June,Overseas departures (no.),,,,,,,,86
MIGRATION_7,Internal and overseas migration - at 30 June,Net overseas migration (no.),,,,,,,,113
CENSUS_34,Aboriginal and Torres Strait Islander Peoples - Census,Aboriginal and Torres Strait Islander Peoples (no.),11,20,,,,,182,
CENSUS_2,Aboriginal and Torres Strait Islander Peoples - Census,Aboriginal and Torres Strait Islander Peoples (%),0.7,0.6,,,,,0.8,
CENSUS_4,Overseas born population - Census,Born in Oceania and Antarctica (excluding Australia) (%),,3.4,,,,,4.5,
CENSUS_5,Overseas born population - Census,Born in North-West Europe (%),,3,,,,,1,
CENSUS_6,Overseas born population - Census,Born in Southern and Eastern Europe (%),,5.3,,,,,1.9,
CENSUS_7,Overseas born population - Census,Born in North Africa and the Middle East (%),,4.5,,,,,8.7,
CENSUS_8,Overseas born population - Census,Born in South-East Asia (%),,3,,,,,3.7,
CENSUS_9,Overseas born population - Census,Born in North-East Asia (%),,0.2,,,,,0.4,
CENSUS_10,Overseas born population - Census,Born in Southern and Central Asia (%),,10.3,,,,,23.3,
CENSUS_11,Overseas born population - Census,Born in Americas (%),,0.5,,,,,0.5,
CENSUS_12,Overseas born population - Census,Born in Sub-Saharan Africa (%),,1.4,,,,,1.5,
CENSUS_35,Overseas born population - Census,Total born overseas (no.),,1068,,,,,10628,
CENSUS_13,Overseas born population - Census,Total born overseas (%),,31.5,,,,,45.5,
CENSUS_15,Religious affiliation - Census,Buddhism (%),2.5,2.7,,,,,2.1,
CENSUS_16,Religious affiliation - Census,Christianity (%),71.3,58,,,,,36.5,
CENSUS_17,Religious affiliation - Census,Hinduism (%),0.3,3.9,,,,,8.7,
CENSUS_18,Religious affiliation - Census,Islam (%),7.1,5.2,,,,,12.2,
CENSUS_19,Religious affiliation - Census,Judaism (%),,0.1,,,,,,
CENSUS_20,Religious affiliation - Census,Other religions (%),1.3,5.3,,,,,17.2,
CENSUS_40,Religious affiliation - Census,"Secular beliefs, other spiritual beliefs or no religion (%)",11.2,17.6,,,,,16.4,
CENSUS_22,Religious affiliation - Census,Religious affiliation inadequately described or not stated (%),6.8,7.5,,,,,6.9,
CENSUS_36,Australian citizenship - Census,Australian citizen (no.),1393,2742,,,,,17134,
CENSUS_37,Australian citizenship - Census,Not an Australian citizen (no.),69,456,,,,,5044,
CENSUS_38,Australian citizenship - Census,Australian citizenship not stated (no.),52,189,,,,,1197,
CENSUS_29,Australian citizenship - Census,Australian citizen (%),92.2,80.9,,,,,73.3,
CENSUS_30,Australian citizenship - Census,Not an Australian citizen (%),4.6,13.5,,,,,21.6,
CENSUS_31,Australian citizenship - Census,Australian citizenship not stated (%),3.4,5.6,,,,,5.1,
CENSUS_39,Speaks a language other than English at home - Census,Speaks a language other than English at home (no.),420,1251,,,,,13256,
CENSUS_33,Speaks a language other than English at home - Census,Speaks a language other than English at home (%),27.8,36.9,,,,,56.7,
ADFS_2,Australian Defence Force service - Persons aged 15 years and over - Census,Currently serving in the Australian Defence Force (no.),,,,,,,25,
ADFS_3,Australian Defence Force service - Persons aged 15 years and over - Census,Previously served in the Australian Defence Force (no.),,,,,,,76,
ADFS_4,Australian Defence Force service - Persons aged 15 years and over - Census,Currently serving in the Australian Defence Force (%),,,,,,,0.2,
ADFS_5,Australian Defence Force service - Persons aged 15 years and over - Census,Previously served in the Australian Defence Force (%),,,,,,,0.5,
ING_LANG1,Language - Census,Speakers of an Aboriginal or Torres Strait Islander language who identify as Aboriginal and/or Torres Strait Islander (%),0,0,,,,,2.8,
ING_LANG2,Language - Census,Speaks English at home (%),100,100,,,,,96.6,
