Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,16858,16907,16940,16880,16658,16627
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,1401.6,1405.7,1408.4,1403.4,1385,1382.4
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,8180,8221,8247,8197,8018,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,8678,8686,8693,8683,8640,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,39.8,40.2,40.7,41.1,41,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,41.6,41.9,42,42.6,43.4,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,40.8,41.1,41.5,42,42.4,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,10660,10595,10508,10362,10075,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,63.2,62.7,62,61.4,60.5,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,629,596,560,528,527,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,540,565,590,591,589,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,483,494,511,546,571,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,441,438,443,448,459,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,438,421,392,366,348,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,506,506,490,435,366,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,514,508,497,489,463,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,566,561,568,570,562,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,600,587,577,559,552,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,589,596,578,592,606,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,,472,488,515,556,554,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,,520,505,507,465,420,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,,483,491,495,494,472,
