Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,15489,15768,16081,16621,16406,16574
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,3556.5,3620.6,3692.5,3816.4,3767.1,3805.7
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,7513,7652,7805,8063,7950,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,7976,8116,8276,8558,8456,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,36.5,36.4,36.3,36.6,37.2,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,37.6,37.6,37.6,37.9,38.5,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,37.1,37,36.9,37.2,37.9,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,10805,11062,11349,11800,11601,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,69.8,70.2,70.6,71,70.7,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,459,445,441,428,402,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,406,407,404,401,403,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,370,372,368,373,355,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,373,389,393,393,379,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,598,610,619,612,560,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,702,766,829,876,839,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,663,662,682,738,742,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,579,603,617,638,640,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,501,502,510,533,546,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,538,525,516,521,490,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,,497,501,507,535,537,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,,446,475,488,522,530,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,,371,360,384,416,418,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,,330,341,340,349,364,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,,239,259,270,282,283,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,,156,156,153,158,187,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,,136,135,143,144,126,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,,149,144,141,144,149,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,,6.1,5.8,5.7,5.3,5.1,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,,5.4,5.3,5.2,5,5.1,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,,4.9,4.9,4.7,4.6,4.5,
ERP_M_24,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (%),,,,5,5.1,5,4.9,4.8,
ERP_M_25,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (%),,,,8,8,7.9,7.6,7,
ERP_M_26,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (%),,,,9.3,10,10.6,10.9,10.6,
ERP_M_27,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (%),,,,8.8,8.7,8.7,9.2,9.3,
ERP_M_28,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (%),,,,7.7,7.9,7.9,7.9,8.1,
ERP_M_29,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (%),,,,6.7,6.6,6.5,6.6,6.9,
ERP_M_30,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (%),,,,7.2,6.9,6.6,6.5,6.2,
ERP_M_31,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (%),,,,6.6,6.5,6.5,6.6,6.8,
ERP_M_32,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (%),,,,5.9,6.2,6.3,6.5,6.7,
ERP_M_33,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (%),,,,4.9,4.7,4.9,5.2,5.3,
ERP_M_34,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (%),,,,4.4,4.5,4.4,4.3,4.6,
ERP_M_35,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (%),,,,3.2,3.4,3.5,3.5,3.6,
ERP_M_36,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (%),,,,2.1,2,2,2,2.4,
ERP_M_37,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (%),,,,1.8,1.8,1.8,1.8,1.6,
