Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,5,10,16,21,26,26
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,1.6,3.3,5.2,6.8,8.5,8.5
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,4,8,12,16,20,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,1,2,4,5,6,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,26,26.5,27,27.5,19.3,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,57.5,44,30.5,31,24.5,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,32.3,32.9,35.7,35.8,22.9,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,5,10,16,21,26,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,100,100,100,100,100,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,,,,,19,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,,4,8,12,16,1,
ERP_M_25,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (%),,,,,,,,95,
ERP_M_31,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (%),,,,100,100,100,100,5,
ERP_F_6,Estimated resident population - Females - year ended 30 June,Females - 20-24 years (no.),,,,,,,,2,
ERP_F_7,Estimated resident population - Females - year ended 30 June,Females - 25-29 years (no.),,,,,,,,2,
ERP_F_13,Estimated resident population - Females - year ended 30 June,Females - 55-59 years (no.),,,,1,2,4,,,
ERP_F_14,Estimated resident population - Females - year ended 30 June,Females - 60-64 years (no.),,,,,,,5,2,
ERP_F_25,Estimated resident population - Females - year ended 30 June,Females - 20-24 years (%),,,,,,,,33.3,
ERP_F_26,Estimated resident population - Females - year ended 30 June,Females - 25-29 years (%),,,,,,,,33.3,
ERP_F_32,Estimated resident population - Females - year ended 30 June,Females - 55-59 years (%),,,,100,100,100,,,
ERP_F_33,Estimated resident population - Females - year ended 30 June,Females - 60-64 years (%),,,,,,,100,33.3,
ERP_P_6,Estimated resident population - Persons - year ended 30 June,Persons - 20-24 years (no.),,,,,,,,21,
ERP_P_7,Estimated resident population - Persons - year ended 30 June,Persons - 25-29 years (no.),,,,,,,,2,
ERP_P_12,Estimated resident population - Persons - year ended 30 June,Persons - 50-54 years (no.),,,,4,8,12,16,1,
ERP_P_13,Estimated resident population - Persons - year ended 30 June,Persons - 55-59 years (no.),,,,1,2,4,,,
ERP_P_14,Estimated resident population - Persons - year ended 30 June,Persons - 60-64 years (no.),,,,,,,5,2,
ERP_P_25,Estimated resident population - Persons - year ended 30 June,Persons - 20-24 years (%),,,,,,,,80.8,
ERP_P_26,Estimated resident population - Persons - year ended 30 June,Persons - 25-29 years (%),,,,,,,,7.7,
ERP_P_31,Estimated resident population - Persons - year ended 30 June,Persons - 50-54 years (%),,,,80,80,75,76.2,3.8,
ERP_P_32,Estimated resident population - Persons - year ended 30 June,Persons - 55-59 years (%),,,,20,20,25,,,
ERP_P_33,Estimated resident population - Persons - year ended 30 June,Persons - 60-64 years (%),,,,,,,23.8,7.7,
CENSUS_9,Overseas born population - Census,Born in North-East Asia (%),,,,,,,,76.9,
CENSUS_35,Overseas born population - Census,Total born overseas (no.),,,,,,,,20,
CENSUS_13,Overseas born population - Census,Total born overseas (%),,,,,,,,76.9,
CENSUS_16,Religious affiliation - Census,Christianity (%),,,,,,,,11.5,
