Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,21072,21341,21692,21752,21429,21395
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,2644.5,2678.3,2722.4,2729.9,2689.3,2685.1
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,10213,10312,10432,10460,10204,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,10859,11029,11260,11292,11225,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,39.1,39.2,39.4,40,40.8,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,41.1,40.9,40.7,41.2,42.4,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,40.2,40.1,40.1,40.6,41.7,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,13762,13917,14148,14174,13927,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,65.3,65.2,65.2,65.2,65,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,640,623,626,588,558,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,735,723,698,697,635,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,709,757,788,807,791,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,607,629,652,662,692,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,654,656,647,618,542,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,572,562,574,557,513,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,632,622,610,625,590,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,679,692,709,680,646,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,820,787,757,742,740,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,860,882,903,897,844,
