Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,19585,19899,20069,20037,19475,19568
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,2251,2287.1,2306.6,2302.9,2238.4,2249
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,9755,10038,10191,10157,9656,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,9830,9861,9878,9880,9819,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,37.1,37.1,37,37.3,38.2,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,41.3,41.3,41.2,41.4,41.7,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,39.3,39.1,38.8,39.3,40,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,12490,12660,12785,12820,12515,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,63.8,63.6,63.7,64,64.3,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,618,602,579,523,468,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,619,695,740,748,630,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,631,693,724,707,614,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,602,611,630,633,623,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,782,786,797,804,743,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,716,726,741,736,700,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,611,606,611,625,640,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,655,715,715,728,675,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,623,638,682,673,621,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,726,730,705,664,638,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,,635,636,645,668,661,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,,500,557,585,598,595,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,,449,439,448,459,463,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,,391,401,381,395,390,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,,331,336,351,360,361,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,,325,314,306,294,295,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,,270,276,260,254,256,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,,271,277,291,288,283,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,,6.3,6,5.7,5.1,4.8,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,,6.3,6.9,7.3,7.4,6.5,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,,6.5,6.9,7.1,7,6.4,
ERP_M_24,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (%),,,,6.2,6.1,6.2,6.2,6.5,
ERP_M_25,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (%),,,,8,7.8,7.8,7.9,7.7,
ERP_M_26,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (%),,,,7.3,7.2,7.3,7.2,7.2,
ERP_M_27,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (%),,,,6.3,6,6,6.2,6.6,
ERP_M_28,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (%),,,,6.7,7.1,7,7.2,7,
ERP_M_29,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (%),,,,6.4,6.4,6.7,6.6,6.4,
ERP_M_30,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (%),,,,7.4,7.3,6.9,6.5,6.6,
ERP_M_31,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (%),,,,6.5,6.3,6.3,6.6,6.8,
ERP_M_32,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (%),,,,5.1,5.5,5.7,5.9,6.2,
ERP_M_33,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (%),,,,4.6,4.4,4.4,4.5,4.8,
ERP_M_34,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (%),,,,4,4,3.7,3.9,4,
ERP_M_35,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (%),,,,3.4,3.3,3.4,3.5,3.7,
ERP_M_36,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (%),,,,3.3,3.1,3,2.9,3.1,
ERP_M_37,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (%),,,,2.8,2.7,2.6,2.5,2.7,
ERP_M_38,Estimated resident population - Males - year ended 30 June,Males - 85 and over (%),,,,2.8,2.8,2.9,2.8,2.9,
ERP_F_2,Estimated resident population - Females - year ended 30 June,Females - 0-4 years (no.),,,,485,485,489,472,463,
ERP_F_3,Estimated resident population - Females - year ended 30 June,Females - 5-9 years (no.),,,,580,575,570,569,586,
ERP_F_4,Estimated resident population - Females - year ended 30 June,Females - 10-14 years (no.),,,,594,600,601,604,600,
ERP_F_5,Estimated resident population - Females - year ended 30 June,Females - 15-19 years (no.),,,,544,539,549,551,556,
ERP_F_6,Estimated resident population - Females - year ended 30 June,Females - 20-24 years (no.),,,,656,639,635,626,589,
ERP_F_7,Estimated resident population - Females - year ended 30 June,Females - 25-29 years (no.),,,,610,612,573,532,505,
