Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,8275,8367,8376,8356,8310,8229
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,240.5,243.2,243.4,242.8,241.5,239.2
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,4141,4188,4191,4183,4159,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,4134,4179,4185,4173,4151,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,40.6,40.7,40.8,41.4,42.1,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,41.7,42,42.1,42.7,43.4,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,41.2,41.4,41.4,42,42.8,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,5518,5560,5540,5501,5394,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,66.7,66.5,66.1,65.8,64.9,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,201,199,189,182,177,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,273,261,274,262,263,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,308,315,311,322,325,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,357,366,357,349,337,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,362,375,380,369,340,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,209,213,216,209,197,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,161,158,154,155,170,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,173,178,183,193,198,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,236,230,221,209,203,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,324,320,300,285,265,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,,326,322,326,337,342,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,,337,338,348,341,330,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,,264,274,285,301,305,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,,230,230,221,220,238,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,,162,183,185,192,199,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,,87,92,107,118,128,
