Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,13728,13694,13595,13396,13266,13157
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,2206.9,2201.5,2185.6,2153.6,2132.7,2115.1
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,6888,6882,6845,6757,6692,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,6840,6812,6750,6639,6574,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,32.3,32.3,32.4,32.8,33.9,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,35.7,36.2,36.6,37.1,37.9,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,34.3,34.6,34.9,35.3,36.2,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,9428,9479,9461,9273,9159,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,68.7,69.2,69.6,69.2,69,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,413,397,391,368,372,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,603,559,506,475,464,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,671,656,636,637,621,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,687,693,695,687,655,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,586,625,656,644,610,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,341,368,386,395,386,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,304,299,301,309,302,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,397,380,364,339,334,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,519,484,453,424,419,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,608,599,581,565,529,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,,505,530,540,532,553,
