Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,7362,7498,7586,7635,7520,7559
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,2626.8,2675.3,2706.7,2724.2,2683.1,2697
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,3562,3631,3676,3704,3643,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,3800,3867,3910,3931,3877,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,37.5,37.4,37.5,37.7,38.3,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,39.8,39.9,40,40.6,41.6,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,38.9,38.7,38.7,39.2,40,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,4829,4915,5013,5071,5016,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,65.6,65.6,66.1,66.4,66.7,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,228,236,223,218,213,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,256,237,232,216,199,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,247,266,264,273,258,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,241,246,269,268,262,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,217,231,248,258,258,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,229,234,232,240,232,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,245,245,246,242,236,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,242,244,247,247,245,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,273,269,257,255,255,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,294,284,288,281,267,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,,259,294,302,294,294,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,,208,204,216,246,251,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,,160,162,167,181,183,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,,140,147,141,136,137,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,,94,106,123,141,146,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,,81,75,67,62,66,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,,69,73,75,72,69,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,,79,78,79,74,72,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,,6.4,6.5,6.1,5.9,5.8,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,,7.2,6.5,6.3,5.8,5.5,
