Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,13294,13482,13590,13596,12901,12849
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,3529,3578.9,3607.5,3609.1,3424.7,3410.8
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,6754,6824,6868,6868,6610,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,6540,6658,6722,6728,6291,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,33.6,33.8,33.9,34.4,34.7,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,34.2,34.5,34.7,35.1,34.9,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,33.9,34.1,34.3,34.7,34.8,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,9382,9548,9637,9628,9052,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,70.6,70.8,70.9,70.8,70.2,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,530,536,530,509,479,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,325,317,330,345,349,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,242,253,235,232,226,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,277,278,287,271,245,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,603,608,605,581,528,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,776,782,796,794,757,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,850,829,811,789,756,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,571,593,611,633,648,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,418,435,443,421,431,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,381,383,379,384,356,
