Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,19784,20015,20260,20215,19818,19642
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,4126.3,4174.5,4225.6,4216.2,4133.4,4096.7
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,9919,10033,10150,10116,9927,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,9865,9982,10110,10099,9891,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,33.5,33.6,33.6,34,34.9,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,35.8,35.9,36,36.3,36.8,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,34.5,34.6,34.7,35.1,35.9,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,13344,13548,13807,13795,13403,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,67.4,67.7,68.1,68.2,67.6,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,671,650,622,611,597,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,587,582,591,574,568,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,522,529,519,512,484,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,597,602,609,589,561,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,939,970,990,960,825,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,975,1008,1083,1062,1022,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,949,943,912,930,919,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,655,672,705,730,756,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,554,546,545,563,592,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,604,584,561,545,548,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,,539,585,604,598,560,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,,529,532,558,558,559,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,,463,457,450,460,477,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,,390,391,402,402,402,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,,379,402,389,381,375,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,,248,253,268,291,323,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,,186,186,192,193,194,
