Measure Code,Parent Description,Description,2011,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,17005,17592,17955,18171,15998,16580
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,7012.9,7255,7404.7,7493.8,6597.7,6837.7
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,8277,8561,8746,8864,7811,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,8728,9031,9209,9307,8187,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,29.3,29.8,30.2,31,31.4,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,28.5,29.1,29.9,30.7,31.1,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,28.9,29.5,30,30.9,31.3,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,13921,14261,14421,14493,12916,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,81.9,81.1,80.3,79.8,80.7,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,368,420,452,417,283,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,322,345,368,395,315,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,267,291,307,353,325,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,490,476,459,429,369,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,1412,1372,1317,1219,1033,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,1453,1432,1414,1378,1247,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,951,1001,1056,1111,1116,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,671,712,707,710,697,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,502,564,652,683,521,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,395,442,462,480,414,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,322,353,341,429,319,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,310,328,357,361,287,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,248,251,258,269,274,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,197,207,227,251,227,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,150,154,153,162,178,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,98,102,107,111,109,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,68,56,57,57,53,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,53,55,52,49,44,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,4.4,4.9,5.2,4.7,3.6,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,3.9,4,4.2,4.5,4,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,3.2,3.4,3.5,4,4.2,
ERP_M_24,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (%),,,5.9,5.6,5.2,4.8,4.7,
ERP_M_25,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (%),,,17.1,16,15.1,13.8,13.2,
ERP_M_26,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (%),,,17.6,16.7,16.2,15.5,16,
ERP_M_27,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (%),,,11.5,11.7,12.1,12.5,14.3,
ERP_M_28,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (%),,,8.1,8.3,8.1,8,8.9,
ERP_M_29,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (%),,,6.1,6.6,7.5,7.7,6.7,
ERP_M_30,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (%),,,4.8,5.2,5.3,5.4,5.3,
ERP_M_31,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (%),,,3.9,4.1,3.9,4.8,4.1,
ERP_M_32,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (%),,,3.7,3.8,4.1,4.1,3.7,
ERP_M_33,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (%),,,3,2.9,2.9,3,3.5,
ERP_M_34,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (%),,,2.4,2.4,2.6,2.8,2.9,
ERP_M_35,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (%),,,1.8,1.8,1.7,1.8,2.3,
ERP_M_36,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (%),,,1.2,1.2,1.2,1.3,1.4,
ERP_M_37,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (%),,,0.8,0.7,0.7,0.6,0.7,
ERP_M_38,Estimated resident population - Males - year ended 30 June,Males - 85 and over (%),,,0.6,0.6,0.6,0.6,0.6,
