Measure Code,Parent Description,Description,2011,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,16000,16077,16150,16162,15230,15116
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,4554,4575.9,4596.7,4600.1,4334.8,4302.4
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,7613,7647,7678,7683,7299,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,8387,8430,8472,8479,7931,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,35.8,36.1,36.5,37.2,37.6,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,36.9,37.3,37.7,38.5,38.2,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,36.4,36.7,37.2,37.9,37.9,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,11320,11401,11457,11435,10794,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,70.8,70.9,70.9,70.8,70.9,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,482,465,447,413,363,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,482,490,505,515,374,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,405,427,439,450,443,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,359,356,354,349,371,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,479,477,467,441,418,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,718,703,693,676,655,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,760,743,714,694,705,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,630,660,695,687,619,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,598,579,559,546,521,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,584,583,589,621,547,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,474,521,532,541,547,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,405,407,420,450,431,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,311,326,363,368,355,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,275,268,262,284,274,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,203,211,210,207,215,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,183,169,171,177,180,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,145,147,141,137,143,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,120,115,117,127,138,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,6.3,6.1,5.8,5.4,5,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,6.3,6.4,6.6,6.7,5.1,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,5.3,5.6,5.7,5.9,6.1,
ERP_M_24,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (%),,,4.7,4.7,4.6,4.5,5.1,
ERP_M_25,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (%),,,6.3,6.2,6.1,5.7,5.7,
ERP_M_26,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (%),,,9.4,9.2,9,8.8,9,
ERP_M_27,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (%),,,10,9.7,9.3,9,9.7,
ERP_M_28,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (%),,,8.3,8.6,9.1,8.9,8.5,
ERP_M_29,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (%),,,7.9,7.6,7.3,7.1,7.1,
ERP_M_30,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (%),,,7.7,7.6,7.7,8.1,7.5,
ERP_M_31,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (%),,,6.2,6.8,6.9,7,7.5,
