Measure Code,Parent Description,Description,2011,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,7778,7936,8064,8140,7976,8089
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,3305.1,3372.3,3426.7,3459,3389.3,3437.3
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,3860,3935,4001,4043,3955,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,3918,4001,4063,4097,4021,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,34.6,34.5,34.4,34.5,34.8,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,36.3,36,35.9,36.3,36.7,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,35.3,35.2,35.2,35.4,35.8,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,5458,5608,5726,5786,5661,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,70.2,70.7,71,71.1,71,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,274,289,285,282,285,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,216,202,211,229,232,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,192,193,201,187,179,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,217,218,207,202,184,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,262,291,314,326,314,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,362,372,383,386,366,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,447,450,462,452,435,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,366,398,415,444,433,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,260,269,283,289,300,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,244,240,238,237,236,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,204,195,201,215,232,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,205,210,211,203,188,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,171,167,163,163,161,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,125,128,120,130,127,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,77,80,91,91,90,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,87,76,68,63,63,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,70,67,64,57,54,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,81,90,84,87,76,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,7.1,7.3,7.1,7,7.2,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,5.6,5.1,5.3,5.7,5.9,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,5,4.9,5,4.6,4.5,
ERP_M_24,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (%),,,5.6,5.5,5.2,5,4.7,
ERP_M_25,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (%),,,6.8,7.4,7.8,8.1,7.9,
ERP_M_26,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (%),,,9.4,9.5,9.6,9.5,9.3,
ERP_M_27,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (%),,,11.6,11.4,11.5,11.2,11,
ERP_M_28,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (%),,,9.5,10.1,10.4,11,10.9,
ERP_M_29,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (%),,,6.7,6.8,7.1,7.1,7.6,
ERP_M_30,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (%),,,6.3,6.1,5.9,5.9,6,
ERP_M_31,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (%),,,5.3,5,5,5.3,5.9,
ERP_M_32,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (%),,,5.3,5.3,5.3,5,4.8,
ERP_M_33,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (%),,,4.4,4.2,4.1,4,4.1,
ERP_M_34,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (%),,,3.2,3.3,3,3.2,3.2,
ERP_M_35,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (%),,,2,2,2.3,2.3,2.3,
ERP_M_36,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (%),,,2.3,1.9,1.7,1.6,1.6,
