Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,22986,23247,23554,23689,23254,23497
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,2260.1,2285.8,2316,2329.3,2286.5,2310.4
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,11468,11613,11783,11846,11605,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,11518,11634,11771,11843,11649,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,34.7,34.7,34.6,34.9,35.6,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,36.9,36.8,37,37.5,38.2,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,35.7,35.7,35.8,36.1,36.8,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,15961,16165,16417,16493,16076,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,69.4,69.5,69.7,69.6,69.1,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,701,714,718,728,709,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,672,671,662,646,639,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,536,542,563,575,581,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,622,612,603,579,543,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,1096,1114,1123,1088,985,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,1123,1189,1272,1272,1199,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,1042,1031,1026,1056,1018,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,884,928,956,964,957,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,768,763,749,761,782,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,828,797,796,787,752,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,,673,696,693,712,732,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,,595,600,641,645,640,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,,454,471,483,514,539,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,,372,375,389,418,426,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,,327,340,338,331,333,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,,296,298,289,272,275,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,,224,223,227,236,231,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,,255,249,255,262,264,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,,6.1,6.1,6.1,6.1,6.1,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,,5.9,5.8,5.6,5.5,5.5,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,,4.7,4.7,4.8,4.9,5,
ERP_M_24,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (%),,,,5.4,5.3,5.1,4.9,4.7,
ERP_M_25,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (%),,,,9.6,9.6,9.5,9.2,8.5,
ERP_M_26,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (%),,,,9.8,10.2,10.8,10.7,10.3,
ERP_M_27,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (%),,,,9.1,8.9,8.7,8.9,8.8,
