Measure Code,Parent Description,Description,2011,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,17544,17849,17948,17932,17409,17452
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,3788.4,3854.2,3875.6,3872.2,3759.2,3768.5
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,8476,8535,8562,8556,8449,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,9068,9314,9386,9376,8960,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,34.4,34.5,34.5,34.9,35.6,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,36.6,36.4,36.4,36.5,37,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,35.5,35.4,35.4,35.7,36.3,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,11890,12132,12276,12301,11989,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,67.8,68,68.4,68.6,68.9,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,636,614,600,593,577,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,515,540,548,535,510,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,444,454,452,453,451,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,428,416,426,427,424,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,603,611,610,582,526,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,811,809,806,787,741,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,906,917,922,922,899,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,765,787,801,815,823,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,583,586,582,590,640,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,580,586,572,574,544,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,454,451,478,505,532,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,440,441,438,444,433,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,307,329,354,351,377,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,258,254,236,244,254,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,189,196,211,224,218,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,158,149,146,148,147,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,169,166,158,149,143,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,230,229,222,213,210,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,7.5,7.2,7,6.9,6.8,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,6.1,6.3,6.4,6.3,6,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,5.2,5.3,5.3,5.3,5.3,
ERP_M_24,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (%),,,5,4.9,5,5,5,
