Measure Code,Parent Description,Description,2011,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,15210,15258,15212,14957,14330,14295
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,2739.2,2747.9,2739.6,2693.6,2580.7,2574.4
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,7614,7646,7623,7498,7180,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,7596,7612,7589,7459,7150,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,33.4,33.5,33.7,34.2,35.1,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,34.6,35.1,35.7,36.4,37.1,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,34,34.3,34.7,35.4,36.2,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,10085,10150,10184,10106,9790,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,66.3,66.5,66.9,67.6,68.3,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,680,631,566,503,451,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,824,785,718,636,560,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,638,698,755,767,699,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,514,521,530,548,556,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,415,460,485,477,445,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,408,384,390,415,418,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,526,517,507,479,452,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,704,668,635,605,569,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,676,655,629,605,603,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,694,722,697,669,615,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,467,492,553,587,581,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,333,370,377,388,390,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,231,224,236,256,270,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,178,187,204,213,206,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,147,145,151,157,163,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,104,110,97,91,92,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,54,53,61,69,78,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,21,24,32,33,32,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,8.9,8.3,7.4,6.7,6.3,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,10.8,10.3,9.4,8.5,7.8,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,8.4,9.1,9.9,10.2,9.7,
ERP_M_24,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (%),,,6.8,6.8,7,7.3,7.7,
ERP_M_25,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (%),,,5.5,6,6.4,6.4,6.2,
ERP_M_26,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (%),,,5.4,5,5.1,5.5,5.8,
ERP_M_27,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (%),,,6.9,6.8,6.7,6.4,6.3,
ERP_M_28,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (%),,,9.2,8.7,8.3,8.1,7.9,
ERP_M_29,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (%),,,8.9,8.6,8.3,8.1,8.4,
ERP_M_30,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (%),,,9.1,9.4,9.1,8.9,8.6,
ERP_M_31,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (%),,,6.1,6.4,7.3,7.8,8.1,
ERP_M_32,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (%),,,4.4,4.8,4.9,5.2,5.4,
ERP_M_33,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (%),,,3,2.9,3.1,3.4,3.8,
