Measure Code,Parent Description,Description,2011,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,9501,9671,9730,9786,9690,9733
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,3233.8,3291.7,3311.8,3330.8,3298.2,3312.8
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,4734,4825,4857,4883,4833,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,4767,4846,4873,4903,4857,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,32.6,32.9,33,33.3,33.6,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,32.4,32.7,33.2,33.7,34.4,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,32.5,32.8,33.1,33.5,34,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,6435,6603,6669,6730,6614,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,67.7,68.3,68.5,68.8,68.3,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,533,473,427,388,381,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,482,487,485,484,478,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,325,363,376,395,416,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,290,289,299,316,318,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,214,250,294,306,291,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,288,293,295,292,275,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,517,492,452,423,378,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,599,621,621,600,553,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,446,470,484,507,525,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,369,370,372,375,362,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,220,242,256,274,308,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,152,156,165,175,187,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,109,119,118,121,118,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,87,82,80,87,95,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,47,61,70,74,79,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,27,20,29,29,31,
