Measure Code,Parent Description,Description,2011,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,375,783,1281,1705,1942,2216
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,49.1,102.5,167.6,223.1,254.1,290
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,202,416,683,907,1032,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,173,367,598,798,910,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,31.6,31.7,31.6,31.6,32,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,31.4,30.9,30.9,30.9,31.1,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,31.5,31.3,31.3,31.3,31.7,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,334,708,1141,1518,1737,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,89.1,90.4,89.1,89,89.4,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,7,14,27,39,36,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,5,11,18,25,30,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,5,9,21,28,29,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,9,15,19,18,22,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,17,36,59,79,85,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,45,92,149,200,220,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,38,84,139,183,210,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,27,52,78,103,124,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,14,30,48,62,72,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,15,31,49,64,75,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,9,22,37,47,49,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,4,9,18,27,43,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,2,5,10,18,21,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,1,1,4,6,7,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,3,4,6,3,3,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,,1,1,5,6,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,1,,,,,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,3.5,3.4,4,4.3,3.5,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,2.5,2.6,2.6,2.8,2.9,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,2.5,2.2,3.1,3.1,2.8,
