Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,13029,13115,13229,13263,12828,12754
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,3651.7,3675.8,3707.8,3717.3,3595.4,3574.7
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,6396,6433,6487,6500,6255,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,6633,6682,6742,6763,6573,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,35.8,35.9,35.9,36.4,37.1,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,37.3,37.5,37.8,38.5,39.5,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,36.6,36.8,36.9,37.5,38.4,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,9040,9122,9241,9259,8863,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,69.4,69.6,69.9,69.8,69.1,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,420,403,411,418,414,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,420,427,428,406,387,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,343,353,352,372,385,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,301,312,322,307,299,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,444,422,411,403,338,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,564,564,559,528,504,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,616,639,636,631,545,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,533,549,555,578,570,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,510,506,530,545,515,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,510,498,501,481,473,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,,361,371,383,411,441,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,,354,355,325,312,298,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,,280,294,327,350,302,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,,216,215,219,217,230,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,,153,153,166,183,190,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,,153,149,129,120,119,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,,121,120,127,124,136,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,,97,103,106,114,109,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,,6.6,6.3,6.3,6.4,6.6,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,,6.6,6.6,6.6,6.2,6.2,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,,5.4,5.5,5.4,5.7,6.2,
ERP_M_24,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (%),,,,4.7,4.8,5,4.7,4.8,
ERP_M_25,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (%),,,,6.9,6.6,6.3,6.2,5.4,
ERP_M_26,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (%),,,,8.8,8.8,8.6,8.1,8.1,
ERP_M_27,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (%),,,,9.6,9.9,9.8,9.7,8.7,
ERP_M_28,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (%),,,,8.3,8.5,8.6,8.9,9.1,
ERP_M_29,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (%),,,,8,7.9,8.2,8.4,8.2,
ERP_M_30,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (%),,,,8,7.7,7.7,7.4,7.6,
ERP_M_31,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (%),,,,5.6,5.8,5.9,6.3,7.1,
ERP_M_32,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (%),,,,5.5,5.5,5,4.8,4.8,
ERP_M_33,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (%),,,,4.4,4.6,5,5.4,4.8,
ERP_M_34,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (%),,,,3.4,3.3,3.4,3.3,3.7,
ERP_M_35,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (%),,,,2.4,2.4,2.6,2.8,3,
ERP_M_36,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (%),,,,2.4,2.3,2,1.8,1.9,
ERP_M_37,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (%),,,,1.9,1.9,2,1.9,2.2,
ERP_M_38,Estimated resident population - Males - year ended 30 June,Males - 85 and over (%),,,,1.5,1.6,1.6,1.8,1.7,
