Measure Code,Parent Description,Description,2011,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,15349,15485,15573,15546,14989,14924
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,3205.7,3234.1,3252.5,3246.9,3130.5,3117
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,7461,7534,7591,7610,7380,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,7888,7951,7982,7936,7609,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,34.5,34.4,34.4,34.7,35.3,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,37.1,37.8,38.5,39,37.2,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,35.7,36,36.3,36.6,36.2,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,10507,10661,10790,10822,10511,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,68.5,68.8,69.3,69.6,70.1,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,555,566,566,538,496,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,395,401,399,394,375,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,294,299,301,309,306,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,290,282,289,283,265,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,544,560,570,559,510,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,851,851,857,845,785,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,877,896,909,927,907,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,623,646,671,695,699,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,518,504,499,502,482,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,428,444,469,468,472,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,397,394,378,393,410,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,347,358,365,372,359,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,295,297,305,311,329,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,243,251,241,256,254,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,231,230,227,221,216,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,206,188,193,190,186,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,185,184,176,174,166,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,182,183,176,173,163,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,7.4,7.5,7.5,7.1,6.7,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,5.3,5.3,5.3,5.2,5.1,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,3.9,4,4,4.1,4.1,
ERP_M_24,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (%),,,3.9,3.7,3.8,3.7,3.6,
ERP_M_25,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (%),,,7.3,7.4,7.5,7.3,6.9,
ERP_M_26,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (%),,,11.4,11.3,11.3,11.1,10.6,
ERP_M_27,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (%),,,11.8,11.9,12,12.2,12.3,
ERP_M_28,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (%),,,8.4,8.6,8.8,9.1,9.5,
ERP_M_29,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (%),,,6.9,6.7,6.6,6.6,6.5,
ERP_M_30,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (%),,,5.7,5.9,6.2,6.1,6.4,
ERP_M_31,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (%),,,5.3,5.2,5,5.2,5.6,
ERP_M_32,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (%),,,4.7,4.8,4.8,4.9,4.9,
ERP_M_33,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (%),,,4,3.9,4,4.1,4.5,
ERP_M_34,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (%),,,3.3,3.3,3.2,3.4,3.4,
ERP_M_35,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (%),,,3.1,3.1,3,2.9,2.9,
ERP_M_36,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (%),,,2.8,2.5,2.5,2.5,2.5,
ERP_M_37,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (%),,,2.5,2.4,2.3,2.3,2.2,
ERP_M_38,Estimated resident population - Males - year ended 30 June,Males - 85 and over (%),,,2.4,2.4,2.3,2.3,2.2,
