Measure Code,Parent Description,Description,2011,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,10466,10445,10409,10337,9887,9703
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,2310.5,2305.9,2297.9,2282,2182.7,2142.1
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,5229,5227,5211,5183,4980,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,5237,5218,5198,5154,4907,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,41.2,41.1,40.8,41.1,41.6,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,44.2,44.1,44.2,44.7,45.2,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,42.7,42.5,42.5,42.9,43.3,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,6280,6299,6315,6268,5911,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,60,60.3,60.7,60.6,59.8,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,292,296,286,277,295,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,265,244,249,260,241,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,252,270,274,259,247,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,301,269,251,226,228,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,340,383,394,405,359,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,397,388,383,359,343,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,368,370,382,395,344,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,313,335,338,345,344,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,335,319,310,301,281,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,355,357,340,336,323,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,323,327,340,333,337,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,258,251,263,289,276,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,235,239,252,250,239,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,241,225,203,197,204,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,265,271,262,273,238,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,269,254,254,240,238,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,226,227,215,216,218,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,194,202,215,222,225,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,5.6,5.7,5.5,5.3,5.9,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,5.1,4.7,4.8,5,4.8,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,4.8,5.2,5.3,5,5,
ERP_M_24,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (%),,,5.8,5.1,4.8,4.4,4.6,
ERP_M_25,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (%),,,6.5,7.3,7.6,7.8,7.2,
ERP_M_26,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (%),,,7.6,7.4,7.3,6.9,6.9,
ERP_M_27,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (%),,,7,7.1,7.3,7.6,6.9,
ERP_M_28,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (%),,,6,6.4,6.5,6.7,6.9,
ERP_M_29,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (%),,,6.4,6.1,5.9,5.8,5.6,
ERP_M_30,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (%),,,6.8,6.8,6.5,6.5,6.5,
ERP_M_31,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (%),,,6.2,6.3,6.5,6.4,6.8,
ERP_M_32,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (%),,,4.9,4.8,5,5.6,5.5,
ERP_M_33,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (%),,,4.5,4.6,4.8,4.8,4.8,
ERP_M_34,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (%),,,4.6,4.3,3.9,3.8,4.1,
ERP_M_35,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (%),,,5.1,5.2,5,5.3,4.8,
ERP_M_36,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (%),,,5.1,4.9,4.9,4.6,4.8,
ERP_M_37,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (%),,,4.3,4.3,4.1,4.2,4.4,
ERP_M_38,Estimated resident population - Males - year ended 30 June,Males - 85 and over (%),,,3.7,3.9,4.1,4.3,4.5,
