Measure Code,Parent Description,Description,2011,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,14929,14954,14933,14781,14248,14238
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,2654.2,2658.6,2654.9,2627.9,2533.1,2531.3
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,7493,7513,7504,7425,7113,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,7436,7441,7429,7356,7135,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,34.5,35,35.3,35.8,35.9,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,36.2,36.5,36.8,37.3,37.9,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,35.3,35.7,36.1,36.5,36.8,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,10378,10469,10506,10379,9947,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,69.5,70,70.4,70.2,69.8,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,583,540,500,491,514,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,509,497,475,425,440,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,348,382,397,438,381,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,309,309,313,296,285,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,499,490,480,445,407,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,742,726,727,697,649,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,846,818,822,784,737,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,705,745,735,777,714,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,566,589,599,582,539,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,460,477,498,516,494,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,429,423,429,423,440,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,414,448,432,422,398,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,302,303,339,363,326,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,223,216,221,225,247,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,173,179,172,187,182,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,132,127,131,129,139,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,119,124,120,108,104,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,134,120,114,117,117,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,7.8,7.2,6.7,6.6,7.2,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,6.8,6.6,6.3,5.7,6.2,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,4.6,5.1,5.3,5.9,5.4,
ERP_M_24,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (%),,,4.1,4.1,4.2,4,4,
ERP_M_25,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (%),,,6.7,6.5,6.4,6,5.7,
ERP_M_26,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (%),,,9.9,9.7,9.7,9.4,9.1,
ERP_M_27,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (%),,,11.3,10.9,11,10.6,10.4,
ERP_M_28,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (%),,,9.4,9.9,9.8,10.5,10,
ERP_M_29,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (%),,,7.6,7.8,8,7.8,7.6,
ERP_M_30,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (%),,,6.1,6.3,6.6,6.9,6.9,
ERP_M_31,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (%),,,5.7,5.6,5.7,5.7,6.2,
ERP_M_32,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (%),,,5.5,6,5.8,5.7,5.6,
ERP_M_33,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (%),,,4,4,4.5,4.9,4.6,
ERP_M_34,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (%),,,3,2.9,2.9,3,3.5,
ERP_M_35,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (%),,,2.3,2.4,2.3,2.5,2.6,
ERP_M_36,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (%),,,1.8,1.7,1.7,1.7,2,
ERP_M_37,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (%),,,1.6,1.7,1.6,1.5,1.5,
ERP_M_38,Estimated resident population - Males - year ended 30 June,Males - 85 and over (%),,,1.8,1.6,1.5,1.6,1.6,
ERP_F_2,Estimated resident population - Females - year ended 30 June,Females - 0-4 years (no.),,,568,546,524,487,428,
ERP_F_3,Estimated resident population - Females - year ended 30 June,Females - 5-9 years (no.),,,451,442,422,417,395,
ERP_F_4,Estimated resident population - Females - year ended 30 June,Females - 10-14 years (no.),,,288,315,353,370,355,
ERP_F_5,Estimated resident population - Females - year ended 30 June,Females - 15-19 years (no.),,,270,268,268,254,254,
ERP_F_6,Estimated resident population - Females - year ended 30 June,Females - 20-24 years (no.),,,472,460,444,420,386,
ERP_F_7,Estimated resident population - Females - year ended 30 June,Females - 25-29 years (no.),,,688,673,659,636,605,
ERP_F_8,Estimated resident population - Females - year ended 30 June,Females - 30-34 years (no.),,,816,793,783,750,721,
ERP_F_9,Estimated resident population - Females - year ended 30 June,Females - 35-39 years (no.),,,694,727,718,727,715,
ERP_F_10,Estimated resident population - Females - year ended 30 June,Females - 40-44 years (no.),,,526,532,570,589,607,
ERP_F_11,Estimated resident population - Females - year ended 30 June,Females - 45-49 years (no.),,,508,531,503,507,497,
ERP_F_12,Estimated resident population - Females - year ended 30 June,Females - 50-54 years (no.),,,429,444,464,470,480,
ERP_F_13,Estimated resident population - Females - year ended 30 June,Females - 55-59 years (no.),,,368,374,411,405,397,
ERP_F_14,Estimated resident population - Females - year ended 30 June,Females - 60-64 years (no.),,,335,339,312,316,296,
ERP_F_15,Estimated resident population - Females - year ended 30 June,Females - 65-69 years (no.),,,235,231,254,279,263,
ERP_F_16,Estimated resident population - Females - year ended 30 June,Females - 70-74 years (no.),,,205,209,205,207,218,
ERP_F_17,Estimated resident population - Females - year ended 30 June,Females - 75-79 years (no.),,,178,179,176,173,172,
ERP_F_18,Estimated resident population - Females - year ended 30 June,Females - 80-84 years (no.),,,159,143,133,135,147,
ERP_F_19,Estimated resident population - Females - year ended 30 June,Females - 85 and over (no.),,,246,235,230,214,199,
ERP_F_21,Estimated resident population - Females - year ended 30 June,Females - 0-4 years (%),,,7.6,7.3,7.1,6.6,6,
ERP_F_22,Estimated resident population - Females - year ended 30 June,Females - 5-9 years (%),,,6.1,5.9,5.7,5.7,5.5,
ERP_F_23,Estimated resident population - Females - year ended 30 June,Females - 10-14 years (%),,,3.9,4.2,4.8,5,5,
ERP_F_24,Estimated resident population - Females - year ended 30 June,Females - 15-19 years (%),,,3.6,3.6,3.6,3.5,3.6,
ERP_F_25,Estimated resident population - Females - year ended 30 June,Females - 20-24 years (%),,,6.3,6.2,6,5.7,5.4,
ERP_F_26,Estimated resident population - Females - year ended 30 June,Females - 25-29 years (%),,,9.3,9,8.9,8.6,8.5,
ERP_F_27,Estimated resident population - Females - year ended 30 June,Females - 30-34 years (%),,,11,10.7,10.5,10.2,10.1,
ERP_F_28,Estimated resident population - Females - year ended 30 June,Females - 35-39 years (%),,,9.3,9.8,9.7,9.9,10,
ERP_F_29,Estimated resident population - Females - year ended 30 June,Females - 40-44 years (%),,,7.1,7.1,7.7,8,8.5,
ERP_F_30,Estimated resident population - Females - year ended 30 June,Females - 45-49 years (%),,,6.8,7.1,6.8,6.9,7,
ERP_F_31,Estimated resident population - Females - year ended 30 June,Females - 50-54 years (%),,,5.8,6,6.2,6.4,6.7,
ERP_F_32,Estimated resident population - Females - year ended 30 June,Females - 55-59 years (%),,,4.9,5,5.5,5.5,5.6,
ERP_F_33,Estimated resident population - Females - year ended 30 June,Females - 60-64 years (%),,,4.5,4.6,4.2,4.3,4.1,
ERP_F_34,Estimated resident population - Females - year ended 30 June,Females - 65-69 years (%),,,3.2,3.1,3.4,3.8,3.7,
ERP_F_35,Estimated resident population - Females - year ended 30 June,Females - 70-74 years (%),,,2.8,2.8,2.8,2.8,3.1,
ERP_F_36,Estimated resident population - Females - year ended 30 June,Females - 75-79 years (%),,,2.4,2.4,2.4,2.4,2.4,
ERP_F_37,Estimated resident population - Females - year ended 30 June,Females - 80-84 years (%),,,2.1,1.9,1.8,1.8,2.1,
ERP_F_38,Estimated resident population - Females - year ended 30 June,Females - 85 and over (%),,,3.3,3.2,3.1,2.9,2.8,
ERP_P_2,Estimated resident population - Persons - year ended 30 June,Persons - 0-4 years (no.),,,1151,1086,1024,978,942,
ERP_P_3,Estimated resident population - Persons - year ended 30 June,Persons - 5-9 years (no.),,,960,939,897,842,835,
ERP_P_4,Estimated resident population - Persons - year ended 30 June,Persons - 10-14 years (no.),,,636,697,750,808,736,
ERP_P_5,Estimated resident population - Persons - year ended 30 June,Persons - 15-19 years (no.),,,579,577,581,550,539,
ERP_P_6,Estimated resident population - Persons - year ended 30 June,Persons - 20-24 years (no.),,,971,950,924,865,793,
ERP_P_7,Estimated resident population - Persons - year ended 30 June,Persons - 25-29 years (no.),,,1430,1399,1386,1333,1254,
ERP_P_8,Estimated resident population - Persons - year ended 30 June,Persons - 30-34 years (no.),,,1662,1611,1605,1534,1458,
ERP_P_9,Estimated resident population - Persons - year ended 30 June,Persons - 35-39 years (no.),,,1399,1472,1453,1504,1429,
ERP_P_10,Estimated resident population - Persons - year ended 30 June,Persons - 40-44 years (no.),,,1092,1121,1169,1171,1146,
ERP_P_11,Estimated resident population - Persons - year ended 30 June,Persons - 45-49 years (no.),,,968,1008,1001,1023,991,
ERP_P_12,Estimated resident population - Persons - year ended 30 June,Persons - 50-54 years (no.),,,858,867,893,893,920,
ERP_P_13,Estimated resident population - Persons - year ended 30 June,Persons - 55-59 years (no.),,,782,822,843,827,795,
ERP_P_14,Estimated resident population - Persons - year ended 30 June,Persons - 60-64 years (no.),,,637,642,651,679,622,
ERP_P_15,Estimated resident population - Persons - year ended 30 June,Persons - 65-69 years (no.),,,458,447,475,504,510,
ERP_P_16,Estimated resident population - Persons - year ended 30 June,Persons - 70-74 years (no.),,,378,388,377,394,400,
ERP_P_17,Estimated resident population - Persons - year ended 30 June,Persons - 75-79 years (no.),,,310,306,307,302,311,
ERP_P_18,Estimated resident population - Persons - year ended 30 June,Persons - 80-84 years (no.),,,278,267,253,243,251,
ERP_P_19,Estimated resident population - Persons - year ended 30 June,Persons - 85 and over (no.),,,380,355,344,331,316,
ERP_P_21,Estimated resident population - Persons - year ended 30 June,Persons - 0-4 years (%),,,7.7,7.3,6.9,6.6,6.6,
ERP_P_22,Estimated resident population - Persons - year ended 30 June,Persons - 5-9 years (%),,,6.4,6.3,6,5.7,5.9,
ERP_P_23,Estimated resident population - Persons - year ended 30 June,Persons - 10-14 years (%),,,4.3,4.7,5,5.5,5.2,
ERP_P_24,Estimated resident population - Persons - year ended 30 June,Persons - 15-19 years (%),,,3.9,3.9,3.9,3.7,3.8,
ERP_P_25,Estimated resident population - Persons - year ended 30 June,Persons - 20-24 years (%),,,6.5,6.4,6.2,5.9,5.6,
ERP_P_26,Estimated resident population - Persons - year ended 30 June,Persons - 25-29 years (%),,,9.6,9.4,9.3,9,8.8,
ERP_P_27,Estimated resident population - Persons - year ended 30 June,Persons - 30-34 years (%),,,11.1,10.8,10.7,10.4,10.2,
ERP_P_28,Estimated resident population - Persons - year ended 30 June,Persons - 35-39 years (%),,,9.4,9.8,9.7,10.2,10,
ERP_P_29,Estimated resident population - Persons - year ended 30 June,Persons - 40-44 years (%),,,7.3,7.5,7.8,7.9,8,
ERP_P_30,Estimated resident population - Persons - year ended 30 June,Persons - 45-49 years (%),,,6.5,6.7,6.7,6.9,7,
ERP_P_31,Estimated resident population - Persons - year ended 30 June,Persons - 50-54 years (%),,,5.7,5.8,6,6,6.5,
ERP_P_32,Estimated resident population - Persons - year ended 30 June,Persons - 55-59 years (%),,,5.2,5.5,5.6,5.6,5.6,
ERP_P_33,Estimated resident population - Persons - year ended 30 June,Persons - 60-64 years (%),,,4.3,4.3,4.4,4.6,4.4,
ERP_P_34,Estimated resident population - Persons - year ended 30 June,Persons - 65-69 years (%),,,3.1,3,3.2,3.4,3.6,
ERP_P_35,Estimated resident population - Persons - year ended 30 June,Persons - 70-74 years (%),,,2.5,2.6,2.5,2.7,2.8,
ERP_P_36,Estimated resident population - Persons - year ended 30 June,Persons - 75-79 years (%),,,2.1,2,2.1,2,2.2,
ERP_P_37,Estimated resident population - Persons - year ended 30 June,Persons - 80-84 years (%),,,1.9,1.8,1.7,1.6,1.8,
ERP_P_38,Estimated resident population - Persons - year ended 30 June,Persons - 85 and over (%),,,2.5,2.4,2.3,2.2,2.2,
BD_2,Births and deaths - year ended 31 December,Births (no.),,286,261,277,247,208,209,
BD_3,Births and deaths - year ended 31 December,Total fertility rate (births per female) (rate),,1.99,1.93,2,1.91,1.78,1.63,
BD_4,Births and deaths - year ended 31 December,Deaths (no.),,96,99,79,96,74,90,
BD_5,Births and deaths - year ended 31 December,Standardised death rate (per 1000 people) (rate),,5.8,5.6,5.2,5.3,4.8,5,
MIGRATION_2,Internal and overseas migration - at 30 June,Internal arrivals (no.),,,,,,,,1661
MIGRATION_3,Internal and overseas migration - at 30 June,Internal departures (no.),,,,,,,,2021
MIGRATION_4,Internal and overseas migration - at 30 June,Net internal migration (no.),,,,,,,,-360
MIGRATION_5,Internal and overseas migration - at 30 June,Overseas arrivals (no.),,,,,,,,400
MIGRATION_6,Internal and overseas migration - at 30 June,Overseas departures (no.),,,,,,,,174
MIGRATION_7,Internal and overseas migration - at 30 June,Net overseas migration (no.),,,,,,,,226
CENSUS_34,Aboriginal and Torres Strait Islander Peoples - Census,Aboriginal and Torres Strait Islander Peoples (no.),99,115,,,,,197,
CENSUS_2,Aboriginal and Torres Strait Islander Peoples - Census,Aboriginal and Torres Strait Islander Peoples (%),0.8,0.8,,,,,1.4,
CENSUS_4,Overseas born population - Census,Born in Oceania and Antarctica (excluding Australia) (%),,1.4,,,,,1.7,
CENSUS_5,Overseas born population - Census,Born in North-West Europe (%),,2.5,,,,,3.1,
CENSUS_6,Overseas born population - Census,Born in Southern and Eastern Europe (%),,8.2,,,,,7.5,
CENSUS_7,Overseas born population - Census,Born in North Africa and the Middle East (%),,5,,,,,3.1,
CENSUS_8,Overseas born population - Census,Born in South-East Asia (%),,3.3,,,,,3.4,
CENSUS_9,Overseas born population - Census,Born in North-East Asia (%),,4.4,,,,,3.5,
CENSUS_10,Overseas born population - Census,Born in Southern and Central Asia (%),,9.1,,,,,6.7,
CENSUS_11,Overseas born population - Census,Born in Americas (%),,1.2,,,,,1.9,
CENSUS_12,Overseas born population - Census,Born in Sub-Saharan Africa (%),,0.9,,,,,1,
CENSUS_35,Overseas born population - Census,Total born overseas (no.),,5058,,,,,4481,
CENSUS_13,Overseas born population - Census,Total born overseas (%),,36,,,,,31.8,
CENSUS_15,Religious affiliation - Census,Buddhism (%),3.1,3,,,,,2.3,
CENSUS_16,Religious affiliation - Census,Christianity (%),55,43.5,,,,,39.8,
CENSUS_17,Religious affiliation - Census,Hinduism (%),3.8,5.3,,,,,4.1,
CENSUS_18,Religious affiliation - Census,Islam (%),6.5,8,,,,,6.1,
CENSUS_19,Religious affiliation - Census,Judaism (%),,0.1,,,,,0.1,
CENSUS_20,Religious affiliation - Census,Other religions (%),2.7,2.1,,,,,1.5,
CENSUS_40,Religious affiliation - Census,"Secular beliefs, other spiritual beliefs or no religion (%)",19.2,28.5,,,,,40.4,
CENSUS_22,Religious affiliation - Census,Religious affiliation inadequately described or not stated (%),9.5,9.6,,,,,5.6,
CENSUS_36,Australian citizenship - Census,Australian citizen (no.),9866,10291,,,,,11313,
CENSUS_37,Australian citizenship - Census,Not an Australian citizen (no.),2251,2789,,,,,2205,
CENSUS_38,Australian citizenship - Census,Australian citizenship not stated (no.),929,976,,,,,571,
CENSUS_29,Australian citizenship - Census,Australian citizen (%),75.6,73.2,,,,,80.3,
CENSUS_30,Australian citizenship - Census,Not an Australian citizen (%),17.3,19.8,,,,,15.6,
CENSUS_31,Australian citizenship - Census,Australian citizenship not stated (%),7.1,6.9,,,,,4.1,
CENSUS_39,Speaks a language other than English at home - Census,Speaks a language other than English at home (no.),5504,5966,,,,,4923,
CENSUS_33,Speaks a language other than English at home - Census,Speaks a language other than English at home (%),42.2,42.5,,,,,34.9,
ADFS_2,Australian Defence Force service - Persons aged 15 years and over - Census,Currently serving in the Australian Defence Force (no.),,,,,,,13,
ADFS_3,Australian Defence Force service - Persons aged 15 years and over - Census,Previously served in the Australian Defence Force (no.),,,,,,,129,
ADFS_4,Australian Defence Force service - Persons aged 15 years and over - Census,Currently serving in the Australian Defence Force (%),,,,,,,0.1,
ADFS_5,Australian Defence Force service - Persons aged 15 years and over - Census,Previously served in the Australian Defence Force (%),,,,,,,1.1,
ING_LANG1,Language - Census,Speakers of an Aboriginal or Torres Strait Islander language who identify as Aboriginal and/or Torres Strait Islander (%),7.8,0,,,,,5.3,
ING_LANG2,Language - Census,Speaks English at home (%),91.2,95.7,,,,,91.4,
ING_EETP1,"Engagement in employment, education or training - Census",Fully engaged (%),49.3,49.4,,,,,,
ING_EETP2,"Engagement in employment, education or training - Census",Partially or at least partially engaged (%),18.8,14.8,,,,,,
ING_EETP3,"Engagement in employment, education or training - Census",Not engaged (%),36.2,25.9,,,,,,
ING_YR12ATT,Education - Census,Attained year 12 or equivalent or Certificate III or above (aged 20-24 years) (%),42.9,69.2,,,,,,
ING_EMP1,Labour force status - Census,Employed (no.),43,48,,,,,,
ING_EMP2,Labour force status - Census,% of total labour force employed,93.5,106.7,,,,,,
ING_UNEMP1,Labour force status - Census,Unemployed (no.),9,4,,,,,,
ING_UNEMP2,Labour force status - Census,% of total labour force unemployed,19.6,8.9,,,,,,
ING_LABF,Labour force status - Census,In the labour force (no.),46,45,,,,,,
ING_LFPR,Labour force status - Census,Labour force participation rate (%),68.7,60,,,,,,
ING_NILF,Labour force status - Census,Not in the labour force (%),29.9,33.3,,,,,,
ING_1564,Labour force status - Census,Total responding population aged 15-64 years (no.),67,75,,,,,,
ING_EMP3,Labour force status - Census,% of total Census responding population employed,64.2,64,,,,,,
ING_UA1,Unpaid assistance to a person with a disability - Census,Provided unpaid assistance (no.),17,7,,,,,20,
ING_UA2,Unpaid assistance to a person with a disability - Census,Provided unpaid assistance (%),21.3,8.2,,,,,15.6,
ING_UPCC1,Unpaid child care - Census,Cared for own child/children (no.),23,12,,,,,32,
ING_UPCC2,Unpaid child care - Census,Cared for own child/children (%),28.8,14.1,,,,,25,
ING_UPCC3,Unpaid child care - Census,Cared for other child/children (no.),13,4,,,,,6,
ING_UPCC4,Unpaid child care - Census,Cared for other child/children (%),16.3,4.7,,,,,4.7,
ING_UPCC5,Unpaid child care - Census,Total provided unpaid child care (no.),31,22,,,,,35,
ING_UPCC6,Unpaid child care - Census,Total provided unpaid child care (%),38.8,25.9,,,,,27.3,
ING_UPCC7,Unpaid child care - Census,Did not provide unpaid child care (no.),35,54,,,,,91,
ING_UPCC8,Unpaid child care - Census,Did not provide unpaid child care (%),43.8,63.5,,,,,71.1,
ING_VOLWP1,Voluntary work for an organisation or group - Census,Volunteered for an organisation or group (no.),21,24,,,,,17,
ING_VOLWP2,Voluntary work for an organisation or group - Census,Volunteered for an organisation or group (%),26.3,28.2,,,,,13.3,
ING_ASHP,Appropriately sized housing - Census,Persons living in appropriately sized dwellings (Closing the Gap measure) (%),82.7,86.8,,,,,79.9,
ING_ONEBR,Appropriately sized housing - Census,Persons living in a dwelling requiring one additional bedroom (%),6.2,5.5,,,,,10.6,
ING_TWOBR,Appropriately sized housing - Census,Persons living in a dwelling requiring two additional bedrooms (%),13.6,8.8,,,,,7.8,
ING_THRBR,Appropriately sized housing - Census,Persons living in a dwelling requiring three additional bedrooms (%),0,0,,,,,0,
ING_FOUBR,Appropriately sized housing - Census,Persons living in a dwelling requiring four or more additional bedrooms (%),0,0,,,,,1.7,
ING_TTYPE1,Tenure type - Census,Owner with or without a mortgage (or being purchased under a shared equity scheme) (no.),34,27,,,,,62,
ING_TTYPE3,Tenure type - Census,Owner with or without a mortgage (or being purchased under a shared equity scheme) (%),35.1,23.1,,,,,31.8,
ING_TTYPE2,Tenure type - Census,Renter (no.),62,69,,,,,133,
ING_TTYPE4,Tenure type - Census,Renter (%),63.9,59,,,,,68.2,
CABEE_2,Number of businesses - at 30 June,Number of non-employing businesses,,,,793,826,891,806,921
CABEE_3,Number of businesses - at 30 June,Number of employing businesses: 1-4 employees,,,,298,316,301,338,307
CABEE_4,Number of businesses - at 30 June,Number of employing businesses: 5-19 employees,,,,108,114,111,124,122
CABEE_38,Number of businesses - at 30 June,Number of employing businesses: 20 or more employees,,,,24,28,31,27,40
CABEE_5,Number of businesses - at 30 June,Total number of businesses,,,,1226,1286,1328,1298,1388
CABEE_7,Business entries - year ended 30 June,Number of non employing business entries,,,,,215,201,157,290
CABEE_8,Business entries - year ended 30 June,Number of employing business entries: 1-4 employees,,,,,44,39,45,42
CABEE_9,Business entries - year ended 30 June,Number of employing business entries: 5-19 employees,,,,,,3,5,7
CABEE_39,Business entries - year ended 30 June,Number of employing business entries: 20 or more employees,,,,,3,,,
CABEE_10,Business entries - year ended 30 June,Total number of business entries,,,,,262,242,203,337
CABEE_12,Business exits - year ended 30 June,Number of non employing business exits,,,,,141,156,189,162
CABEE_13,Business exits - year ended 30 June,Number of employing business exits: 1-4 employees,,,,,24,42,20,42
CABEE_14,Business exits - year ended 30 June,Number of employing business exits: 5-19 employees,,,,,6,8,4,7
CABEE_15,Business exits - year ended 30 June,Total number of business exits,,,,,174,197,217,212
CABEE_19,Number of businesses by industry - at 30 June,"Agriculture, forestry and fishing (no.)",,,,7,7,6,7,5
CABEE_28,Number of businesses by industry - at 30 June,Mining (no.),,,,,,3,,
CABEE_27,Number of businesses by industry - at 30 June,Manufacturing (no.),,,,100,101,102,98,103
CABEE_23,Number of businesses by industry - at 30 June,"Electricity, gas water and waste services (no.)",,,,4,5,9,5,7
CABEE_21,Number of businesses by industry - at 30 June,Construction (no.),,,,221,232,241,228,246
CABEE_37,Number of businesses by industry - at 30 June,Wholesale trade (no.),,,,63,62,71,70,63
CABEE_34,Number of businesses by industry - at 30 June,Retail trade (no.),,,,88,99,106,113,120
CABEE_17,Number of businesses by industry - at 30 June,Accommodation and food services (no.),,,,51,52,49,58,52
CABEE_36,Number of businesses by industry - at 30 June,"Transport, postal and warehousing (no.)",,,,184,210,217,168,197
CABEE_26,Number of businesses by industry - at 30 June,Information media and telecommunications (no.),,,,10,12,14,19,17
CABEE_24,Number of businesses by industry - at 30 June,Financial and insurance services (no.),,,,39,37,36,46,38
CABEE_33,Number of businesses by industry - at 30 June,"Rental, hiring and real estate services (no.)",,,,107,112,120,122,124
CABEE_31,Number of businesses by industry - at 30 June,"Professional, scientific and technical services (no.)",,,,126,120,122,129,136
CABEE_18,Number of businesses by industry - at 30 June,Administrative and support services (no.),,,,55,58,59,58,70
CABEE_32,Number of businesses by industry - at 30 June,Public administration and safety (no.),,,,7,9,5,3,5
CABEE_22,Number of businesses by industry - at 30 June,Education and training (no.),,,,19,16,21,23,21
CABEE_25,Number of businesses by industry - at 30 June,Health care and social assistance (no.),,,,48,48,48,55,54
CABEE_20,Number of businesses by industry - at 30 June,Arts and recreation services (no.),,,,26,26,23,30,41
CABEE_30,Number of businesses by industry - at 30 June,Other services (no.),,,,73,73,77,73,87
CABEE_29,Number of businesses by industry - at 30 June,Currently unknown (no.),,,,7,3,3,3,
CABEE_42,Number of businesses by turnover - at 30 June,Number of businesses with turnover of zero to less than $50k,,,,380,398,407,432,441
CABEE_43,Number of businesses by turnover - at 30 June,Number of businesses with turnover of $50k to less than $200k,,,,407,433,447,422,474
CABEE_44,Number of businesses by turnover - at 30 June,Number of businesses with turnover of $200k to less than $2m,,,,345,365,383,353,364
