Measure Code,Parent Description,Description,2011,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,18735,18946,19060,18899,17972,17799
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,4368,4417.2,4443.8,4406.3,4190.2,4149.8
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,9279,9392,9453,9364,8861,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,9456,9554,9607,9535,9111,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,33.7,33.9,34.1,34.3,34.2,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,33,33,33.1,33.1,33,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,33.4,33.5,33.6,33.7,33.6,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,15028,15150,15193,15030,14355,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,80.2,80,79.7,79.5,79.9,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,469,474,456,414,340,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,281,291,300,296,260,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,219,219,229,221,242,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,213,218,219,220,211,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,697,708,714,694,643,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,1596,1595,1610,1600,1546,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,1501,1462,1426,1396,1358,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,910,903,895,891,892,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,694,663,642,656,653,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,616,657,672,622,509,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,511,552,564,578,530,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,426,448,481,487,460,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,337,368,399,405,371,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,296,300,305,304,257,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,201,213,214,245,241,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,156,158,160,152,158,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,75,84,91,103,104,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,81,79,76,80,86,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,5.1,5,4.8,4.4,3.8,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,3,3.1,3.2,3.2,2.9,
