Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,21312,21478,21638,21755,21351,21238
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,2268.9,2286.6,2303.7,2316.1,2273.1,2261.1
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,10462,10539,10605,10648,10474,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,10850,10939,11033,11107,10877,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,37.7,37.7,37.6,38,38.5,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,39.3,39.2,39.2,39.4,40.1,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,38.5,38.5,38.4,38.7,39.3,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,13739,13869,14002,14054,13690,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,64.5,64.6,64.7,64.6,64.1,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,773,744,710,682,684,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,675,729,748,751,731,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,657,639,655,677,666,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,641,653,671,676,642,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,651,655,667,632,613,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,656,693,688,691,626,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,758,745,752,755,716,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,776,799,791,783,787,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,810,803,845,850,796,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,733,749,759,795,800,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,,698,675,637,650,673,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,,594,613,640,647,648,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,,501,509,512,518,529,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,,421,416,418,419,430,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,,418,412,400,409,399,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,,283,292,303,300,312,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,,212,209,207,207,212,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,,205,204,202,206,210,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,,7.4,7.1,6.7,6.4,6.5,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,,6.5,6.9,7.1,7.1,7,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,,6.3,6.1,6.2,6.4,6.4,
ERP_M_24,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (%),,,,6.1,6.2,6.3,6.3,6.1,
ERP_M_25,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (%),,,,6.2,6.2,6.3,5.9,5.9,
ERP_M_26,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (%),,,,6.3,6.6,6.5,6.5,6,
ERP_M_27,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (%),,,,7.2,7.1,7.1,7.1,6.8,
ERP_M_28,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (%),,,,7.4,7.6,7.5,7.4,7.5,
ERP_M_29,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (%),,,,7.7,7.6,8,8,7.6,
ERP_M_30,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (%),,,,7,7.1,7.2,7.5,7.6,
