Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,18293,18490,18857,19132,18919,18952
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,1845.8,1865.7,1902.7,1930.5,1909,1912.3
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,8928,9035,9237,9390,9262,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,9365,9455,9620,9742,9657,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,35.6,35.6,35.7,35.9,36.5,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,37.8,37.7,37.9,38.3,38.9,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,36.7,36.7,36.8,37.2,37.8,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,12047,12193,12514,12725,12518,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,65.9,65.9,66.4,66.5,66.2,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,656,640,631,616,610,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,580,578,583,570,560,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,476,496,503,531,529,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,507,507,515,522,502,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,539,567,598,580,562,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,744,753,781,807,740,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,862,876,889,908,847,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,762,775,790,820,835,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,663,660,669,675,673,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,561,583,618,636,663,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,,488,467,480,490,502,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,,442,467,470,475,459,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,,411,399,399,405,409,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,,354,362,367,382,387,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,,302,313,311,313,304,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,,205,213,239,260,273,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,,181,181,174,175,174,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,,195,198,220,225,233,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,,7.3,7.1,6.8,6.6,6.6,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,,6.5,6.4,6.3,6.1,6,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,,5.3,5.5,5.4,5.7,5.7,
ERP_M_24,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (%),,,,5.7,5.6,5.6,5.6,5.4,
ERP_M_25,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (%),,,,6,6.3,6.5,6.2,6.1,
ERP_M_26,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (%),,,,8.3,8.3,8.5,8.6,8,
ERP_M_27,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (%),,,,9.7,9.7,9.6,9.7,9.1,
ERP_M_28,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (%),,,,8.5,8.6,8.6,8.7,9,
ERP_M_29,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (%),,,,7.4,7.3,7.2,7.2,7.3,
ERP_M_30,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (%),,,,6.3,6.5,6.7,6.8,7.2,
ERP_M_31,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (%),,,,5.5,5.2,5.2,5.2,5.4,
ERP_M_32,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (%),,,,5,5.2,5.1,5.1,5,
ERP_M_33,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (%),,,,4.6,4.4,4.3,4.3,4.4,
ERP_M_34,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (%),,,,4,4,4,4.1,4.2,
ERP_M_35,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (%),,,,3.4,3.5,3.4,3.3,3.3,
ERP_M_36,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (%),,,,2.3,2.4,2.6,2.8,2.9,
ERP_M_37,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (%),,,,2,2,1.9,1.9,1.9,
ERP_M_38,Estimated resident population - Males - year ended 30 June,Males - 85 and over (%),,,,2.2,2.2,2.4,2.4,2.5,
ERP_F_2,Estimated resident population - Females - year ended 30 June,Females - 0-4 years (no.),,,,579,575,567,555,565,
ERP_F_3,Estimated resident population - Females - year ended 30 June,Females - 5-9 years (no.),,,,550,524,517,515,510,
ERP_F_4,Estimated resident population - Females - year ended 30 June,Females - 10-14 years (no.),,,,438,480,480,497,467,
ERP_F_5,Estimated resident population - Females - year ended 30 June,Females - 15-19 years (no.),,,,443,451,470,460,456,
ERP_F_6,Estimated resident population - Females - year ended 30 June,Females - 20-24 years (no.),,,,573,578,591,578,529,
ERP_F_7,Estimated resident population - Females - year ended 30 June,Females - 25-29 years (no.),,,,779,789,813,810,778,
ERP_F_8,Estimated resident population - Females - year ended 30 June,Females - 30-34 years (no.),,,,872,859,853,848,837,
ERP_F_9,Estimated resident population - Females - year ended 30 June,Females - 35-39 years (no.),,,,738,785,843,895,870,
ERP_F_10,Estimated resident population - Females - year ended 30 June,Females - 40-44 years (no.),,,,655,656,664,681,714,
ERP_F_11,Estimated resident population - Females - year ended 30 June,Females - 45-49 years (no.),,,,586,597,618,629,613,
ERP_F_12,Estimated resident population - Females - year ended 30 June,Females - 50-54 years (no.),,,,515,504,519,544,555,
ERP_F_13,Estimated resident population - Females - year ended 30 June,Females - 55-59 years (no.),,,,454,475,474,490,507,
ERP_F_14,Estimated resident population - Females - year ended 30 June,Females - 60-64 years (no.),,,,453,445,460,472,467,
ERP_F_15,Estimated resident population - Females - year ended 30 June,Females - 65-69 years (no.),,,,439,437,434,421,422,
ERP_F_16,Estimated resident population - Females - year ended 30 June,Females - 70-74 years (no.),,,,371,381,398,429,422,
ERP_F_17,Estimated resident population - Females - year ended 30 June,Females - 75-79 years (no.),,,,296,300,296,306,332,
ERP_F_18,Estimated resident population - Females - year ended 30 June,Females - 80-84 years (no.),,,,237,234,250,245,252,
ERP_F_19,Estimated resident population - Females - year ended 30 June,Females - 85 and over (no.),,,,387,385,373,367,361,
ERP_F_21,Estimated resident population - Females - year ended 30 June,Females - 0-4 years (%),,,,6.2,6.1,5.9,5.7,5.9,
ERP_F_22,Estimated resident population - Females - year ended 30 June,Females - 5-9 years (%),,,,5.9,5.5,5.4,5.3,5.3,
ERP_F_23,Estimated resident population - Females - year ended 30 June,Females - 10-14 years (%),,,,4.7,5.1,5,5.1,4.8,
ERP_F_24,Estimated resident population - Females - year ended 30 June,Females - 15-19 years (%),,,,4.7,4.8,4.9,4.7,4.7,
ERP_F_25,Estimated resident population - Females - year ended 30 June,Females - 20-24 years (%),,,,6.1,6.1,6.1,5.9,5.5,
ERP_F_26,Estimated resident population - Females - year ended 30 June,Females - 25-29 years (%),,,,8.3,8.3,8.5,8.3,8.1,
ERP_F_27,Estimated resident population - Females - year ended 30 June,Females - 30-34 years (%),,,,9.3,9.1,8.9,8.7,8.7,
ERP_F_28,Estimated resident population - Females - year ended 30 June,Females - 35-39 years (%),,,,7.9,8.3,8.8,9.2,9,
ERP_F_29,Estimated resident population - Females - year ended 30 June,Females - 40-44 years (%),,,,7,6.9,6.9,7,7.4,
ERP_F_30,Estimated resident population - Females - year ended 30 June,Females - 45-49 years (%),,,,6.3,6.3,6.4,6.5,6.3,
ERP_F_31,Estimated resident population - Females - year ended 30 June,Females - 50-54 years (%),,,,5.5,5.3,5.4,5.6,5.7,
ERP_F_32,Estimated resident population - Females - year ended 30 June,Females - 55-59 years (%),,,,4.8,5,4.9,5,5.3,
ERP_F_33,Estimated resident population - Females - year ended 30 June,Females - 60-64 years (%),,,,4.8,4.7,4.8,4.8,4.8,
ERP_F_34,Estimated resident population - Females - year ended 30 June,Females - 65-69 years (%),,,,4.7,4.6,4.5,4.3,4.4,
ERP_F_35,Estimated resident population - Females - year ended 30 June,Females - 70-74 years (%),,,,4,4,4.1,4.4,4.4,
ERP_F_36,Estimated resident population - Females - year ended 30 June,Females - 75-79 years (%),,,,3.2,3.2,3.1,3.1,3.4,
ERP_F_37,Estimated resident population - Females - year ended 30 June,Females - 80-84 years (%),,,,2.5,2.5,2.6,2.5,2.6,
ERP_F_38,Estimated resident population - Females - year ended 30 June,Females - 85 and over (%),,,,4.1,4.1,3.9,3.8,3.7,
ERP_P_2,Estimated resident population - Persons - year ended 30 June,Persons - 0-4 years (no.),,,,1235,1215,1198,1171,1175,
ERP_P_3,Estimated resident population - Persons - year ended 30 June,Persons - 5-9 years (no.),,,,1130,1102,1100,1085,1070,
ERP_P_4,Estimated resident population - Persons - year ended 30 June,Persons - 10-14 years (no.),,,,914,976,983,1028,996,
ERP_P_5,Estimated resident population - Persons - year ended 30 June,Persons - 15-19 years (no.),,,,950,958,985,982,958,
ERP_P_6,Estimated resident population - Persons - year ended 30 June,Persons - 20-24 years (no.),,,,1112,1145,1189,1158,1091,
ERP_P_7,Estimated resident population - Persons - year ended 30 June,Persons - 25-29 years (no.),,,,1523,1542,1594,1617,1518,
ERP_P_8,Estimated resident population - Persons - year ended 30 June,Persons - 30-34 years (no.),,,,1734,1735,1742,1756,1684,
ERP_P_9,Estimated resident population - Persons - year ended 30 June,Persons - 35-39 years (no.),,,,1500,1560,1633,1715,1705,
ERP_P_10,Estimated resident population - Persons - year ended 30 June,Persons - 40-44 years (no.),,,,1318,1316,1333,1356,1387,
ERP_P_11,Estimated resident population - Persons - year ended 30 June,Persons - 45-49 years (no.),,,,1147,1180,1236,1265,1276,
ERP_P_12,Estimated resident population - Persons - year ended 30 June,Persons - 50-54 years (no.),,,,1003,971,999,1034,1057,
ERP_P_13,Estimated resident population - Persons - year ended 30 June,Persons - 55-59 years (no.),,,,896,942,944,965,966,
ERP_P_14,Estimated resident population - Persons - year ended 30 June,Persons - 60-64 years (no.),,,,864,844,859,877,876,
ERP_P_15,Estimated resident population - Persons - year ended 30 June,Persons - 65-69 years (no.),,,,793,799,801,803,809,
ERP_P_16,Estimated resident population - Persons - year ended 30 June,Persons - 70-74 years (no.),,,,673,694,709,742,726,
ERP_P_17,Estimated resident population - Persons - year ended 30 June,Persons - 75-79 years (no.),,,,501,513,535,566,605,
ERP_P_18,Estimated resident population - Persons - year ended 30 June,Persons - 80-84 years (no.),,,,418,415,424,420,426,
ERP_P_19,Estimated resident population - Persons - year ended 30 June,Persons - 85 and over (no.),,,,582,583,593,592,594,
ERP_P_21,Estimated resident population - Persons - year ended 30 June,Persons - 0-4 years (%),,,,6.8,6.6,6.4,6.1,6.2,
ERP_P_22,Estimated resident population - Persons - year ended 30 June,Persons - 5-9 years (%),,,,6.2,6,5.8,5.7,5.7,
ERP_P_23,Estimated resident population - Persons - year ended 30 June,Persons - 10-14 years (%),,,,5,5.3,5.2,5.4,5.3,
ERP_P_24,Estimated resident population - Persons - year ended 30 June,Persons - 15-19 years (%),,,,5.2,5.2,5.2,5.1,5.1,
ERP_P_25,Estimated resident population - Persons - year ended 30 June,Persons - 20-24 years (%),,,,6.1,6.2,6.3,6.1,5.8,
ERP_P_26,Estimated resident population - Persons - year ended 30 June,Persons - 25-29 years (%),,,,8.3,8.3,8.5,8.5,8,
ERP_P_27,Estimated resident population - Persons - year ended 30 June,Persons - 30-34 years (%),,,,9.5,9.4,9.2,9.2,8.9,
ERP_P_28,Estimated resident population - Persons - year ended 30 June,Persons - 35-39 years (%),,,,8.2,8.4,8.7,9,9,
ERP_P_29,Estimated resident population - Persons - year ended 30 June,Persons - 40-44 years (%),,,,7.2,7.1,7.1,7.1,7.3,
