Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,8322,8261,8196,8112,7963,7801
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,1996.3,1981.6,1966,1945.9,1910.1,1871.3
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,4083,4056,4027,3984,3903,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,4239,4205,4169,4128,4060,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,36.8,37,37.3,38,39.1,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,39.3,39.7,40.3,41.3,42.3,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,38.2,38.4,38.8,39.7,40.7,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,5621,5590,5524,5438,5315,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,67.5,67.7,67.4,67,66.7,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,245,239,230,216,211,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,319,298,281,249,241,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,311,307,313,326,317,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,356,357,346,335,323,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,311,320,327,320,292,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,216,217,220,215,191,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,192,196,197,194,195,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,249,247,232,239,228,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,311,286,281,255,246,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,324,326,305,309,305,
