Measure Code,Parent Description,Description,2011,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,10228,10191,10114,10031,9584,9491
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,1152.3,1148.1,1139.5,1130.1,1079.7,1069.3
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,5057,5051,5024,4988,4806,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,5171,5140,5090,5043,4778,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,30.7,31.1,31.2,32,32.4,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,32.2,32.7,33.2,34,34.4,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,31.5,31.9,32.2,33.1,33.6,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,7233,7247,7240,7188,6846,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,70.7,71.1,71.6,71.7,71.4,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,345,338,312,299,286,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,394,379,370,360,316,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,410,393,398,383,383,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,467,466,466,464,425,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,487,510,508,480,468,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,373,366,389,387,379,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,325,331,336,326,299,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,281,283,267,292,307,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,322,306,284,271,261,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,414,387,358,338,293,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,410,413,418,397,359,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,306,328,347,383,378,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,201,208,221,227,249,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,120,128,133,151,163,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,88,89,90,91,103,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,57,66,65,66,58,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,40,38,37,41,38,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,17,22,25,32,41,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,6.8,6.7,6.2,6,6,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,7.8,7.5,7.4,7.2,6.6,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,8.1,7.8,7.9,7.7,8,
ERP_M_24,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (%),,,9.2,9.2,9.3,9.3,8.8,
ERP_M_25,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (%),,,9.6,10.1,10.1,9.6,9.7,
ERP_M_26,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (%),,,7.4,7.2,7.7,7.8,7.9,
ERP_M_27,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (%),,,6.4,6.6,6.7,6.5,6.2,
ERP_M_28,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (%),,,5.6,5.6,5.3,5.9,6.4,
ERP_M_29,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (%),,,6.4,6.1,5.7,5.4,5.4,
ERP_M_30,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (%),,,8.2,7.7,7.1,6.8,6.1,
ERP_M_31,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (%),,,8.1,8.2,8.3,8,7.5,
ERP_M_32,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (%),,,6.1,6.5,6.9,7.7,7.9,
ERP_M_33,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (%),,,4,4.1,4.4,4.6,5.2,
