Measure Code,Parent Description,Description,2011,2016,2017,2018,2019,2020,2021,2022
CENSUS_16,Religious affiliation - Census,Christianity (%),57.1,,,,,,,
CENSUS_22,Religious affiliation - Census,Religious affiliation inadequately described or not stated (%),71.4,,,,,,,
CENSUS_36,Australian citizenship - Census,Australian citizen (no.),4,4,,,,,,
CENSUS_38,Australian citizenship - Census,Australian citizenship not stated (no.),5,,,,,,,
CENSUS_29,Australian citizenship - Census,Australian citizen (%),57.1,100,,,,,,
CENSUS_31,Australian citizenship - Census,Australian citizenship not stated (%),71.4,,,,,,,
CENSUS_39,Speaks a language other than English at home - Census,Speaks a language other than English at home (no.),3,,,,,,,
CENSUS_33,Speaks a language other than English at home - Census,Speaks a language other than English at home (%),42.9,,,,,,,
ING_LANG1,Language - Census,Speakers of an Aboriginal or Torres Strait Islander language who identify as Aboriginal and/or Torres Strait Islander (%),0,0,,,,,0,
ING_LANG2,Language - Census,Speaks English at home (%),0,0,,,,,0,
ING_EETP1,"Engagement in employment, education or training - Census",Fully engaged (%),0,0,,,,,,
ING_EETP2,"Engagement in employment, education or training - Census",Partially or at least partially engaged (%),0,0,,,,,,
ING_EETP3,"Engagement in employment, education or training - Census",Not engaged (%),0,0,,,,,,
ING_YR12ATT,Education - Census,Attained year 12 or equivalent or Certificate III or above (aged 20-24 years) (%),0,0,,,,,,
ING_EMP1,Labour force status - Census,Employed (no.),0,0,,,,,,
ING_EMP2,Labour force status - Census,% of total labour force employed,0,0,,,,,,
ING_UNEMP1,Labour force status - Census,Unemployed (no.),0,0,,,,,,
ING_UNEMP2,Labour force status - Census,% of total labour force unemployed,0,0,,,,,,
ING_LABF,Labour force status - Census,In the labour force (no.),0,0,,,,,,
ING_LFPR,Labour force status - Census,Labour force participation rate (%),0,0,,,,,,
ING_NILF,Labour force status - Census,Not in the labour force (%),0,0,,,,,,
ING_1564,Labour force status - Census,Total responding population aged 15-64 years (no.),0,0,,,,,,
ING_EMP3,Labour force status - Census,% of total Census responding population employed,0,0,,,,,,
ING_UA1,Unpaid assistance to a person with a disability - Census,Provided unpaid assistance (no.),0,0,,,,,0,
ING_UA2,Unpaid assistance to a person with a disability - Census,Provided unpaid assistance (%),0,0,,,,,0,
