Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,5416,5394,5365,5245,5002,4861
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,3343.4,3329.8,3311.9,3237.9,3087.8,3000.8
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,2659,2650,2634,2583,2472,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,2757,2744,2731,2662,2530,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,35.3,35.1,35.3,35.9,37,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,35.4,35.6,35.9,36.7,37.3,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,35.3,35.3,35.6,36.3,37.1,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,3716,3688,3648,3553,3399,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,68.6,68.4,68,67.7,68,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,213,212,205,197,176,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,206,207,208,201,203,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,173,173,170,166,162,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,173,182,191,184,152,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,192,193,177,164,136,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,177,169,173,161,147,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,183,182,181,177,172,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,218,228,236,238,237,
