Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,17235,17315,17389,17417,17359,17466
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,1386.3,1392.8,1398.7,1401,1396.3,1404.9
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,8534,8547,8555,8560,8547,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,8701,8768,8834,8857,8812,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,39.2,39,38.6,38.9,39.4,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,40.6,40.5,40.4,40.9,41.4,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,39.9,39.8,39.6,39.9,40.4,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,11384,11369,11407,11378,11240,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,66.1,65.7,65.6,65.3,64.8,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,596,601,596,607,593,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,515,521,529,504,531,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,442,457,470,491,485,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,405,411,408,417,418,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,479,449,468,441,418,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,589,606,620,582,520,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,707,708,687,674,659,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,641,645,667,707,727,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,661,628,597,600,606,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,648,672,654,645,652,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,,521,524,556,565,593,
