Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,9773,9805,9806,9712,9364,9355
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,5816.2,5835.3,5835.9,5779.9,5572.8,5567.5
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,4872,4889,4887,4831,4671,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,4901,4916,4919,4881,4693,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,35,35.3,35.7,36.2,36.8,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,35.9,36.1,36.3,36.6,37.1,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,35.4,35.7,36,36.4,36.9,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,7025,7021,7020,6963,6688,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,71.9,71.6,71.6,71.7,71.4,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,452,435,413,375,331,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,316,317,321,322,313,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,205,233,238,247,271,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,167,163,165,183,171,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,316,289,270,242,234,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,441,431,424,405,350,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,538,546,538,513,481,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,532,530,526,517,501,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,448,448,449,449,444,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,374,396,414,410,397,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,,286,286,297,310,309,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,,246,255,258,260,266,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,,163,166,178,198,199,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,,132,134,131,122,133,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,,70,75,86,98,104,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,,73,63,57,55,38,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,,54,57,57,55,54,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,,59,65,65,70,75,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,,9.3,8.9,8.5,7.8,7.1,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,,6.5,6.5,6.6,6.7,6.7,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,,4.2,4.8,4.9,5.1,5.8,
ERP_M_24,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (%),,,,3.4,3.3,3.4,3.8,3.7,
ERP_M_25,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (%),,,,6.5,5.9,5.5,5,5,
ERP_M_26,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (%),,,,9.1,8.8,8.7,8.4,7.5,
ERP_M_27,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (%),,,,11,11.2,11,10.6,10.3,
ERP_M_28,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (%),,,,10.9,10.8,10.8,10.7,10.7,
ERP_M_29,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (%),,,,9.2,9.2,9.2,9.3,9.5,
ERP_M_30,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (%),,,,7.7,8.1,8.5,8.5,8.5,
ERP_M_31,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (%),,,,5.9,5.8,6.1,6.4,6.6,
ERP_M_32,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (%),,,,5,5.2,5.3,5.4,5.7,
ERP_M_33,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (%),,,,3.3,3.4,3.6,4.1,4.3,
ERP_M_34,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (%),,,,2.7,2.7,2.7,2.5,2.8,
ERP_M_35,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (%),,,,1.4,1.5,1.8,2,2.2,
ERP_M_36,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (%),,,,1.5,1.3,1.2,1.1,0.8,
ERP_M_37,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (%),,,,1.1,1.2,1.2,1.1,1.2,
ERP_M_38,Estimated resident population - Males - year ended 30 June,Males - 85 and over (%),,,,1.2,1.3,1.3,1.4,1.6,
