Measure Code,Parent Description,Description,2011,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,12507,12708,12753,12707,11860,11851
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,6618.5,6724.9,6748.7,6724.3,6276.1,6271.4
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,6096,6176,6195,6178,5842,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,6411,6532,6558,6529,6018,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,37.1,37.5,37.8,38.3,38.7,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,37.6,38.5,39.3,40.4,40.2,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,37.3,38,38.5,39.3,39.5,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,9240,9373,9348,9260,8599,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,73.9,73.8,73.3,72.9,72.5,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,323,318,317,315,264,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,239,269,274,266,247,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,182,182,197,205,223,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,174,183,185,198,188,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,399,397,389,368,324,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,708,690,674,645,581,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,760,744,724,704,663,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,558,564,567,571,562,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,492,482,464,448,411,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,428,472,493,470,462,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,377,377,386,419,376,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,347,362,361,374,373,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,271,301,329,345,328,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,289,269,227,226,227,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,204,220,251,241,217,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,135,135,136,158,164,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,122,120,118,104,104,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,88,91,103,121,128,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,5.3,5.1,5.1,5.1,4.5,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,3.9,4.4,4.4,4.3,4.2,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,3,2.9,3.2,3.3,3.8,
ERP_M_24,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (%),,,2.9,3,3,3.2,3.2,
ERP_M_25,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (%),,,6.5,6.4,6.3,6,5.5,
ERP_M_26,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (%),,,11.6,11.2,10.9,10.4,9.9,
ERP_M_27,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (%),,,12.5,12,11.7,11.4,11.3,
ERP_M_28,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (%),,,9.2,9.1,9.2,9.2,9.6,
ERP_M_29,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (%),,,8.1,7.8,7.5,7.3,7,
ERP_M_30,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (%),,,7,7.6,8,7.6,7.9,
ERP_M_31,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (%),,,6.2,6.1,6.2,6.8,6.4,
ERP_M_32,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (%),,,5.7,5.9,5.8,6.1,6.4,
ERP_M_33,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (%),,,4.4,4.9,5.3,5.6,5.6,
ERP_M_34,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (%),,,4.7,4.4,3.7,3.7,3.9,
ERP_M_35,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (%),,,3.3,3.6,4.1,3.9,3.7,
ERP_M_36,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (%),,,2.2,2.2,2.2,2.6,2.8,
ERP_M_37,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (%),,,2,1.9,1.9,1.7,1.8,
ERP_M_38,Estimated resident population - Males - year ended 30 June,Males - 85 and over (%),,,1.4,1.5,1.7,2,2.2,
ERP_F_2,Estimated resident population - Females - year ended 30 June,Females - 0-4 years (no.),,,315,305,290,260,230,
ERP_F_3,Estimated resident population - Females - year ended 30 June,Females - 5-9 years (no.),,,204,210,209,219,216,
ERP_F_4,Estimated resident population - Females - year ended 30 June,Females - 10-14 years (no.),,,185,194,206,207,190,
ERP_F_5,Estimated resident population - Females - year ended 30 June,Females - 15-19 years (no.),,,220,232,237,226,215,
ERP_F_6,Estimated resident population - Females - year ended 30 June,Females - 20-24 years (no.),,,466,451,429,394,334,
ERP_F_7,Estimated resident population - Females - year ended 30 June,Females - 25-29 years (no.),,,742,722,701,669,607,
ERP_F_8,Estimated resident population - Females - year ended 30 June,Females - 30-34 years (no.),,,769,742,717,686,631,
ERP_F_9,Estimated resident population - Females - year ended 30 June,Females - 35-39 years (no.),,,561,562,561,567,567,
ERP_F_10,Estimated resident population - Females - year ended 30 June,Females - 40-44 years (no.),,,473,513,538,538,462,
ERP_F_11,Estimated resident population - Females - year ended 30 June,Females - 45-49 years (no.),,,440,460,452,456,430,
ERP_F_12,Estimated resident population - Females - year ended 30 June,Females - 50-54 years (no.),,,397,417,429,434,407,
ERP_F_13,Estimated resident population - Females - year ended 30 June,Females - 55-59 years (no.),,,320,335,363,390,363,
ERP_F_14,Estimated resident population - Females - year ended 30 June,Females - 60-64 years (no.),,,338,367,349,358,315,
ERP_F_15,Estimated resident population - Females - year ended 30 June,Females - 65-69 years (no.),,,305,311,329,327,265,
ERP_F_16,Estimated resident population - Females - year ended 30 June,Females - 70-74 years (no.),,,224,248,276,306,287,
ERP_F_17,Estimated resident population - Females - year ended 30 June,Females - 75-79 years (no.),,,161,159,163,168,178,
ERP_F_18,Estimated resident population - Females - year ended 30 June,Females - 80-84 years (no.),,,125,129,135,144,144,
ERP_F_19,Estimated resident population - Females - year ended 30 June,Females - 85 and over (no.),,,166,175,174,180,177,
ERP_F_21,Estimated resident population - Females - year ended 30 June,Females - 0-4 years (%),,,4.9,4.7,4.4,4,3.8,
ERP_F_22,Estimated resident population - Females - year ended 30 June,Females - 5-9 years (%),,,3.2,3.2,3.2,3.4,3.6,
ERP_F_23,Estimated resident population - Females - year ended 30 June,Females - 10-14 years (%),,,2.9,3,3.1,3.2,3.2,
ERP_F_24,Estimated resident population - Females - year ended 30 June,Females - 15-19 years (%),,,3.4,3.6,3.6,3.5,3.6,
ERP_F_25,Estimated resident population - Females - year ended 30 June,Females - 20-24 years (%),,,7.3,6.9,6.5,6,5.6,
ERP_F_26,Estimated resident population - Females - year ended 30 June,Females - 25-29 years (%),,,11.6,11.1,10.7,10.2,10.1,
ERP_F_27,Estimated resident population - Females - year ended 30 June,Females - 30-34 years (%),,,12,11.4,10.9,10.5,10.5,
ERP_F_28,Estimated resident population - Females - year ended 30 June,Females - 35-39 years (%),,,8.8,8.6,8.6,8.7,9.4,
ERP_F_29,Estimated resident population - Females - year ended 30 June,Females - 40-44 years (%),,,7.4,7.9,8.2,8.2,7.7,
ERP_F_30,Estimated resident population - Females - year ended 30 June,Females - 45-49 years (%),,,6.9,7,6.9,7,7.1,
ERP_F_31,Estimated resident population - Females - year ended 30 June,Females - 50-54 years (%),,,6.2,6.4,6.5,6.6,6.8,
ERP_F_32,Estimated resident population - Females - year ended 30 June,Females - 55-59 years (%),,,5,5.1,5.5,6,6,
ERP_F_33,Estimated resident population - Females - year ended 30 June,Females - 60-64 years (%),,,5.3,5.6,5.3,5.5,5.2,
ERP_F_34,Estimated resident population - Females - year ended 30 June,Females - 65-69 years (%),,,4.8,4.8,5,5,4.4,
ERP_F_35,Estimated resident population - Females - year ended 30 June,Females - 70-74 years (%),,,3.5,3.8,4.2,4.7,4.8,
ERP_F_36,Estimated resident population - Females - year ended 30 June,Females - 75-79 years (%),,,2.5,2.4,2.5,2.6,3,
ERP_F_37,Estimated resident population - Females - year ended 30 June,Females - 80-84 years (%),,,1.9,2,2.1,2.2,2.4,
ERP_F_38,Estimated resident population - Females - year ended 30 June,Females - 85 and over (%),,,2.6,2.7,2.7,2.8,2.9,
ERP_P_2,Estimated resident population - Persons - year ended 30 June,Persons - 0-4 years (no.),,,638,623,607,575,494,
ERP_P_3,Estimated resident population - Persons - year ended 30 June,Persons - 5-9 years (no.),,,443,479,483,485,463,
ERP_P_4,Estimated resident population - Persons - year ended 30 June,Persons - 10-14 years (no.),,,367,376,403,412,413,
ERP_P_5,Estimated resident population - Persons - year ended 30 June,Persons - 15-19 years (no.),,,394,415,422,424,403,
ERP_P_6,Estimated resident population - Persons - year ended 30 June,Persons - 20-24 years (no.),,,865,848,818,762,658,
ERP_P_7,Estimated resident population - Persons - year ended 30 June,Persons - 25-29 years (no.),,,1450,1412,1375,1314,1188,
ERP_P_8,Estimated resident population - Persons - year ended 30 June,Persons - 30-34 years (no.),,,1529,1486,1441,1390,1294,
ERP_P_9,Estimated resident population - Persons - year ended 30 June,Persons - 35-39 years (no.),,,1119,1126,1128,1138,1129,
ERP_P_10,Estimated resident population - Persons - year ended 30 June,Persons - 40-44 years (no.),,,965,995,1002,986,873,
ERP_P_11,Estimated resident population - Persons - year ended 30 June,Persons - 45-49 years (no.),,,868,932,945,926,892,
ERP_P_12,Estimated resident population - Persons - year ended 30 June,Persons - 50-54 years (no.),,,774,794,815,853,783,
ERP_P_13,Estimated resident population - Persons - year ended 30 June,Persons - 55-59 years (no.),,,667,697,724,764,736,
ERP_P_14,Estimated resident population - Persons - year ended 30 June,Persons - 60-64 years (no.),,,609,668,678,703,643,
ERP_P_15,Estimated resident population - Persons - year ended 30 June,Persons - 65-69 years (no.),,,594,580,556,553,492,
ERP_P_16,Estimated resident population - Persons - year ended 30 June,Persons - 70-74 years (no.),,,428,468,527,547,504,
ERP_P_17,Estimated resident population - Persons - year ended 30 June,Persons - 75-79 years (no.),,,296,294,299,326,342,
ERP_P_18,Estimated resident population - Persons - year ended 30 June,Persons - 80-84 years (no.),,,247,249,253,248,248,
ERP_P_19,Estimated resident population - Persons - year ended 30 June,Persons - 85 and over (no.),,,254,266,277,301,305,
