Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,12695,12759,12799,12839,12514,12396
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,1639.2,1647.5,1652.7,1657.8,1615.9,1600.6
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,6262,6303,6333,6350,6163,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,6433,6456,6466,6489,6351,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,33.9,33.9,33.9,34.3,35,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,37.6,37.9,38.2,38.8,39.5,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,35.8,35.9,36.1,36.7,37.4,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,8413,8507,8609,8653,8402,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,66.3,66.7,67.3,67.4,67.1,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,460,427,404,382,357,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,468,475,468,436,409,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,498,494,466,464,440,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,455,455,498,497,470,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,491,533,530,514,463,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,420,424,458,475,485,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,442,446,441,461,460,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,469,457,447,439,414,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,429,405,397,399,427,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,459,463,452,439,414,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,,410,439,440,433,435,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,,301,309,337,384,370,
