Measure Code,Parent Description,Description,2011,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,11631,12061,12244,12212,11456,11745
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,9944.4,10312.1,10468.5,10441.2,9794.8,10041.9
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,5618,5833,5931,5916,5531,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,6013,6228,6313,6296,5925,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,31.3,31.6,31.9,32.5,33.1,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,30.1,30.3,30.6,31,31.5,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,30.7,31,31.2,31.7,32.3,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,10156,10529,10675,10618,9903,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,87.3,87.3,87.2,86.9,86.4,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,135,145,145,132,118,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,64,66,64,69,71,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,64,68,76,80,87,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,196,191,172,145,107,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,742,742,718,657,538,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,1284,1304,1310,1273,1134,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,1020,1074,1108,1129,1080,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,588,643,684,725,718,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,326,350,368,404,405,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,260,269,267,257,242,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,220,218,225,232,235,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,165,201,222,236,222,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,154,156,154,148,154,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,154,136,135,142,138,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,101,106,109,116,114,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,71,81,86,81,67,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,46,52,56,57,68,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,28,31,32,33,33,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,2.4,2.5,2.4,2.2,2.1,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,1.1,1.1,1.1,1.2,1.3,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,1.1,1.2,1.3,1.4,1.6,
ERP_M_24,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (%),,,3.5,3.3,2.9,2.5,1.9,
ERP_M_25,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (%),,,13.2,12.7,12.1,11.1,9.7,
ERP_M_26,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (%),,,22.9,22.4,22.1,21.5,20.5,
ERP_M_27,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (%),,,18.2,18.4,18.7,19.1,19.5,
ERP_M_28,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (%),,,10.5,11,11.5,12.3,13,
ERP_M_29,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (%),,,5.8,6,6.2,6.8,7.3,
ERP_M_30,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (%),,,4.6,4.6,4.5,4.3,4.4,
ERP_M_31,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (%),,,3.9,3.7,3.8,3.9,4.2,
ERP_M_32,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (%),,,2.9,3.4,3.7,4,4,
ERP_M_33,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (%),,,2.7,2.7,2.6,2.5,2.8,
ERP_M_34,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (%),,,2.7,2.3,2.3,2.4,2.5,
ERP_M_35,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (%),,,1.8,1.8,1.8,2,2.1,
