Measure Code,Parent Description,Description,2011,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,11516,11765,11810,11291,10125,9955
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,8546.2,8731,8764.4,8379.2,7513.9,7387.8
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,5497,5621,5642,5382,4781,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,6019,6144,6168,5909,5344,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,33.7,33.9,34.2,34.5,34.9,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,33.5,33.6,33.7,33.9,34.6,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,33.6,33.8,33.9,34.2,34.8,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,8984,9186,9217,8828,7880,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,78,78.1,78,78.2,77.8,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,244,226,213,180,140,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,175,186,189,187,172,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,125,138,141,133,119,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,168,177,177,171,138,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,465,459,443,393,316,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,916,927,931,885,780,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,832,841,842,811,740,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,472,490,501,495,469,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,328,332,323,316,289,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,358,391,423,366,278,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,308,305,299,299,264,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,275,305,297,297,266,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,206,213,221,230,231,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,201,197,199,183,168,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,146,160,164,163,148,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,117,106,105,102,105,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,76,82,86,84,77,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,85,86,88,87,81,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,4.4,4,3.8,3.3,2.9,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,3.2,3.3,3.3,3.5,3.6,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,2.3,2.5,2.5,2.5,2.5,
ERP_M_24,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (%),,,3.1,3.1,3.1,3.2,2.9,
ERP_M_25,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (%),,,8.5,8.2,7.9,7.3,6.6,
ERP_M_26,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (%),,,16.7,16.5,16.5,16.4,16.3,
ERP_M_27,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (%),,,15.1,15,14.9,15.1,15.5,
ERP_M_28,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (%),,,8.6,8.7,8.9,9.2,9.8,
ERP_M_29,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (%),,,6,5.9,5.7,5.9,6,
ERP_M_30,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (%),,,6.5,7,7.5,6.8,5.8,
ERP_M_31,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (%),,,5.6,5.4,5.3,5.6,5.5,
ERP_M_32,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (%),,,5,5.4,5.3,5.5,5.6,
ERP_M_33,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (%),,,3.7,3.8,3.9,4.3,4.8,
ERP_M_34,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (%),,,3.7,3.5,3.5,3.4,3.5,
ERP_M_35,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (%),,,2.7,2.8,2.9,3,3.1,
ERP_M_36,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (%),,,2.1,1.9,1.9,1.9,2.2,
ERP_M_37,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (%),,,1.4,1.5,1.5,1.6,1.6,
ERP_M_38,Estimated resident population - Males - year ended 30 June,Males - 85 and over (%),,,1.5,1.5,1.6,1.6,1.7,
ERP_F_2,Estimated resident population - Females - year ended 30 June,Females - 0-4 years (no.),,,232,231,227,204,166,
ERP_F_3,Estimated resident population - Females - year ended 30 June,Females - 5-9 years (no.),,,156,166,170,156,148,
ERP_F_4,Estimated resident population - Females - year ended 30 June,Females - 10-14 years (no.),,,121,114,106,109,100,
ERP_F_5,Estimated resident population - Females - year ended 30 June,Females - 15-19 years (no.),,,189,194,185,172,140,
ERP_F_6,Estimated resident population - Females - year ended 30 June,Females - 20-24 years (no.),,,617,628,625,581,495,
ERP_F_7,Estimated resident population - Females - year ended 30 June,Females - 25-29 years (no.),,,1086,1108,1116,1068,941,
ERP_F_8,Estimated resident population - Females - year ended 30 June,Females - 30-34 years (no.),,,817,828,829,795,725,
ERP_F_9,Estimated resident population - Females - year ended 30 June,Females - 35-39 years (no.),,,489,508,519,509,478,
ERP_F_10,Estimated resident population - Females - year ended 30 June,Females - 40-44 years (no.),,,318,321,340,322,327,
ERP_F_11,Estimated resident population - Females - year ended 30 June,Females - 45-49 years (no.),,,317,332,329,336,264,
ERP_F_12,Estimated resident population - Females - year ended 30 June,Females - 50-54 years (no.),,,278,295,302,287,280,
ERP_F_13,Estimated resident population - Females - year ended 30 June,Females - 55-59 years (no.),,,287,278,265,251,248,
ERP_F_14,Estimated resident population - Females - year ended 30 June,Females - 60-64 years (no.),,,258,254,250,244,211,
