Measure Code,Parent Description,Description,2011,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,14132,15596,16707,17307,16538,17299
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,17577.1,19398,20779.9,21526.1,20569.7,21516.2
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,7158,7934,8532,8848,8439,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,6974,7662,8175,8459,8099,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,30.1,30.2,30.4,30.7,31.2,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,29.3,29.5,29.7,30.1,30.6,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,29.7,29.9,30.1,30.4,30.9,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,12743,14041,15041,15586,14882,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,90.2,90,90,90.1,90,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,236,265,278,278,247,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,102,125,137,144,127,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,54,60,66,75,94,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,246,245,226,205,169,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,1209,1299,1347,1311,1135,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,1711,1897,2059,2137,1998,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,1370,1519,1633,1712,1656,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,728,864,981,1081,1101,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,386,437,494,542,565,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,257,304,330,343,324,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,225,241,247,262,269,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,166,182,211,220,203,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,145,148,154,159,179,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,136,139,144,139,134,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,101,116,112,120,117,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,60,59,68,67,67,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,11,21,31,43,41,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,15,13,14,10,13,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,3.3,3.3,3.3,3.1,2.9,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,1.4,1.6,1.6,1.6,1.5,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,0.8,0.8,0.8,0.8,1.1,
ERP_M_24,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (%),,,3.4,3.1,2.6,2.3,2,
ERP_M_25,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (%),,,16.9,16.4,15.8,14.8,13.4,
ERP_M_26,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (%),,,23.9,23.9,24.1,24.2,23.7,
ERP_M_27,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (%),,,19.1,19.1,19.1,19.3,19.6,
ERP_M_28,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (%),,,10.2,10.9,11.5,12.2,13,
ERP_M_29,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (%),,,5.4,5.5,5.8,6.1,6.7,
ERP_M_30,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (%),,,3.6,3.8,3.9,3.9,3.8,
ERP_M_31,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (%),,,3.1,3,2.9,3,3.2,
ERP_M_32,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (%),,,2.3,2.3,2.5,2.5,2.4,
ERP_M_33,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (%),,,2,1.9,1.8,1.8,2.1,
ERP_M_34,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (%),,,1.9,1.8,1.7,1.6,1.6,
ERP_M_35,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (%),,,1.4,1.5,1.3,1.4,1.4,
ERP_M_36,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (%),,,0.8,0.7,0.8,0.8,0.8,
ERP_M_37,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (%),,,0.2,0.3,0.4,0.5,0.5,
ERP_M_38,Estimated resident population - Males - year ended 30 June,Males - 85 and over (%),,,0.2,0.2,0.2,0.1,0.2,
ERP_F_2,Estimated resident population - Females - year ended 30 June,Females - 0-4 years (no.),,,233,252,253,240,208,
ERP_F_3,Estimated resident population - Females - year ended 30 June,Females - 5-9 years (no.),,,82,106,118,133,133,
ERP_F_4,Estimated resident population - Females - year ended 30 June,Females - 10-14 years (no.),,,46,54,70,75,82,
ERP_F_5,Estimated resident population - Females - year ended 30 June,Females - 15-19 years (no.),,,356,339,311,275,217,
ERP_F_6,Estimated resident population - Females - year ended 30 June,Females - 20-24 years (no.),,,1307,1394,1434,1401,1238,
ERP_F_7,Estimated resident population - Females - year ended 30 June,Females - 25-29 years (no.),,,1667,1848,2001,2079,1957,
ERP_F_8,Estimated resident population - Females - year ended 30 June,Females - 30-34 years (no.),,,1276,1423,1540,1620,1589,
ERP_F_9,Estimated resident population - Females - year ended 30 June,Females - 35-39 years (no.),,,605,714,808,889,907,
ERP_F_10,Estimated resident population - Females - year ended 30 June,Females - 40-44 years (no.),,,290,340,375,418,434,
