Measure Code,Parent Description,Description,2011,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,13312,13584,13670,13373,12100,12215
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,8658.2,8835.1,8891.1,8697.9,7869.9,7944.7
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,6791,6936,6981,6822,6138,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,6521,6648,6689,6551,5962,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,34.4,35.1,35.7,36.1,35.9,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,33.2,33.6,33.9,34.3,34.7,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,33.8,34.3,34.8,35.2,35.3,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,11178,11433,11529,11285,10160,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,84,84.2,84.3,84.4,84,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,251,251,239,216,185,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,177,173,160,155,130,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,109,104,111,118,113,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,115,123,119,118,115,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,512,506,491,449,380,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,1182,1152,1121,1059,941,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,1157,1149,1137,1115,1054,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,679,709,738,762,765,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,598,617,617,567,507,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,478,547,559,558,424,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,368,381,426,430,341,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,365,414,438,398,326,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,247,245,247,305,287,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,228,226,237,221,227,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,142,160,157,171,171,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,85,88,96,96,98,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,45,45,51,50,53,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,53,46,37,34,21,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,3.7,3.6,3.4,3.2,3,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,2.6,2.5,2.3,2.3,2.1,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,1.6,1.5,1.6,1.7,1.8,
ERP_M_24,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (%),,,1.7,1.8,1.7,1.7,1.9,
ERP_M_25,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (%),,,7.5,7.3,7,6.6,6.2,
ERP_M_26,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (%),,,17.4,16.6,16.1,15.5,15.3,
ERP_M_27,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (%),,,17,16.6,16.3,16.3,17.2,
ERP_M_28,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (%),,,10,10.2,10.6,11.2,12.5,
ERP_M_29,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (%),,,8.8,8.9,8.8,8.3,8.3,
ERP_M_30,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (%),,,7,7.9,8,8.2,6.9,
ERP_M_31,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (%),,,5.4,5.5,6.1,6.3,5.6,
ERP_M_32,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (%),,,5.4,6,6.3,5.8,5.3,
ERP_M_33,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (%),,,3.6,3.5,3.5,4.5,4.7,
ERP_M_34,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (%),,,3.4,3.3,3.4,3.2,3.7,
ERP_M_35,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (%),,,2.1,2.3,2.2,2.5,2.8,
ERP_M_36,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (%),,,1.3,1.3,1.4,1.4,1.6,
ERP_M_37,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (%),,,0.7,0.6,0.7,0.7,0.9,
ERP_M_38,Estimated resident population - Males - year ended 30 June,Males - 85 and over (%),,,0.8,0.7,0.5,0.5,0.3,
ERP_F_2,Estimated resident population - Females - year ended 30 June,Females - 0-4 years (no.),,,272,268,259,236,192,
ERP_F_3,Estimated resident population - Females - year ended 30 June,Females - 5-9 years (no.),,,145,154,153,149,127,
ERP_F_4,Estimated resident population - Females - year ended 30 June,Females - 10-14 years (no.),,,112,109,111,120,117,
ERP_F_5,Estimated resident population - Females - year ended 30 June,Females - 15-19 years (no.),,,133,127,129,125,117,
ERP_F_6,Estimated resident population - Females - year ended 30 June,Females - 20-24 years (no.),,,634,620,590,533,441,
ERP_F_7,Estimated resident population - Females - year ended 30 June,Females - 25-29 years (no.),,,1263,1255,1244,1187,1052,
