Measure Code,Parent Description,Description,2011,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,15374,15644,15759,15638,14104,14229
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,6504.2,6618.4,6667.1,6615.9,5966.9,6019.8
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,7735,7872,7933,7867,7082,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,7639,7772,7826,7771,7022,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,36.9,37.6,38.3,39.1,38.9,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,35.1,35.7,36.4,37.2,37.4,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,36,36.7,37.3,38.1,38.1,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,12455,12625,12678,12471,11162,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,81,80.7,80.4,79.7,79.1,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,229,238,238,237,215,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,172,173,171,160,155,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,156,164,173,187,178,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,196,192,194,184,171,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,563,550,528,484,401,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,1089,1073,1054,1012,901,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,1109,1081,1052,1010,929,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,804,799,789,776,734,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,570,619,593,597,566,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,529,557,623,626,518,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,549,537,510,533,475,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,510,544,601,579,484,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,388,420,432,462,416,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,296,328,355,391,314,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,243,253,264,266,252,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,140,146,154,174,185,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,84,89,93,93,96,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,108,109,109,96,92,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,3,3,3,3,3,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,2.2,2.2,2.2,2,2.2,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,2,2.1,2.2,2.4,2.5,
ERP_M_24,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (%),,,2.5,2.4,2.4,2.3,2.4,
ERP_M_25,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (%),,,7.3,7,6.7,6.2,5.7,
ERP_M_26,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (%),,,14.1,13.6,13.3,12.9,12.7,
ERP_M_27,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (%),,,14.3,13.7,13.3,12.8,13.1,
ERP_M_28,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (%),,,10.4,10.1,9.9,9.9,10.4,
ERP_M_29,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (%),,,7.4,7.9,7.5,7.6,8,
ERP_M_30,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (%),,,6.8,7.1,7.9,8,7.3,
ERP_M_31,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (%),,,7.1,6.8,6.4,6.8,6.7,
ERP_M_32,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (%),,,6.6,6.9,7.6,7.4,6.8,
ERP_M_33,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (%),,,5,5.3,5.4,5.9,5.9,
