Measure Code,Parent Description,Description,2011,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,14027,14388,14699,15019,15095,15463
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,338.4,347.1,354.6,362.3,364.2,373.1
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,6750,6929,7084,7239,7267,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,7277,7459,7615,7780,7828,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,36.1,36,35.8,36.2,36.7,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,39,39,39.1,39.5,40.3,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,37.7,37.5,37.4,37.8,38.5,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,9000,9232,9435,9654,9666,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,64.2,64.2,64.2,64.3,64,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,497,491,482,477,472,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,479,499,522,515,529,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,426,446,464,481,471,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,451,460,479,485,479,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,429,452,445,445,454,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,490,485,502,521,486,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,495,537,553,557,542,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,446,475,520,567,577,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,477,458,451,452,454,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,484,510,501,498,509,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,394,416,425,449,457,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,342,347,361,373,399,
