Measure Code,Parent Description,Description,2011,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,11683,11726,11774,11527,11266,11137
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,309.1,310.3,311.5,305,298.1,294.7
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,5817,5849,5884,5717,5542,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,5866,5877,5890,5810,5724,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,34.1,34.3,34.7,34.9,35.7,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,36.3,36.2,36.2,36.5,36.8,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,35.2,35.2,35.4,35.7,36.2,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,8051,8038,8051,7857,7618,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,68.9,68.5,68.4,68.2,67.6,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,475,458,435,411,358,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,404,433,435,397,377,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,353,344,371,383,374,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,386,367,342,310,317,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,480,473,465,461,389,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,459,465,480,470,436,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,414,443,443,435,456,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,368,363,395,400,401,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,364,367,359,336,331,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,382,393,376,349,350,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,382,372,390,377,363,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,432,428,422,390,375,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,296,301,322,344,338,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,248,259,257,256,254,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,168,186,187,195,213,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,102,91,102,101,112,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,61,64,61,62,63,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,43,42,42,40,35,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,8.2,7.8,7.4,7.2,6.5,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,6.9,7.4,7.4,6.9,6.8,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,6.1,5.9,6.3,6.7,6.7,
ERP_M_24,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (%),,,6.6,6.3,5.8,5.4,5.7,
