Measure Code,Parent Description,Description,2011,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,26452,27243,27854,28250,28573,28632
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,3322.8,3422.2,3498.9,3548.7,3589.3,3596.7
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,13433,13883,14230,14448,14618,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,13019,13360,13624,13802,13955,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,29.6,29.4,29.2,29.4,30,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,30,30,30.2,30.5,31.1,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,29.8,29.8,29.8,30.1,30.6,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,17738,18356,18820,19095,19197,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,67.1,67.4,67.6,67.6,67.2,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,1701,1657,1583,1486,1404,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,1381,1421,1449,1474,1509,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,990,1032,1104,1173,1230,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,822,923,959,936,902,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,862,949,1026,1070,1059,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,1071,1104,1184,1224,1211,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,1669,1608,1511,1401,1316,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,1651,1705,1730,1759,1758,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,996,1090,1186,1304,1429,
