Measure Code,Parent Description,Description,2011,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,900,2407,3999,5640,7331,9396
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,62.7,167.8,278.8,393.2,511,655
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,473,1267,2105,2965,3854,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,427,1140,1894,2675,3477,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,26.5,26.7,27.6,28.4,29.4,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,29,29.1,29,29,29.3,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,28,28.1,28.5,28.8,29.3,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,637,1695,2796,3908,5030,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,70.8,70.4,69.9,69.3,68.6,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,63,170,285,399,510,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,49,132,213,293,380,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,17,55,102,153,226,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,38,81,103,105,124,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,54,152,242,333,329,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,56,142,226,312,413,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,78,209,344,471,600,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,48,154,291,453,636,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,22,69,132,207,303,
